ID;NAME;Year -1;Industry;ESG-Score;E-Score;S-Score;G-Score;TRJAN;TRFEB;TRMRZ;TRAPR;TRMAI;TRJUN;TRJUN;TRJUL;TRAUG;TRSEP;TROKT;TRNOV;TRYEAR;MRJAN;MRFEB;MRMRZ;MRAPR;MRMAI;MRJUN;MRJUL;MRAUG;MRSEP;MROKT;MRNOV;MRDEZ;SMBJAN;SMBFEB;SMBMRZ;SMBAPR;SMBMAI;SMBJUN;SMBJUL;SMBAUG;SMBSEP;SMBOKT;SMBNOV;SMBDEZ;HMLJAN;HMLFEB;HMLMRZ;HMLAPR;HMLMAI;HMLJUN;HMLJUL;HMLAUG;HMLSEP;HMLOKT;HMLNOV;HMLDEZ;MOMJAN;MOMFEB;MOMMRZ;MOMAPR;MOMMAI;MOMJUN;MOMJUL;MOMAUG;MOMSEP;MOMOKT;MOMNOV;MOMDEZ;YEARMR;YEARSMB;YEARHML;YEARMOM
2;1st Source Corp;2016;Banking Services;41.60914796;8.578125;15.44878472;17.58223824;1.007613075;1.166672705;0.513808605;3.169538395;-5.713102875;4.832713755;2.419691282;-4.57641173;9.083100709;1.003937008;0.588744098;-3.887269196;9.609035834;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
3;2U Inc;2015;Software & IT Services;42.41966328;10.84976526;10.57746479;20.99243323;-27.84131523;10.69836553;1.118568231;21.13223855;-0.677845166;5.601436264;18.93913635;1.029159518;8.011283499;-8.957952469;-5.623751069;-8.802177858;14.62714615;-3.11;6.13;-1.12;0.59;1.36;-1.53;1.54;-6.04;-3.08;7.75;0.56;-2.17;-0.56;0.48;3.02;-2.97;0.87;2.83;-4.14;0.48;-2.64;-1.97;3.64;-2.82;-3.47;-1.79;-0.46;1.86;-1.37;-0.79;-4.12;2.68;0.52;-0.08;-0.52;-2.58;3.87;-2.84;2.98;-7.37;6.01;3.04;10.28;-2.07;5.32;-3.97;2.28;3.44;0.073333333;-0.315;-0.843333333;1.7475
3;2U Inc;2016;Software & IT Services;46.73099109;11.69330855;10.6105948;24.42708775;12.90215589;4.339137882;8.508891928;17.28235598;-5.837004405;10.47798446;10.29411765;-3.188405797;12.08;13.54389722;3.120978121;0.639625584;84.16373451;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
4;3D Systems Corp;2015;Computers, Phones & Household Electronics;31.28847764;5.357142857;7.209821429;18.72151335;-7.825086305;33.20848939;44.98594189;15.01950585;-24.30751837;3.476946332;-2.191380571;8.289768484;12.68047709;-22.72980502;0.654069768;-4.043321302;57.21808724;-3.11;6.13;-1.12;0.59;1.36;-1.53;1.54;-6.04;-3.08;7.75;0.56;-2.17;-0.56;0.48;3.02;-2.97;0.87;2.83;-4.14;0.48;-2.64;-1.97;3.64;-2.82;-3.47;-1.79;-0.46;1.86;-1.37;-0.79;-4.12;2.68;0.52;-0.08;-0.52;-2.58;3.87;-2.84;2.98;-7.37;6.01;3.04;10.28;-2.07;5.32;-3.97;2.28;3.44;0.073333333;-0.315;-0.843333333;1.7475
4;3D Systems Corp;2016;Computers, Phones & Household Electronics;27.07427199;6.440677966;4.351694915;16.28189911;24.07825433;-7.934585102;-1.57894737;6.743088333;29.1850916;-9.311348207;-10.16042781;-25.23809524;3.87897595;-7.542942496;-25.29610829;-2.151755382;-25.32879968;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
5;3M Co;2007;Industrial Conglomerates;82.80568812;27.29310345;28.49137931;27.02120536;-5.538425044;1.115570076;0.956632651;-1.34701732;1.520752601;-10.27591542;1.149590458;2.438466479;-4.594972068;-5.870297176;7.912746883;-14.02958315;-26.56245103;1.4;-1.96;0.68;3.49;3.24;-1.96;-3.73;0.92;3.22;1.8;-4.83;-0.87;0.1;1.32;-0.06;-2.06;0.03;0.77;-2.51;-0.13;-2.29;0.22;-2.63;0.2;-0.11;-0.09;-0.22;-1.15;-0.05;-1.13;-3.34;-2.24;-1.87;-2.59;-1.18;-0.52;0.21;-1.35;2.47;-0.16;-0.26;0.38;2.8;0.11;4.59;4.96;0.93;6.52;0.116666667;-0.586666667;-1.2075;1.766666667
5;3M Co;2008;Industrial Conglomerates;84.75224961;28.69444444;30.47916667;25.5786385;-6.517205423;-17.0844021;9.370875493;18.3967112;0.000626432;5.253940456;17.33777038;2.977081361;2.614015573;-0.311653118;5.95030597;6.753615699;44.74168192;-6.36;-3.09;-0.93;4.6;1.86;-8.44;-0.77;1.53;-9.24;-17.23;-7.86;1.74;-0.89;-0.23;0.94;-1.64;3.22;1.27;2.47;3.61;-1.13;-2.34;-2.99;3.59;3.65;-0.95;-0.15;-0.96;-1.38;-2.43;5.81;1.56;6.33;-2.9;-5.94;-0.24;-7.89;6.14;4.1;-0.2;3.21;12.54;-5.15;-4.05;0.35;7.79;7.11;-5.07;-3.6825;0.49;0.2;1.573333333
5;3M Co;2009;Industrial Conglomerates;83.57786458;30.15;29.63125;23.79661458;-2.636990445;-0.092798128;4.266999375;5.208827718;-9.987080844;-0.403480016;8.292188882;-7.595011124;8.863779032;-2.871641104;0.338622193;2.762562516;6.145978055;-8.12;-10.1;8.95;10.19;5.21;0.43;7.72;3.33;4.08;-2.59;5.56;2.75;-0.01;0.16;-0.08;4.83;-2.33;2.61;2.07;-0.9;2.45;-4.23;-2.49;6.11;-11.1;-7.25;3.52;5.46;-0.21;-2.71;5.27;7.76;0.92;-4.18;-0.17;0.01;-1.83;4.18;-11.38;-34.39;-12.44;5.29;-5.36;-8.84;-4.93;2.65;0.29;2.91;2.284166667;0.6825;-0.223333333;-5.320833333
5;3M Co;2010;Industrial Conglomerates;88.38576494;30.89361702;30.81382979;26.67831814;1.877172654;6.106363574;1.3769923;5.125986807;-2.342787664;1.476409544;-8.128624143;-4.126770952;-12.52589253;10.07104054;0.756400069;0.85143139;0.517721582;-3.36;3.4;6.31;2;-7.89;-5.56;6.93;-4.77;9.54;3.88;0.6;6.82;0.38;1.21;1.43;4.98;0.05;-1.98;0.17;-3;3.92;1.14;3.71;0.69;0.31;3.17;2.1;2.81;-2.38;-4.5;-0.26;-1.96;-3.12;-2.59;-0.9;3.82;-5.38;3.6;3.66;3.22;-0.13;-3;1.88;-0.19;1.35;1.64;2.53;-3.19;1.491666667;1.058333333;-0.291666667;0.499166667
5;3M Co;2011;Industrial Conglomerates;88.55712716;30.79591837;31.71428571;26.04692308;6.093233816;0.839241583;1.837899544;0.168142583;-4.886412208;6.098283008;1.81919643;2.147857854;0.719267655;-5.215321358;4.001807916;2.089059923;15.71225675;1.99;3.49;0.45;2.9;-1.27;-1.75;-2.36;-5.99;-7.59;11.35;-0.28;0.74;-2.46;1.52;2.6;-0.35;-0.71;-0.17;-1.3;-3.06;-3.49;3.41;-0.17;-0.71;0.83;1.08;-1.57;-2.53;-2.07;-0.33;-1.23;-2.44;-1.46;-0.17;-0.34;1.75;-0.32;2.03;3.51;0.07;-0.56;1.78;0.08;-0.31;-2.55;-1.42;3.99;1.94;0.14;-0.4075;-0.706666667;0.686666667
