ID;Name;Year;Escore;TRYear
2;1st Source Corp;2017;8,578125;9,609035834
3;2U Inc;2016;10,84976526;14,62714615
3;2U Inc;2017;11,69330855;84,16373451
4;3D Systems Corp;2016;5,357142857;57,21808724
4;3D Systems Corp;2017;6,440677966;-25,32879968
5;3M Co;2008;27,29310345;-26,56245103
5;3M Co;2009;28,69444444;44,74168192
5;3M Co;2010;30,15;6,145978055
5;3M Co;2011;30,89361702;0,517721582
5;3M Co;2012;30,79591837;15,71225675
5;3M Co;2013;30,75;44,77115267
5;3M Co;2014;30;20,35554507
5;3M Co;2015;30,53846154;-8,051554337
5;3M Co;2016;30,75;19,23432873
5;3M Co;2017;30,62727273;30,5924537
6;8x8 Inc;2017;5,358490566;4,714533462
7;A Schulman Inc;2017;4,466850829;20,49740218
8;A. O. Smith Corp;2016;7,349173554;23,09469651
8;A. O. Smith Corp;2017;12,04347826;30,42965609
9;A10 Networks Inc;2017;10,39962825;-2,875465041
10;Aaon Inc;2016;2,938016529;40,49862424
10;Aaon Inc;2017;4,873188406;12,65656001
12;Aaron's Inc;2010;7,028409091;3,578056262
12;Aaron's Inc;2011;7,759803922;33,01985783
12;Aaron's Inc;2012;7,263888889;5,658622177
12;Aaron's Inc;2013;6,668141593;3,988224259
12;Aaron's Inc;2014;7,042372881;14,73472431
12;Aaron's Inc;2015;6,561983471;-23,34348141
12;Aaron's Inc;2016;8,098591549;40,35938176
12;Aaron's Inc;2017;12,94848485;30,02143438
13;Abaxis Inc;2017;20,76838235;-0,158767643
14;Abbott Laboratories;2008;17,84693878;2,823121621
14;Abbott Laboratories;2009;20,5625;6,377644489
14;Abbott Laboratories;2010;19,84375;-9,338457132
14;Abbott Laboratories;2011;19,10447761;22,17517122
14;Abbott Laboratories;2012;16,421875;17,94979608
14;Abbott Laboratories;2013;15,77777778;22,63080975
14;Abbott Laboratories;2014;15,92063492;20,72312233
14;Abbott Laboratories;2015;16,09230769;4,48376429
14;Abbott Laboratories;2016;18,49494949;-11,254592
14;Abbott Laboratories;2017;20,26470588;48,10461222
15;AbbVie Inc;2014;14,82317073;34,89978877
15;AbbVie Inc;2015;22,31666667;-7,497891745
15;AbbVie Inc;2016;24,03431373;8,530948637
15;AbbVie Inc;2017;27,16972477;52,53960075
16;Abercrombie & Fitch Co;2008;9,637681159;-96,88853097
16;Abercrombie & Fitch Co;2009;9,102564103;37,87720088
16;Abercrombie & Fitch Co;2010;11,25568182;66,19887259
16;Abercrombie & Fitch Co;2011;7,583333333;2,952312345
16;Abercrombie & Fitch Co;2012;7,875;14,6292663
16;Abercrombie & Fitch Co;2013;14,78318584;-28,39535552
16;Abercrombie & Fitch Co;2014;15,19067797;-10,42611661
16;Abercrombie & Fitch Co;2015;11,9338843;4,095524843
16;Abercrombie & Fitch Co;2016;18,66549296;-70,75960229
16;Abercrombie & Fitch Co;2017;19,49393939;56,57241299
19;Acacia Communications Inc;2017;9,0125;-46,09993669
20;Acadia Healthcare Company Inc;2016;11,62345679;-57,2798374
20;Acadia Healthcare Company Inc;2017;12,08163265;13,74399878
21;ACADIA Pharmaceuticals Inc;2016;10,00568182;26,80612807
21;ACADIA Pharmaceuticals Inc;2017;12,44277108;26,64192978
22;Acadia Realty Trust;2016;9,764705882;5,229155874
22;Acadia Realty Trust;2017;9,165116279;-11,05536275
23;Accelerate Diagnostics Inc;2016;7,515151515;28,23610984
23;Accelerate Diagnostics Inc;2017;8,779411765;44,65779322
24;Acceleron Pharma Inc;2016;13,41477273;-35,87142701
24;Acceleron Pharma Inc;2017;16,27409639;67,89161127
25;Access National Corp;2017;9,911458333;2,875259619
26;ACCO Brands Corp;2016;15,47208122;71,59914239
26;ACCO Brands Corp;2017;16,17025862;0,530902139
28;Achaogen Inc;2017;17,64759036;7,558087776
30;ACI Worldwide Inc;2016;11,92018779;-11,84674165
30;ACI Worldwide Inc;2017;12,58550186;25,26116124
31;Aclaris Therapeutics Inc;2017;15,5873494;-1,230885732
32;Acorda Therapeutics Inc;2017;19,56325301;24,2534034
33;Activision Blizzard Inc;2008;15,59375;-46,44619379
33;Activision Blizzard Inc;2009;13,40625;22,3108961
33;Activision Blizzard Inc;2010;13,26470588;16,38206182
33;Activision Blizzard Inc;2011;14,85714286;7,23964083
33;Activision Blizzard Inc;2012;14,28571429;-10,15228403
33;Activision Blizzard Inc;2013;13,68181818;56,15494698
33;Activision Blizzard Inc;2014;16,70833333;21,11403979
33;Activision Blizzard Inc;2015;16,94230769;67,54555225
33;Activision Blizzard Inc;2016;18,578125;-4,085942389
33;Activision Blizzard Inc;2017;17,56944444;61,13450275
37;Acushnet Holdings Corp;2017;10,08333333;16,08695437
38;Acxiom Corp;2012;7,673267327;37,51097822
43;ADTRAN Inc;2017;21,9375;-11,08132073
44;Aduro Biotech Inc;2017;17,14156627;-26,94591889
45;Advance Auto Parts Inc;2008;17,68115942;12,55648093
45;Advance Auto Parts Inc;2009;17,68115942;13,63681962
45;Advance Auto Parts Inc;2010;16,07051282;51,0671356
45;Advance Auto Parts Inc;2012;16,79166667;15,18701761
45;Advance Auto Parts Inc;2013;14,61061947;40,76833049
45;Advance Auto Parts Inc;2014;13,87288136;41,0730676
45;Advance Auto Parts Inc;2015;13,87288136;-4,458153746
45;Advance Auto Parts Inc;2016;14,30578512;11,65254136
45;Advance Auto Parts Inc;2017;19,59393939;-45,22700366
46;Advanced Disposal Services Inc;2017;10,58189655;11,71753593
47;Advanced Drainage Systems Inc;2017;8,49;27,55992355
48;Advanced Energy Industries Inc;2016;12,37931034;72,13685003
48;Advanced Energy Industries Inc;2017;12,81451613;17,58028643
49;Advanced Micro Devices Inc;2008;28,54901961;-91,10793069
49;Advanced Micro Devices Inc;2009;25,19166667;170,3063957
49;Advanced Micro Devices Inc;2010;25,05882353;-12,49607406
49;Advanced Micro Devices Inc;2011;25,046875;-28,90821195
49;Advanced Micro Devices Inc;2012;26,12903226;-61,54002451
49;Advanced Micro Devices Inc;2013;25,03723404;52,326911
49;Advanced Micro Devices Inc;2014;25,51052632;-29,51258737
49;Advanced Micro Devices Inc;2015;26,24742268;13,88984423
49;Advanced Micro Devices Inc;2016;27,17672414;160,9475424
49;Advanced Micro Devices Inc;2017;27,72177419;4,375535523
50;AdvanSix Inc;2017;5,171270718;76,17478104
52;Aegion Corp;2017;3,015306122;14,04097476
53;Aerie Pharmaceuticals Inc;2016;14,91477273;94,46849315
53;Aerie Pharmaceuticals Inc;2017;15,5873494;60,63331753
54;Aerojet Rocketdyne Holdings Inc;2016;6,675;16,41317562
54;Aerojet Rocketdyne Holdings Inc;2017;7,904761905;65,45277142
55;AeroVironment Inc;2017;15,82539683;92,58019555
57;Aetna Inc;2008;18,95238095;-60,62228977
57;Aetna Inc;2009;23,31496063;14,32200123
57;Aetna Inc;2010;24,72627737;-0,903235644
57;Aetna Inc;2011;24,84768212;34,27423147
57;Aetna Inc;2012;24,35333333;11,60370455
57;Aetna Inc;2013;23,26315789;37,98307851
57;Aetna Inc;2014;22,92993631;31,01652805
57;Aetna Inc;2015;18,15432099;18,86522054
57;Aetna Inc;2016;19,09259259;16,52729394
57;Aetna Inc;2017;21,07042254;41,05457949
58;Affiliated Managers Group Inc;2009;10,43604651;55,57115325
58;Affiliated Managers Group Inc;2010;8,405263158;44,52154247
58;Affiliated Managers Group Inc;2011;6,160714286;-2,042350057
58;Affiliated Managers Group Inc;2012;5,563063063;32,47540881
58;Affiliated Managers Group Inc;2013;5,35840708;49,5768386
58;Affiliated Managers Group Inc;2014;5,838842975;5,273649242
58;Affiliated Managers Group Inc;2015;5,765873016;-27,75558878
58;Affiliated Managers Group Inc;2016;6,041935484;-8,663421714
58;Affiliated Managers Group Inc;2017;5,99112426;46,38281265
59;Aflac Inc;2008;18,64761905;-22,18782104
59;Aflac Inc;2009;18,71259843;53,52725163
59;Aflac Inc;2010;22,98540146;27,63084532
59;Aflac Inc;2011;23,61589404;-16,59855882
59;Aflac Inc;2012;25,48;25,74596188
59;Aflac Inc;2013;24,72697368;25,14512325
59;Aflac Inc;2014;25,01273885;-5,282210543
59;Aflac Inc;2015;25,60493827;1,512458483
59;Aflac Inc;2016;25,50793651;17,83154755
59;Aflac Inc;2017;24,87089202;26,66673692
60;AG Mortgage Investment Trust Inc;2017;13,40697674;22,63693838
61;AGCO Corp;2008;6,987704918;-82,56092683
61;AGCO Corp;2009;10,19858156;36,04209897
61;AGCO Corp;2010;9,782608696;51,86953508
61;AGCO Corp;2011;13,89540816;-9,436480957
61;AGCO Corp;2012;16,1959799;7,486686706
61;AGCO Corp;2013;22;20,0147044
61;AGCO Corp;2014;23,2761194;-21,69667228
61;AGCO Corp;2015;22,52696078;5,158883728
61;AGCO Corp;2016;20,11157025;25,58104623
