T-1;DMR;MRP;SMB;HML;MOM
200701;-4.570846788;1.4;0.1;-0.11;0.21
200702;-1.311251351;-1.96;1.32;-0.09;-1.35
200703;1.039219232;0.68;-0.06;-0.22;2.47
200704;4.522605858;3.49;-2.06;-1.15;-0.16
200705;3.973542935;3.24;0.03;-0.05;-0.26
200706;-10.48705749;-1.96;0.77;-1.13;0.38
200707;5.21057692;-3.73;-2.51;-3.34;2.8
200708;3.92232112;0.92;-0.13;-2.24;0.11
200709;-6.424821263;3.22;-2.29;-1.87;4.59
200710;-20.08805036;1.8;0.22;-2.59;4.96
200711;-7.826554582;-4.83;-2.63;-1.18;0.93
200712;8.191410603;-0.87;0.2;-0.52;6.52
200801;-9.74544785;-6.36;-0.89;3.65;-7.89
200802;-17.57665356;-3.09;-0.23;-0.95;6.14
200803;11.89240378;-0.93;0.94;-0.15;4.1
200804;24.25371243;4.6;-1.64;-0.96;-0.2
200805;7.539990188;1.86;3.22;-1.38;3.21
200806;3.528544234;-8.44;1.27;-2.43;12.54
200807;11.48830642;-0.77;2.47;5.81;-5.15
200808;5.301527594;1.53;3.61;1.56;-4.05
200809;4.836281432;-9.24;-1.13;6.33;0.35
200810;-5.716225623;-17.23;-2.34;-2.9;7.79
200811;2.49274168;-7.86;-2.99;-5.94;7.11
200812;8.094194829;1.74;3.59;-0.24;-5.07
200901;-1.791623905;-8.12;-0.01;-11.1;-1.83
200902;3.299056777;-10.1;0.16;-7.25;4.18
200903;8.445174905;8.95;-0.08;3.52;-11.38
200904;6.834677145;10.19;4.83;5.46;-34.39
200905;-6.943140261;5.21;-2.33;-0.21;-12.44
200906;-6.973362035;0.43;2.61;-2.71;5.29
200907;7.174776969;7.72;2.07;5.27;-5.36
200908;-7.582492904;3.33;-0.9;7.76;-8.84
200909;12.02127936;4.08;2.45;0.92;-4.93
200910;4.311549171;-2.59;-4.23;-4.18;2.65
200911;3.378590235;5.56;-2.49;-0.17;0.29
200912;8.788758122;2.75;6.11;0.01;2.91
201001;0.279673959;-3.36;0.38;0.31;-5.38
201002;5.605264505;3.4;1.21;3.17;3.6
201003;2.597584817;6.31;1.43;2.1;3.66
201004;2.914117163;2;4.98;2.81;3.22
201005;-1.239250524;-7.89;0.05;-2.38;-0.13
201006;-0.177381084;-5.56;-1.98;-4.5;-3
201007;-2.969297158;6.93;0.17;-0.26;1.88
201008;-8.071901411;-4.77;-3;-1.96;-0.19
201009;-10.18217873;9.54;3.92;-3.12;1.35
201010;15.7348204;3.88;1.14;-2.59;1.64
201011;-2.481098683;0.6;3.71;-0.9;2.53
201012;1.456838475;6.82;0.69;3.82;-3.19
201101;8.485239554;1.99;-2.46;0.83;-0.32
201102;2.162675438;3.49;1.52;1.08;2.03
201103;4.041001961;0.45;2.6;-1.57;3.51
201104;-1.235067404;2.9;-0.35;-2.53;0.07
201105;-5.885754836;-1.27;-0.71;-2.07;-0.56
201106;5.733339251;-1.75;-0.17;-0.33;1.78
201107;-0.683426435;-2.36;-1.3;-1.23;0.08
201108;3.551429421;-5.99;-3.06;-2.44;-0.31
201109;4.550203833;-7.59;-3.49;-1.46;-2.55
201110;-1.539803084;11.35;3.41;-0.17;-1.42
201111;2.080804842;-0.28;-0.17;-0.34;3.99
201112;3.63126904;0.74;-0.71;1.75;1.94
201201;6.792286746;5.05;2.15;-1.11;-7.97
201202;1.427895346;4.42;-1.75;0.09;-0.3
201203;5.469733224;3.11;-0.6;0.87;1.5
201204;0.309138535;-0.85;-0.51;-0.46;3.83
201205;5.105714241;-6.19;0.02;-0.62;6.6
201206;-0.299502736;3.89;0.77;0.44;-1.12
201207;7.584518979;0.79;-2.59;-0.26;3.07
201208;-2.248545505;2.55;0.42;1.32;-2.49
201209;6.832838567;2.73;0.51;1.54;-1.02
201210;3.55975745;-1.76;-1.14;3.79;0.1
201211;4.937345523;0.78;0.58;-0.96;0.38
201212;2.57262165;1.18;1.47;3.56;-2.97
201301;-1.524719944;5.57;0.39;0.95;-1.88
201302;4.330193745;1.29;-0.45;0.03;1.31
201303;0.821006533;4.03;0.78;-0.29;1.94
201304;-1.939749215;1.55;-2.42;0.63;0.25
201305;1.051214665;2.8;1.67;2.6;-1.8
201306;5.88707525;-1.2;1.22;-0.18;0.59
201307;-5.097829262;5.65;1.86;0.56;1.74
201308;5.21660659;-2.71;0.3;-2.78;0.05
201309;-5.093532602;3.77;2.93;-1.19;2.97
201310;8.138765212;4.18;-1.49;1.14;0.16
201311;1.768978472;3.12;1.24;0.24;0.4
201312;3.892775696;2.81;-0.5;-0.31;0.07
201401;-3.281734788;-3.32;0.86;-2.09;1.72
201402;5.987723711;4.65;0.32;-0.4;2.08
201403;2.619370928;0.43;-1.89;5.08;-3.3
201404;-2.052798987;-0.19;-4.25;1.14;-3.85
201405;2.430861237;2.06;-1.85;-0.27;1.15
201406;1.903004366;2.61;3.07;-0.74;0.68
201407;-0.692095524;-2.04;-4.24;0.01;-0.24
201408;-5.516291943;4.24;0.36;-0.58;0.82
201409;-4.948016028;-1.97;-3.83;-1.23;0.53
201410;6.829528181;2.52;4.23;-1.68;0
201411;4.597752455;2.55;-2.09;-2.99;1.05
201412;-4.301340288;-0.06;2.54;2.06;1.06
