ID_Firm;Firm_Name;Year -1;Industry;ESG-Score;E-Score;S-Score;G-Score;TRJAN;TRFEB;TRMRZ;TRAPR;TRMAI;TRJUN;TRJUL;TRAUG;TRSEP;TROKT;TRNOV;TRDEZ;YEARTR;MRJAN;MRFEB;MRMRZ;MRAPR;MRMAI;MRJUN;MRJUL;MRAUG;MRSEP;MROKT;MRNOV;MRDEZ;SMBJAN;SMBFEB;SMBMRZ;SMBAPR;SMBMAI;SMBJUN;SMBJUL;SMBAUG;SMBSEP;SMBOKT;SMBNOV;SMBDEZ;HMLJAN;HMLFEB;HMLMRZ;HMLAPR;HMLMAI;HMLJUN;HMLJUL;HMLAUG;HMLSEP;HMLOKT;HMLNOV;HMLDEZ;MOMJAN;MOMFEB;MOMMRZ;MOMAPR;MOMMAI;MOMJUN;MOMJUL;MOMAUG;MOMSEP;MOMOKT;MOMNOV;MOMDEZ;YEARMR;YEARSMB;YEARHML;YEARMOM
5;3M Co;2007;Industrial Conglomerates;82.80568812;27.29310345;28.49137931;27.02120536;-5.538425044;1.115570076;0.956632651;-1.34701732;1.520752601;-10.27591542;1.149590458;2.438466479;-4.594972068;-5.870297176;7.912746883;-14.02958315;-26.56245103;1.4;-1.96;0.68;3.49;3.24;-1.96;-3.73;0.92;3.22;1.8;-4.83;-0.87;0.1;1.32;-0.06;-2.06;0.03;0.77;-2.51;-0.13;-2.29;0.22;-2.63;0.2;-0.11;-0.09;-0.22;-1.15;-0.05;-1.13;-3.34;-2.24;-1.87;-2.59;-1.18;-0.52;0.21;-1.35;2.47;-0.16;-0.26;0.38;2.8;0.11;4.59;4.96;0.93;6.52;0.116666667;-0.586666667;-1.2075;1.766666667
5;3M Co;2008;Industrial Conglomerates;84.75224961;28.69444444;30.47916667;25.5786385;-6.517205423;-17.0844021;9.370875493;18.3967112;0.000626432;5.253940456;17.33777038;2.977081361;2.614015573;-0.311653118;5.95030597;6.753615699;44.74168192;-6.36;-3.09;-0.93;4.6;1.86;-8.44;-0.77;1.53;-9.24;-17.23;-7.86;1.74;-0.89;-0.23;0.94;-1.64;3.22;1.27;2.47;3.61;-1.13;-2.34;-2.99;3.59;3.65;-0.95;-0.15;-0.96;-1.38;-2.43;5.81;1.56;6.33;-2.9;-5.94;-0.24;-7.89;6.14;4.1;-0.2;3.21;12.54;-5.15;-4.05;0.35;7.79;7.11;-5.07;-3.6825;0.49;0.2;1.573333333
5;3M Co;2009;Industrial Conglomerates;83.57786458;30.15;29.63125;23.79661458;-2.636990445;-0.092798128;4.266999375;5.208827718;-9.987080844;-0.403480016;8.292188882;-7.595011124;8.863779032;-2.871641104;0.338622193;2.762562516;6.145978055;-8.12;-10.1;8.95;10.19;5.21;0.43;7.72;3.33;4.08;-2.59;5.56;2.75;-0.01;0.16;-0.08;4.83;-2.33;2.61;2.07;-0.9;2.45;-4.23;-2.49;6.11;-11.1;-7.25;3.52;5.46;-0.21;-2.71;5.27;7.76;0.92;-4.18;-0.17;0.01;-1.83;4.18;-11.38;-34.39;-12.44;5.29;-5.36;-8.84;-4.93;2.65;0.29;2.91;2.284166667;0.6825;-0.223333333;-5.320833333
5;3M Co;2010;Industrial Conglomerates;88.38576494;30.89361702;30.81382979;26.67831814;1.877172654;6.106363574;1.3769923;5.125986807;-2.342787664;1.476409544;-8.128624143;-4.126770952;-12.52589253;10.07104054;0.756400069;0.85143139;0.517721582;-3.36;3.4;6.31;2;-7.89;-5.56;6.93;-4.77;9.54;3.88;0.6;6.82;0.38;1.21;1.43;4.98;0.05;-1.98;0.17;-3;3.92;1.14;3.71;0.69;0.31;3.17;2.1;2.81;-2.38;-4.5;-0.26;-1.96;-3.12;-2.59;-0.9;3.82;-5.38;3.6;3.66;3.22;-0.13;-3;1.88;-0.19;1.35;1.64;2.53;-3.19;1.491666667;1.058333333;-0.291666667;0.499166667
5;3M Co;2011;Industrial Conglomerates;88.55712716;30.79591837;31.71428571;26.04692308;6.093233816;0.839241583;1.837899544;0.168142583;-4.886412208;6.098283008;1.81919643;2.147857854;0.719267655;-5.215321358;4.001807916;2.089059923;15.71225675;1.99;3.49;0.45;2.9;-1.27;-1.75;-2.36;-5.99;-7.59;11.35;-0.28;0.74;-2.46;1.52;2.6;-0.35;-0.71;-0.17;-1.3;-3.06;-3.49;3.41;-0.17;-0.71;0.83;1.08;-1.57;-2.53;-2.07;-0.33;-1.23;-2.44;-1.46;-0.17;-0.34;1.75;-0.32;2.03;3.51;0.07;-0.56;1.78;0.08;-0.31;-2.55;-1.42;3.99;1.94;0.14;-0.4075;-0.706666667;0.686666667
5;3M Co;2012;Industrial Conglomerates;87.58078012;30.75;33.0625;23.76828012;8.292945611;3.966257048;2.221153846;-1.505032452;5.913494017;-1.857835219;7.389117513;-2.737038419;5.132945939;5.393183149;7.513650644;5.048310989;44.77115267;5.05;4.42;3.11;-0.85;-6.19;3.89;0.79;2.55;2.73;-1.76;0.78;1.18;2.15;-1.75;-0.6;-0.51;0.02;0.77;-2.59;0.42;0.51;-1.14;0.58;1.47;-1.11;0.09;0.87;-0.46;-0.62;0.44;-0.26;1.32;1.54;3.79;-0.96;3.56;-7.97;-0.3;1.5;3.83;6.6;-1.12;3.07;-2.49;-1.02;0.1;0.38;-2.97;1.308333333;-0.055833333;0.683333333;-0.0325
5;3M Co;2013;Industrial Conglomerates;86.65344879;30;32.60294118;24.05050761;-8.598930481;4.470472097;0.69026943;3.643815202;3.110567505;0.484040689;-1.640603185;2.811734177;-1.61111111;8.533314514;5.819712508;2.642263725;20.35554507;5.57;1.29;1.29;1.55;2.8;-1.2;5.65;-2.71;3.77;4.18;3.12;2.81;0.39;-0.45;-0.45;-2.42;1.67;1.22;1.86;0.3;2.93;-1.49;1.24;-0.5;0.95;0.03;0.03;0.63;2.6;-0.18;0.56;-2.78;-1.19;1.14;0.24;-0.31;-1.88;1.31;1.31;0.25;-1.8;0.59;1.74;0.05;2.97;0.16;0.4;0.07;2.343333333;0.358333333;0.143333333;0.430833333
5;3M Co;2014;Industrial Conglomerates;88.05086818;30.53846154;31.74038462;25.77202202;-1.229308667;3.514082253;-2.193892677;-5.817524842;2.364055493;-3.004777471;-1.918340895;-5.419063025;-1.691976981;10.8908796;0.247900823;-3.793587944;-8.051554337;-3.32;4.65;0.43;-0.19;2.06;2.61;-2.04;4.24;-1.97;2.52;2.55;-0.06;0.86;0.32;-1.89;-4.25;-1.85;3.07;-4.24;0.36;-3.83;4.23;-2.09;2.54;-2.09;-0.4;5.08;1.14;-0.27;-0.74;0.01;-0.58;-1.23;-1.68;-2.99;2.06;1.72;2.08;-3.3;-3.85;1.15;0.68;-0.24;0.82;0.53;0;1.05;1.06;0.956666667;-0.564166667;-0.140833333;0.141666667
5;3M Co;2015;Industrial Conglomerates;84.77024124;30.75;31.78240741;22.23783383;0.238980351;4.643829374;6.221712242;0.377811095;1.230721004;3.688791521;1.85015989;1.113541261;-2.175964474;-6.202122226;4.269926805;3.976941891;19.23432873;-3.11;6.13;-1.12;0.59;1.36;-1.53;1.54;-6.04;-3.08;7.75;0.56;-2.17;-0.56;0.48;3.02;-2.97;0.87;2.83;-4.14;0.48;-2.64;-1.97;3.64;-2.82;-3.47;-1.79;-0.46;1.86;-1.37;-0.79;-4.12;2.68;0.52;-0.08;-0.52;-2.58;3.87;-2.84;2.98;-7.37;6.01;3.04;10.28;-2.07;5.32;-3.97;2.28;3.44;0.073333333;-0.315;-0.843333333;1.7475
5;3M Co;2016;Industrial Conglomerates;87.49566457;30.62727273;32.57727273;24.29111912;-2.1000168;5.676735503;2.672390662;2.378711837;5.041655813;2.840347757;-3.371919882;2.154678155;3.048750553;9.666507859;5.780301966;-3.195689725;30.5924537;-5.77;-0.07;6.96;0.92;1.78;-0.05;3.95;0.5;0.25;-2.02;4.86;1.82;-3.36;0.78;0.87;0.68;-0.26;0.65;2.65;1.15;2.02;-4.37;5.49;0.07;2.1;-0.48;1.12;3.26;-1.81;-1.49;-1.13;3.31;-1.48;4.18;8.27;3.6;1.37;-4.09;-5.14;-6.23;1.94;4.21;-3.05;-3.09;-0.56;0.65;-4.22;-0.36;1.094166667;0.530833333;1.620833333;-1.5475
