Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
1-800-Flowers.Com Inc;2008;2007;Specialty Retailers;;;;
1-800-Flowers.Com Inc;2009;2008;Specialty Retailers;;;;
1-800-Flowers.Com Inc;2010;2009;Specialty Retailers;;;;
1-800-Flowers.Com Inc;2011;2010;Specialty Retailers;;;;
1-800-Flowers.Com Inc;2012;2011;Specialty Retailers;;;;
1-800-Flowers.Com Inc;2013;2012;Specialty Retailers;;;;
1-800-Flowers.Com Inc;2014;2013;Specialty Retailers;;;;
1-800-Flowers.Com Inc;2015;2014;Specialty Retailers;;;;
1-800-Flowers.Com Inc;2016;2015;Specialty Retailers;;;;
1-800-Flowers.Com Inc;2017;2016;Specialty Retailers;;;;
1st Source Corp;2008;2007;Banking Services;;;;
1st Source Corp;2009;2008;Banking Services;;;;
1st Source Corp;2010;2009;Banking Services;;;;
1st Source Corp;2011;2010;Banking Services;;;;
1st Source Corp;2012;2011;Banking Services;;;;
1st Source Corp;2013;2012;Banking Services;;;;
1st Source Corp;2014;2013;Banking Services;;;;
1st Source Corp;2015;2014;Banking Services;;;;
1st Source Corp;2016;2015;Banking Services;;;;
1st Source Corp;2017;2016;Banking Services;41.60914796;25.22977941;43.51770344;57.64668274
2U Inc;2015;2014;Software & IT Services;;;;
2U Inc;2016;2015;Software & IT Services;42.41966328;31.91107429;29.79567546;68.82764995
2U Inc;2017;2016;Software & IT Services;46.73099109;34.39208397;29.88899942;80.08881229
3D Systems Corp;2008;2007;Computers, Phones & Household Electronics;;;;
3D Systems Corp;2009;2008;Computers, Phones & Household Electronics;;;;
3D Systems Corp;2010;2009;Computers, Phones & Household Electronics;;;;
3D Systems Corp;2011;2010;Computers, Phones & Household Electronics;;;;
3D Systems Corp;2012;2011;Computers, Phones & Household Electronics;;;;
3D Systems Corp;2013;2012;Computers, Phones & Household Electronics;;;;
3D Systems Corp;2014;2013;Computers, Phones & Household Electronics;;;;
3D Systems Corp;2015;2014;Computers, Phones & Household Electronics;;;;
