T-1;DMR;MRP;SMB;HML;MOM
200701;-0.63635808;1.4;0.1;-0.11;0.21
200702;-3.315445301;-1.96;1.32;-0.09;-1.35
200703;-0.671173395;0.68;-0.06;-0.22;2.47
200704;6.205246258;3.49;-2.06;-1.15;-0.16
200705;1.948346698;3.24;0.03;-0.05;-0.26
200706;-15.67524173;-1.96;0.77;-1.13;0.38
200707;0.721033081;-3.73;-2.51;-3.34;2.8
200708;6.412319239;0.92;-0.13;-2.24;0.11
200709;-5.075359376;3.22;-2.29;-1.87;4.59
200710;-20.4206318;1.8;0.22;-2.59;4.96
200711;-5.895264402;-4.83;-2.63;-1.18;0.93
200712;4.156722185;-0.87;0.2;-0.52;6.52
200801;-11.4904031;-6.36;-0.89;3.65;-7.89
200802;-16.47801484;-3.09;-0.23;-0.95;6.14
200803;11.58940226;-0.93;0.94;-0.15;4.1
200804;20.25501755;4.6;-1.64;-0.96;-0.2
200805;3.786343784;1.86;3.22;-1.38;3.21
200806;-1.713186158;-8.44;1.27;-2.43;12.54
200807;10.37463756;-0.77;2.47;5.81;-5.15
200808;5.011073763;1.53;3.61;1.56;-4.05
200809;4.240771527;-9.24;-1.13;6.33;0.35
200810;-5.117394263;-17.23;-2.34;-2.9;7.79
200811;5.089692159;-7.86;-2.99;-5.94;7.11
200812;6.466345815;1.74;3.59;-0.24;-5.07
200901;-2.62352931;-8.12;-0.01;-11.1;-1.83
200902;3.093785119;-10.1;0.16;-7.25;4.18
200903;7.394846862;8.95;-0.08;3.52;-11.38
200904;5.513019032;10.19;4.83;5.46;-34.39
200905;-6.30416711;5.21;-2.33;-0.21;-12.44
200906;-7.0492895;0.43;2.61;-2.71;5.29
200907;6.959436052;7.72;2.07;5.27;-5.36
200908;-6.101261914;3.33;-0.9;7.76;-8.84
200909;10.85811126;4.08;2.45;0.92;-4.93
200910;2.441646039;-2.59;-4.23;-4.18;2.65
200911;2.219899056;5.56;-2.49;-0.17;0.29
200912;9.611043013;2.75;6.11;0.01;2.91
201001;2.511748762;-3.36;0.38;0.31;-5.38
201002;5.894932902;3.4;1.21;3.17;3.6
201003;1.857234747;6.31;1.43;2.1;3.66
201004;3.199971194;2;4.98;2.81;3.22
201005;-1.008619297;-7.89;0.05;-2.38;-0.13
201006;-2.065409276;-5.56;-1.98;-4.5;-3
201007;-3.869685918;6.93;0.17;-0.26;1.88
201008;-6.715763279;-4.77;-3;-1.96;-0.19
201009;-10.44309545;9.54;3.92;-3.12;1.35
201010;13.95037526;3.88;1.14;-2.59;1.64
201011;-3.603609333;0.6;3.71;-0.9;2.53
201012;1.852816583;6.82;0.69;3.82;-3.19
201101;8.59407738;1.99;-2.46;0.83;-0.32
201102;3.800540174;3.49;1.52;1.08;2.03
201103;2.033007608;0.45;2.6;-1.57;3.51
201104;0.015281992;2.9;-0.35;-2.53;0.07
201105;-7.769879413;-1.27;-0.71;-2.07;-0.56
201106;2.769109195;-1.75;-0.17;-0.33;1.78
201107;-0.608591914;-2.36;-1.3;-1.23;0.08
201108;2.092057762;-5.99;-3.06;-2.44;-0.31
201109;3.913776078;-7.59;-3.49;-1.46;-2.55
201110;-0.730063249;11.35;3.41;-0.17;-1.42
201111;3.300625828;-0.28;-0.17;-0.34;3.99
201112;2.310021159;0.74;-0.71;1.75;1.94
201201;7.288895564;5.05;2.15;-1.11;-7.97
201202;1.302825358;4.42;-1.75;0.09;-0.3
201203;4.423358576;3.11;-0.6;0.87;1.5
201204;1.091974198;-0.85;-0.51;-0.46;3.83
201205;2.622514273;-6.19;0.02;-0.62;6.6
201206;-2.200251647;3.89;0.77;0.44;-1.12
201207;6.581120658;0.79;-2.59;-0.26;3.07
201208;-3.538919661;2.55;0.42;1.32;-2.49
201209;5.372293939;2.73;0.51;1.54;-1.02
201210;3.855980432;-1.76;-1.14;3.79;0.1
201211;1.263615263;0.78;0.58;-0.96;0.38
201212;2.047185327;1.18;1.47;3.56;-2.97
201301;-2.75081468;5.57;0.39;0.95;-1.88
201302;4.963944202;1.29;-0.45;0.03;1.31
201303;0.282808307;4.03;0.78;-0.29;1.94
201304;-0.642077465;1.55;-2.42;0.63;0.25
201305;1.525906838;2.8;1.67;2.6;-1.8
201306;4.024162184;-1.2;1.22;-0.18;0.59
201307;-4.796669646;5.65;1.86;0.56;1.74
201308;4.837870911;-2.71;0.3;-2.78;0.05
201309;-4.632791539;3.77;2.93;-1.19;2.97
201310;2.0272022;4.18;-1.49;1.14;0.16
201311;0.670606396;3.12;1.24;0.24;0.4
201312;-0.302912043;2.81;-0.5;-0.31;0.07
201401;-2.915080612;-3.32;0.86;-2.09;1.72
201402;5.497197028;4.65;0.32;-0.4;2.08
201403;-0.945587289;0.43;-1.89;5.08;-3.3
201404;0.289220899;-0.19;-4.25;1.14;-3.85
201405;0.039471431;2.06;-1.85;-0.27;1.15
201406;-0.095877249;2.61;3.07;-0.74;0.68
201407;-0.602346693;-2.04;-4.24;0.01;-0.24
201408;-4.008277512;4.24;0.36;-0.58;0.82
201409;-4.432215052;-1.97;-3.83;-1.23;0.53
201410;5.911696873;2.52;4.23;-1.68;0
201411;0.250481246;2.55;-2.09;-2.99;1.05
201412;-5.632658656;-0.06;2.54;2.06;1.06
201501;-8.072460772;-3.11;-0.56;-3.47;3.87
201502;2.486686759;6.13;0.48;-1.79;-2.84
201503;9.745670446;-1.12;3.02;-0.46;2.98
201504;3.405779509;0.59;-2.97;1.86;-7.37
201505;1.843352242;1.36;0.87;-1.37;6.01
201506;0.255820562;-1.53;2.83;-0.79;3.04
201507;5.068549471;1.54;-4.14;-4.12;10.28
201508;1.604314458;-6.04;0.48;2.68;-2.07
201509;-0.689046005;-3.08;-2.64;0.52;5.32
201510;-2.805928483;7.75;-1.97;-0.08;-3.97
201511;11.27676641;0.56;3.64;-0.52;2.28
201512;2.778485404;-2.17;-2.82;-2.58;3.44
201601;0.897268509;-5.77;-3.36;2.1;1.37
201602;0.158149131;-0.07;0.78;-0.48;-4.09
201603;0.222668145;6.96;0.87;1.12;-5.14
201604;3.257479436;0.92;0.68;3.26;-6.23
201605;-1.304182768;1.78;-0.26;-1.81;1.94
201606;3.430893852;-0.05;0.65;-1.49;4.21
201607;1.677305913;3.95;2.65;-1.13;-3.05
201608;-0.934242967;0.5;1.15;3.31;-3.09
201609;6.922945135;0.25;2.02;-1.48;-0.56
201610;1.5558572;-2.02;-4.37;4.18;0.65
201611;4.446095226;4.86;5.49;8.27;-4.22
201612;-0.695506695;1.82;0.07;3.6;-0.36
2007;-32.24580661;1.4;-7.04;-14.49;21.2
2008;32.01428606;-44.19;5.88;2.4;18.88
2009;26.0135386;27.41;8.19;-2.68;-63.85
2010;1.560896886;17.9;12.7;-3.5;5.99
2011;19.7199626;1.68;-4.89;-8.48;8.24
2012;30.11059228;15.7;-0.67;8.2;-0.39
2013;5.207235665;30.86;5.53;1.4;5.8
2014;-6.643975586;11.48;-6.77;-1.69;1.7
2015;26.89799;0.88;-3.78;-10.12;20.97
2016;19.63473012;13.13;6.37;19.45;-18.57
