Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
3D Systems Corp;2016;2015;Computers, Phones & Household Electronics;31.28847764;15.75630252;20.30935614;61.38201099
3D Systems Corp;2017;2016;Computers, Phones & Household Electronics;27.07427199;18.94317049;12.25829554;53.38327577
8x8 Inc;2017;2016;Telecommunications Services;23.45029807;15.76026637;25.53370538;29.59784293
A Schulman Inc;2017;2016;Chemicals;21.86132515;13.13779656;10.7112287;44.56389551
A. O. Smith Corp;2016;2015;Machinery, Tools, Heavy Vehicles, Trains & Ships;36.6132495;21.61521633;49.6187871;38.1947755
Aaon Inc;2016;2015;Machinery, Tools, Heavy Vehicles, Trains & Ships;21.04571511;8.641225085;25.36084274;29.8511456
Aaon Inc;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;22.20862515;14.33290708;22.11165544;31.10098055
Aaron's Inc;2010;2009;Specialty Retailers;36.50916193;20.67179144;58.70678617;28.32735656
Aaron's Inc;2011;2010;Specialty Retailers;39.35779099;22.82295271;54.35653134;40.33251947
Aaron's Inc;2012;2011;Specialty Retailers;34.2039886;21.36437908;52.20396453;27.56620429
Aaron's Inc;2013;2012;Specialty Retailers;40.08879633;19.61218116;54.38115418;46.27981969
Aaron's Inc;2014;2013;Specialty Retailers;30.58100318;20.71286142;50.93100979;17.8954814
Aaron's Inc;2015;2014;Specialty Retailers;24.70073172;19.29995139;45.01222209;7.080030851
Aaron's Inc;2016;2015;Specialty Retailers;29.39443202;23.81938691;47.5550486;14.47146957
Abercrombie & Fitch Co;2011;2010;Specialty Retailers;29.61568776;22.30392157;35.72908036;30.65092099
Abercrombie & Fitch Co;2012;2011;Specialty Retailers;38.37558405;23.16176471;44.9008868;47.74022699
Accelerate Diagnostics Inc;2016;2015;Healthcare Equipment & Supplies;24.85334203;22.10338681;24.08592972;28.81208348
Acxiom Corp;2012;2011;Software & IT Services;38.89177238;22.56843331;40.22451541;55.53705601
Acxiom Corp;2013;2012;Software & IT Services;38.80507785;21.43962848;39.71460341;
Adtalem Global Education Inc;2015;2014;Personal & Household Products & Services;29.08316968;19.09353905;34.81874856;
