Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
Aaron's Inc;2010;2009;Specialty Retailers;36.50916193;20.67179144;58.70678617;28.32735656
Aaron's Inc;2012;2011;Specialty Retailers;34.2039886;21.36437908;52.20396453;27.56620429
Aaron's Inc;2014;2013;Specialty Retailers;30.58100318;20.71286142;50.93100979;17.8954814
Aaron's Inc;2015;2014;Specialty Retailers;24.70073172;19.29995139;45.01222209;7.080030851
Aaron's Inc;2016;2015;Specialty Retailers;29.39443202;23.81938691;47.5550486;14.47146957
Accelerate Diagnostics Inc;2016;2015;Healthcare Equipment & Supplies;24.85334203;22.10338681;24.08592972;28.81208348
AGNC Investment Corp;2011;2010;Residential & Commercial REITs;24.96986738;23.76801714;32.52261916;17.51872706
AGNC Investment Corp;2012;2011;Residential & Commercial REITs;23.76210091;22.26280835;30.9813721;17.03068516
AGNC Investment Corp;2013;2012;Residential & Commercial REITs;23.94150262;20.38216561;29.59989235;21.32329355
AGNC Investment Corp;2014;2013;Residential & Commercial REITs;24.17066433;20.13927066;29.6366987;22.30257136
AGNC Investment Corp;2015;2014;Residential & Commercial REITs;22.58136943;20.86040386;28.24258987;17.91053348
Air Transport Services Group Inc;2017;2016;Freight & Logistics Services;21.81749069;13.85448916;23.3135656;28.95294616
Alleghany Corp;2013;2012;Insurance;24.28254072;23.84868421;31.38899185;16.49474093
Alleghany Corp;2014;2013;Insurance;27.82435578;22.92993631;32.82048982;27.46525755
Alliance Data Systems Corp;2010;2009;Professional & Commercial Services;29.02059088;22.40111562;39.06629432;24.70713798
Amerco;2016;2015;Freight & Logistics Services;22.40104041;20.57007988;21.18761954;25.85445347
Amerco;2017;2016;Freight & Logistics Services;22.05142419;21.5407754;18.3818822;26.89177826
American National Insurance Co;2013;2012;Insurance;22.02407143;22.6876935;26.19996294;16.42383211
American National Insurance Co;2015;2014;Insurance;23.2957958;22.51270879;29.48182925;16.96860795
American Railcar Industries Inc;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;23.00582797;23.66794544;17.74341702;28.39283108
AmerisourceBergen Corp;2008;2007;Food & Drug Retailing;22.03072225;22.22982216;25.64690468;17.59977557
Ametek Inc;2010;2009;Machinery, Tools, Heavy Vehicles, Trains & Ships;24.11820167;20.93533065;27.02738168;24.28022541
Ametek Inc;2011;2010;Machinery, Tools, Heavy Vehicles, Trains & Ships;24.87969496;18.50990396;29.35829261;26.7676516
Ametek Inc;2012;2011;Machinery, Tools, Heavy Vehicles, Trains & Ships;17.19450329;16.35382796;26.85257272;6.890290038
AmTrust Financial Services Inc;2016;2015;Insurance;29.3859388;22.49455338;37.20470974;27.96760228
Annaly Capital Management Inc;2011;2010;Residential & Commercial REITs;33.06757802;23.30054538;46.19205298;28.67938944
Applied Optoelectronics Inc;2017;2016;Communications & Networking;22.68487177;20.25735294;26.76056338;20.64712055
Aptargroup Inc;2011;2010;Containers & Packaging;16.04902868;7.928388747;14.39069198;27.0317405
Arrow Electronics Inc;2010;2009;Semiconductors & Semiconductor Equipment;24.34198836;15.70069204;34.27920464;22.40864071
Arrow Financial Corp;2017;2016;Banking Services;28.87362561;22.65625;45.00440141;17.02930528
Autozone Inc;2009;2008;Specialty Retailers;35.80800831;21.79487179;60.73492235;22.41591626
Autozone Inc;2010;2009;Specialty Retailers;32.44533617;19.86965241;57.10627401;17.76041667
AVX Corp;2016;2015;Machinery, Tools, Heavy Vehicles, Trains & Ships;25.7239835;19.1419543;43.97916424;11.81349419
AVX Corp;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;29.37794624;17.40196078;54.5034701;13.48376292
Axon Enterprise Inc;2016;2015;Aerospace & Defense;20.13522502;20.22058824;24.35446009;15.12915309
BancFirst Corp;2016;2015;Banking Services;27.1202363;18.62745098;34.00540228;28.57372185
BankUnited Inc;2013;2012;Banking Services;29.73546216;22.4569127;42.41948506;23.08588408
BB&T Corp;2011;2010;Banking Services;25.73651593;16.05960265;38.59015017;21.56310728
BB&T Corp;2014;2013;Banking Services;27.27737954;13.88125344;42.97529727;23.93941916
Berkshire Hathaway Inc;2008;2007;Insurance;25.90989583;21.58263305;35.14419852;19.98560695
Berkshire Hathaway Inc;2009;2008;Insurance;26.75150641;23.13571098;32.92114894;23.60116986
Berkshire Hathaway Inc;2010;2009;Insurance;22.87729813;22.53112924;29.00174771;16.13473361
Berkshire Hathaway Inc;2011;2010;Insurance;25.9798389;21.89326062;34.26919131;20.88710615
Berkshire Hathaway Inc;2012;2011;Insurance;26.04602564;19.91176471;33.71361502;23.95964691
Berkshire Hathaway Inc;2013;2012;Insurance;23.66100636;19.20472136;32.56578947;18.26408469
Berkshire Hathaway Inc;2014;2013;Insurance;23.20714863;19.55788685;31.20570557;17.96538237
Berkshire Hathaway Inc;2015;2014;Insurance;22.63088088;19.78939724;24.96957051;23.07635504
Blue Buffalo Pet Products Inc;2016;2015;Food & Tobacco;19.34307988;22.46684801;25.72254335;8.435569392
BMC Stock Holdings Inc;2017;2016;Paper & Forest Products;26.41626431;22.20588235;30.0915493;26.83201412
BOK Financial Corp;2010;2009;Banking Services;16.7237337;20.77346206;7.776045586;22.62380464
BOK Financial Corp;2011;2010;Banking Services;18.44322131;20.73432022;8.770170693;27.14800605
BOK Financial Corp;2012;2011;Banking Services;19.57338296;20.09487666;13.33939119;26.24800336
BOK Financial Corp;2013;2012;Banking Services;14.41832243;18.522855;11.61299004;13.10800088
BOK Financial Corp;2014;2013;Banking Services;12.96776254;18.60912589;9.545434601;10.66239494
BOK Financial Corp;2015;2014;Banking Services;16.21194926;18.54697103;18.74500736;10.66066066
Booking Holdings Inc;2012;2011;Hotels & Entertainment Services;23.62785548;22.7124183;24.79015507;23.29550231
Booking Holdings Inc;2013;2012;Hotels & Entertainment Services;27.38200432;21.12044818;33.42052314;27.33365974
Booking Holdings Inc;2015;2014;Hotels & Entertainment Services;23.82490385;20.1625387;28.95972325;21.93094734
Brinks Co;2010;2009;Professional & Commercial Services;21.2187949;16.92444219;24.61753278;22.05003415
Brinks Co;2012;2011;Professional & Commercial Services;20.87192308;22.74886878;26.50595883;12.22194199
Brinks Co;2013;2012;Professional & Commercial Services;23.15455293;21.47717296;24.80554972;23.10276713
Brinks Co;2014;2013;Professional & Commercial Services;23.7571228;22.67417605;24.38817301;24.22984106
Brunswick Corp;2008;2007;Leisure Products;30.31584821;18.47426471;48.06338028;22.85933841
Brunswick Corp;2015;2014;Leisure Products;35.46168284;15.10180995;61.45720477;27.90085167
C.H. Robinson Worldwide Inc;2009;2008;Freight & Logistics Services;25.97207459;21.64261931;40.68562317;13.67274686
C.H. Robinson Worldwide Inc;2010;2009;Freight & Logistics Services;21.97734375;22.13235294;31.11502347;11.16888661
C.H. Robinson Worldwide Inc;2011;2010;Freight & Logistics Services;22.56738419;22.29990357;35.43061649;7.893600412
Cal-Maine Foods Inc;2017;2016;Food & Tobacco;19.01334802;18.82667506;19.02914815;19.20305214
Cardiovascular Systems Inc;2017;2016;Healthcare Equipment & Supplies;22.59706334;21.03157439;19.24710025;28.24133594
Cato Corp;2017;2016;Specialty Retailers;23.6923491;19.65240642;32.15535638;18.34550622
Cerner Corp;2013;2012;Healthcare Equipment & Supplies;38.24001193;23.24929972;63.30203443;25.78041904
Cerner Corp;2014;2013;Healthcare Equipment & Supplies;35.19610829;22.945845;53.84529399;27.14571024
Cerner Corp;2015;2014;Healthcare Equipment & Supplies;35.19610829;22.945845;53.84529399;27.14571024
CF Industries Holdings Inc;2009;2008;Chemicals;23.44347075;9.104428288;34.54660548;26.50465635
CF Industries Holdings Inc;2010;2009;Chemicals;22.97347618;12.5364007;36.79403152;18.52202869
CF Industries Holdings Inc;2011;2010;Chemicals;23.08897467;18.82352941;31.30704225;18.27860548
CF Industries Holdings Inc;2012;2011;Chemicals;21.73397436;19.23076923;29.63705309;15.32576713
CF Industries Holdings Inc;2013;2012;Chemicals;28.59129494;20.3358209;37.79167543;27.08547889
Chimera Investment Corp;2010;2009;Residential & Commercial REITs;21.12113351;23.06915132;25.27953983;14.10946038
Chimera Investment Corp;2011;2010;Residential & Commercial REITs;22.32598365;23.6511492;26.41777819;16.08616938
Chimera Investment Corp;2012;2011;Residential & Commercial REITs;22.62502068;22.37666034;25.47932758;19.57965532
Chimera Investment Corp;2013;2012;Residential & Commercial REITs;21.14753816;20.26976396;23.88535032;18.93940673
Chimera Investment Corp;2014;2013;Residential & Commercial REITs;20.88435568;20.24922118;23.8317757;18.16177082
Chimera Investment Corp;2015;2014;Residential & Commercial REITs;19.68654177;20.75504829;21.97393315;15.83304616
Choice Hotels International Inc;2011;2010;Hotels & Entertainment Services;31.03153495;19.27409262;44.23883728;28.76575813
Choice Hotels International Inc;2012;2011;Hotels & Entertainment Services;30.27550117;18.43434343;43.82557974;27.70407734
Choice Hotels International Inc;2013;2012;Hotels & Entertainment Services;29.07974106;18.767507;41.9852448;25.55418615
Cimarex Energy Co;2012;2011;Oil & Gas;25.07998834;22.318776;32.00668658;20.09583859
Cimarex Energy Co;2013;2012;Oil & Gas;24.59793463;17.82996781;29.80870296;26.07756074
Cimarex Energy Co;2014;2013;Oil & Gas;25.98006072;19.35816383;32.21008293;26.11051011
CME Group Inc;2010;2009;Investment Banking & Investment Services;37.11325384;21.37770898;68.95478132;17.59306694
CME Group Inc;2012;2011;Investment Banking & Investment Services;37.26902287;19.54160042;67.04732902;22.37074401
Cognizant Technology Solutions Corp;2009;2008;Software & IT Services;;23.05246423;;13.43188915
Continental Resources Inc;2009;2008;Oil & Gas;21.97840818;21.14317425;26.889007;17.19387362
Continental Resources Inc;2010;2009;Oil & Gas;18.60026042;21.39872995;23.03537132;10.31847678
Control4 Corp;2017;2016;Computers, Phones & Household Electronics;17.63248385;12.80276817;24.68931234;14.80274359
Convergys Corp;2008;2007;Software & IT Services;33.10417672;22.57551669;49.39094024;25.88431889
CoreCivic Inc;2010;2009;Residential & Commercial REITs;33.37436243;23.44066937;53.44220495;21.0903347
CoreCivic Inc;2011;2010;Residential & Commercial REITs;26.15172239;6.045751634;51.45316342;19.11571744
CoreCivic Inc;2012;2011;Residential & Commercial REITs;24.53192308;6.255656109;49.90790899;15.36948298
CoreCivic Inc;2013;2012;Residential & Commercial REITs;24.6503643;5.805531168;51.46100483;14.45189175
CoreCivic Inc;2014;2013;Residential & Commercial REITs;25.41312597;6.090947017;47.08320847;21.7300491
Corelogic Inc;2010;2009;Professional & Commercial Services;23.22177622;16.31592292;26.24453618;27.40181011
Corelogic Inc;2011;2010;Professional & Commercial Services;22.13796015;17.32026144;26.14576347;22.84368927
Covenant Transportation Group Inc;2017;2016;Freight & Logistics Services;26.40492529;15.92580214;35.5393726;27.45467307
Crocs Inc;2017;2016;Textiles & Apparel;20.96915006;14.77941176;26.05633803;21.948033
Curtiss-Wright Corp;2016;2015;Aerospace & Defense;26.87370178;16.10294118;38.62676056;25.20066158
Depomed Inc;2017;2016;Pharmaceuticals;23.75939082;19.34832757;23.4741784;29.00861021
Dick's Sporting Goods Inc;2010;2009;Specialty Retailers;28.10632102;17.86430481;41.93341869;23.42981557
Dick's Sporting Goods Inc;2014;2013;Specialty Retailers;26.56623935;19.51645065;42.14609692;16.29108763
Dillard's Inc;2008;2007;Diversified Retail;20.45200893;17.83088235;29.04929577;13.36724239
Dillard's Inc;2009;2008;Diversified Retail;21.55575117;13.97058824;39.55399061;9.062572154
Dollar General Corp;2010;2009;Diversified Retail;11.43552827;17.57703081;11.4017438;4.628586066
Dollar General Corp;2011;2010;Diversified Retail;23.13908941;20.90336134;30.14336016;17.47886458
Dollar General Corp;2012;2011;Diversified Retail;27.24089092;19.5663011;44.62878969;15.55779739
DSW Inc;2011;2010;Specialty Retailers;21.74076971;20.40080738;19.82187241;25.46796884
DSW Inc;2012;2011;Specialty Retailers;18.6002849;19.56699346;19.54877413;16.4186633
E*TRADE Financial Corp;2014;2013;Investment Banking & Investment Services;29.47493812;22.71511911;46.27517169;17.45610385
Eagle Materials Inc;2010;2009;Construction Materials;19.01013829;10.19269777;20.03399709;27.64771175
Eagle Materials Inc;2011;2010;Construction Materials;21.02043425;18.77564979;17.34359646;27.802415
Eagle Materials Inc;2016;2015;Construction Materials;22.33664979;20.76124567;20.61585197;26.09573381
Eagle Materials Inc;2017;2016;Construction Materials;21.36050665;23.80174292;21.62232655;18.33438731
EchoStar Corp;2010;2009;Communications & Networking;10.2226089;14.70588235;10.05121639;5.424351093
EchoStar Corp;2011;2010;Communications & Networking;9.287267081;13.36317136;7.930189835;6.323185012
EchoStar Corp;2012;2011;Communications & Networking;11.08580825;12.53196931;13.87017759;6.232870954
EchoStar Corp;2013;2012;Communications & Networking;11.49477231;17.45524297;11.97183099;4.295048201
EchoStar Corp;2016;2015;Communications & Networking;16.90012655;23.2266436;19.07622204;7.314783285
Education Management Corp;2010;2009;Personal & Household Products & Services;29.20893389;21.90876351;46.4357574;17.29593579
Education Management Corp;2011;2010;Personal & Household Products & Services;24.48485872;20.0708061;33.933229;18.40815852
Education Management Corp;2012;2011;Personal & Household Products & Services;30.74451567;18.81808279;49.96087637;21.67297184
Education Management Corp;2013;2012;Personal & Household Products & Services;29.89196795;19.3498452;41.82110205;27.75911263
Education Management Corp;2014;2013;Personal & Household Products & Services;29.99499459;20.25072324;42.20734242;26.64308896
Energy Recovery Inc;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;21.8899566;16.63469736;28.84772403;19.64989333
Equifax Inc;2010;2009;Professional & Commercial Services;35.3470995;19.20638945;65.66901408;18.04730191
Equifax Inc;2011;2010;Professional & Commercial Services;33.04069571;19.5611578;58.60719875;18.3093328
EXCO Resources Inc;2010;2009;Oil & Gas;24.48034591;19.36736959;29.63504296;24.18032787
Expedia Inc;2008;2007;Hotels & Entertainment Services;16.71138393;20.12254902;18.12206573;11.26683255
Expeditors International of Washington Inc;2008;2007;Freight & Logistics Services;28.55654762;20.40441176;36.0915493;28.87392662
Express Scripts Holding Co;2011;2010;Food & Drug Retailing;23.569853;16.15154536;27.89448556;26.80585314
Extra Space Storage Inc;2015;2014;Residential & Commercial REITs;19.82941535;20.24356618;20.68661972;18.37000935
FBL Financial Group Inc;2016;2015;Insurance;25.65069631;22.30781201;39.82785603;12.87590602
FBL Financial Group Inc;2017;2016;Insurance;28.65302497;23.28776581;43.71487139;17.10296805
Ferro Corp;2016;2015;Chemicals;22.85018016;19.19642857;22.91247485;26.85070779
Ferro Corp;2017;2016;Chemicals;21.71221009;21.52258694;22.0410863;21.54080292
Fidelity National Financial Inc;2008;2007;Insurance;26.42946429;20.91036415;32.99798793;24.93657299
Fidelity National Financial Inc;2009;2008;Insurance;24.89629311;22.02408522;35.67150937;15.55645347
Fidelity National Financial Inc;2010;2009;Insurance;29.95060257;21.50064405;45.12182585;21.7119194
Fidelity National Financial Inc;2011;2010;Insurance;24.96197085;19.55590183;42.32814103;10.77532513
Fidelity National Financial Inc;2013;2012;Insurance;26.74610582;18.27592879;34.3448851;27.34378957
Fidelity National Financial Inc;2014;2013;Insurance;23.87124382;16.41064069;32.06692384;22.64874761
Fidelity National Financial Inc;2015;2014;Insurance;23.3152319;16.73928831;29.42097027;23.53911288
Fidelity National Information Services Inc;2008;2007;Investment Banking & Investment Services;22.11611557;16.32602193;27.41704464;22.40071233
Fidelity National Information Services Inc;2009;2008;Investment Banking & Investment Services;23.75969089;16.44976575;26.97245419;28.16901408
Fidelity National Information Services Inc;2010;2009;Investment Banking & Investment Services;25.9669907;15.25033678;40.41769702;21.09375
Fidelity National Information Services Inc;2016;2015;Investment Banking & Investment Services;30.7610734;16.45178619;46.25056274;28.68366007
Fidelity National Information Services Inc;2017;2016;Investment Banking & Investment Services;30.34470563;20.08272059;42.61785994;27.49914871
First Citizens BancShares Inc;2009;2008;Banking Services;21.80336221;19.88547631;31.01084382;13.22442854
First Citizens BancShares Inc;2010;2009;Banking Services;26.54943344;18.88751684;34.91291259;25.35604508
First Citizens BancShares Inc;2012;2011;Banking Services;28.77382134;21.91650854;38.06905952;25.59899117
First Citizens BancShares Inc;2013;2012;Banking Services;25.1321738;17.96084676;36.74082713;19.61472877
First Citizens BancShares Inc;2014;2013;Banking Services;26.51126556;17.06981858;40.83410118;20.3653158
First Citizens BancShares Inc;2015;2014;Banking Services;25.21259618;15.91308165;39.03931049;19.48587932
First Citizens BancShares Inc;2016;2015;Banking Services;29.25342195;22.17297878;39.02180205;25.7766211
First Mid-Illinois Bancshares Inc;2017;2016;Banking Services;24.46031783;21.49203431;38.7446205;11.14323241
Fiserv Inc;2010;2009;Professional & Commercial Services;24.27279095;21.18407708;25.78314716;25.9579918
Fiserv Inc;2012;2011;Professional & Commercial Services;22.44346154;19.89819005;23.28819068;24.29760404
Fiserv Inc;2013;2012;Professional & Commercial Services;22.34442873;18.57989464;20.56968678;28.60664179
Fiserv Inc;2014;2013;Professional & Commercial Services;23.17296144;18.91948269;25.37708521;25.34908879
Fitbit Inc;2016;2015;Computers, Phones & Household Electronics;14.54846686;12.54901961;14.97652582;16.27912633
FLIR Systems Inc;2009;2008;Communications & Networking;22.34301643;12.95955882;32.48239437;21.00169322
FLIR Systems Inc;2012;2011;Communications & Networking;18.9749531;11.72883788;28.80453452;15.61160151
FLIR Systems Inc;2013;2012;Communications & Networking;20.07348472;11.33428981;29.37135005;18.99343249
FLIR Systems Inc;2014;2013;Communications & Networking;22.14243531;10.47345768;32.36001374;23.25788466
FLIR Systems Inc;2015;2014;Communications & Networking;20.68544764;9.684361549;26.31398145;26.39770918
FLIR Systems Inc;2016;2015;Communications & Networking;25.51451533;18.67647059;29.83568075;28.10770054
FormFactor Inc;2011;2010;Semiconductors & Semiconductor Equipment;26.2633612;22.39583333;31.07394366;24.97550119
FormFactor Inc;2013;2012;Semiconductors & Semiconductor Equipment;25.78311458;18.02252816;35.66077315;22.93731323
FormFactor Inc;2015;2014;Semiconductors & Semiconductor Equipment;17.75019607;16.16130988;18.44054015;18.71789823
Fossil Group Inc;2013;2012;Textiles & Apparel;25.01637838;18.81684492;32.12227913;23.65653121
Fossil Group Inc;2016;2015;Textiles & Apparel;27.79343343;23.08823529;33.12676056;26.83092929
Fox Factory Holding Corp;2017;2016;Automobiles & Auto Parts;13.05132851;8.84547849;18.68299348;11.18492832
Freedom Oil and Gas Ltd;2014;2013;Oil & Gas;16.42579517;18.03875756;15.76280111;15.39942034
Freedom Oil and Gas Ltd;2015;2014;Oil & Gas;11.92338285;18.49775785;9.742310364;7.133196721
Freedom Oil and Gas Ltd;2016;2015;Oil & Gas;19.35330393;18.29006906;13.8250556;26.97306792
Fulton Financial Corp;2011;2010;Banking Services;29.95173598;19.09816907;41.85010727;28.20187021
FutureFuel Corp;2017;2016;Renewable Energy;23.8076574;18.16704582;30.02490079;22.85908867
Gentex Corp;2009;2008;Automobiles & Auto Parts;16.59028389;16.42922794;13.65536972;20.18586931
Genuine Parts Co;2008;2007;Automobiles & Auto Parts;22.59962121;9.759358289;33.59795134;24.11202186
Genuine Parts Co;2011;2010;Automobiles & Auto Parts;22.28495441;13.51689612;32.8888223;19.71697643
Genuine Parts Co;2012;2011;Automobiles & Auto Parts;22.27915228;12.07983193;31.43144582;22.9962169
Genuine Parts Co;2013;2012;Automobiles & Auto Parts;19.50644967;11.2745098;32.38013942;13.69890767
Genuine Parts Co;2014;2013;Automobiles & Auto Parts;23.1961705;11.36101499;34.95581331;22.70200549
Global Payments Inc;2015;2014;Professional & Commercial Services;22.52723916;22.07830152;19.71364612;26.30253204
Globalstar Inc;2017;2016;Telecommunications Services;17.76288788;11.5427303;25.2502436;15.98204296
GMS Inc;2017;2016;Paper & Forest Products;17.53887881;11.14911081;23.14117262;18.14119626
Gogo Inc;2017;2016;Telecommunications Services;22.41877497;23.12834225;28.81988903;14.17730492
Green Plains Inc;2017;2016;Renewable Energy;14.9021365;12.05882353;13.69014085;19.48241475
Hawaiian Holdings Inc;2017;2016;Passenger Transportation Services;25.63464392;23.06149733;29.67349552;23.8021112
Healthcare Services Group Inc;2016;2015;Professional & Commercial Services;27.4775264;22.63362198;35.93694145;23.0310843
Heartland Express Inc;2016;2015;Freight & Logistics Services;27.51470858;14.46986202;54.22535211;10.96706718
Heartland Express Inc;2017;2016;Freight & Logistics Services;27.32867957;16.32687166;49.87996159;13.34477654
HEICO Corp;2016;2015;Aerospace & Defense;25.76048467;20.36764706;32.84037559;23.53164372
Hilltop Holdings Inc;2016;2015;Insurance;30.09899204;18.75972611;44.12772934;26.41095491
Horizon Global Corp;2017;2016;Automobiles & Auto Parts;26.48670699;14.11325724;43.95627496;19.94662923
Huntington Bancshares Inc;2008;2007;Banking Services;32.01553042;17.7218345;54.68687833;21.5615242
IAC/InterActiveCorp;2008;2007;Software & IT Services;30.26359395;23.52941176;53.3498287;10.89968774
ICU Medical Inc;2016;2015;Healthcare Equipment & Supplies;20.65604262;23.52941176;17.1574904;21.52502797
ILG Inc;2017;2016;Hotels & Entertainment Services;23.39869353;23.65827774;23.95818208;22.45811298
Impinj Inc;2017;2016;Semiconductors & Semiconductor Equipment;18.60781889;14.11290323;14.27192185;28.66524437
Independence Realty Trust Inc;2017;2016;Residential & Commercial REITs;30.20241776;19.24076607;42.48607927;28.12458738
