Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
3D Systems Corp;2016;2015;Computers, Phones & Household Electronics;31.28847764;15.75630252;20.30935614;61.38201099
3D Systems Corp;2017;2016;Computers, Phones & Household Electronics;27.07427199;18.94317049;12.25829554;53.38327577
8x8 Inc;2017;2016;Telecommunications Services;23.45029807;15.76026637;25.53370538;29.59784293
A Schulman Inc;2017;2016;Chemicals;21.86132515;13.13779656;10.7112287;44.56389551
Aaon Inc;2016;2015;Machinery, Tools, Heavy Vehicles, Trains & Ships;21.04571511;8.641225085;25.36084274;29.8511456
Aaon Inc;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;22.20862515;14.33290708;22.11165544;31.10098055
Accelerate Diagnostics Inc;2016;2015;Healthcare Equipment & Supplies;24.85334203;22.10338681;24.08592972;28.81208348
Aegion Corp;2017;2016;Construction & Engineering;26.14895083;8.868547419;25.66110951;45.98016664
Aerojet Rocketdyne Holdings Inc;2016;2015;Aerospace & Defense;24.19777448;19.63235294;20.63380282;33.43532617
Aerojet Rocketdyne Holdings Inc;2017;2016;Aerospace & Defense;29.57520842;23.24929972;25.38564722;41.50341559
Affiliated Managers Group Inc;2012;2011;Investment Banking & Investment Services;28.7962578;16.36195019;31.82337267;39.13408995
Affiliated Managers Group Inc;2013;2012;Investment Banking & Investment Services;32.81706889;15.76002082;30.24429764;54.82602016
Affiliated Managers Group Inc;2014;2013;Investment Banking & Investment Services;33.17657843;17.17306757;30.7240135;53.87118249
Affiliated Managers Group Inc;2016;2015;Investment Banking & Investment Services;34.50957213;17.77039848;30.99045888;57.2656516
Affiliated Managers Group Inc;2017;2016;Investment Banking & Investment Services;36.67012775;17.62095371;30.87757313;64.64742632
AGCO Corp;2008;2007;Machinery, Tools, Heavy Vehicles, Trains & Ships;29.01473458;20.55207329;27.92657585;39.71506635
AGNC Investment Corp;2012;2011;Residential & Commercial REITs;23.76210091;22.26280835;30.9813721;17.03068516
AGNC Investment Corp;2013;2012;Residential & Commercial REITs;23.94150262;20.38216561;29.59989235;21.32329355
