T-1;DMR;MRP;SMB;HML;MOM
200701;-2.546819631;1.4;0.1;-0.11;0.21
200702;-2.819239993;-1.96;1.32;-0.09;-1.35
200703;-0.06835505;0.68;-0.06;-0.22;2.47
200704;7.152035745;3.49;-2.06;-1.15;-0.16
200705;2.80974222;3.24;0.03;-0.05;-0.26
200706;-12.30081049;-1.96;0.77;-1.13;0.38
200707;-0.132813116;-3.73;-2.51;-3.34;2.8
200708;3.035909385;0.92;-0.13;-2.24;0.11
200709;-8.521032727;3.22;-2.29;-1.87;4.59
200710;-21.98226619;1.8;0.22;-2.59;4.96
200711;-7.912304884;-4.83;-2.63;-1.18;0.93
200712;4.039489137;-0.87;0.2;-0.52;6.52
200801;-7.048432901;-6.36;-0.89;3.65;-7.89
200802;-14.54677115;-3.09;-0.23;-0.95;6.14
200803;12.43746508;-0.93;0.94;-0.15;4.1
200804;20.17867766;4.6;-1.64;-0.96;-0.2
200805;4.399983927;1.86;3.22;-1.38;3.21
200806;-1.911423149;-8.44;1.27;-2.43;12.54
200807;10.67712464;-0.77;2.47;5.81;-5.15
200808;6.505960773;1.53;3.61;1.56;-4.05
200809;4.492958991;-9.24;-1.13;6.33;0.35
200810;-4.979600454;-17.23;-2.34;-2.9;7.79
200811;5.976980252;-7.86;-2.99;-5.94;7.11
200812;5.194827428;1.74;3.59;-0.24;-5.07
200901;-3.364145631;-8.12;-0.01;-11.1;-1.83
200902;3.40298465;-10.1;0.16;-7.25;4.18
200903;7.555712171;8.95;-0.08;3.52;-11.38
200904;5.011369399;10.19;4.83;5.46;-34.39
200905;-7.061905497;5.21;-2.33;-0.21;-12.44
200906;-7.321135921;0.43;2.61;-2.71;5.29
200907;7.84601707;7.72;2.07;5.27;-5.36
200908;-5.659933351;3.33;-0.9;7.76;-8.84
200909;11.30254778;4.08;2.45;0.92;-4.93
200910;3.736387826;-2.59;-4.23;-4.18;2.65
200911;2.553694777;5.56;-2.49;-0.17;0.29
200912;8.39145398;2.75;6.11;0.01;2.91
201001;2.012530363;-3.36;0.38;0.31;-5.38
201002;5.697230978;3.4;1.21;3.17;3.6
201003;1.481933478;6.31;1.43;2.1;3.66
201004;3.600568847;2;4.98;2.81;3.22
201005;-0.376223226;-7.89;0.05;-2.38;-0.13
201006;-2.354146956;-5.56;-1.98;-4.5;-3
201007;-2.655386139;6.93;0.17;-0.26;1.88
201008;-8.637074052;-4.77;-3;-1.96;-0.19
201009;-11.15359288;9.54;3.92;-3.12;1.35
201010;14.08744042;3.88;1.14;-2.59;1.64
201011;-3.698714516;0.6;3.71;-0.9;2.53
201012;-0.139629099;6.82;0.69;3.82;-3.19
201101;8.576801078;1.99;-2.46;0.83;-0.32
201102;3.663048643;3.49;1.52;1.08;2.03
201103;1.889879015;0.45;2.6;-1.57;3.51
201104;-0.884511925;2.9;-0.35;-2.53;0.07
201105;-7.215371265;-1.27;-0.71;-2.07;-0.56
201106;2.330552886;-1.75;-0.17;-0.33;1.78
201107;-0.225482619;-2.36;-1.3;-1.23;0.08
201108;2.592002755;-5.99;-3.06;-2.44;-0.31
201109;3.705144257;-7.59;-3.49;-1.46;-2.55
201110;-0.494194049;11.35;3.41;-0.17;-1.42
201111;3.154797487;-0.28;-0.17;-0.34;3.99
201112;2.715536631;0.74;-0.71;1.75;1.94
201201;7.908165608;5.05;2.15;-1.11;-7.97
201202;1.898322891;4.42;-1.75;0.09;-0.3
201203;4.623261197;3.11;-0.6;0.87;1.5
201204;0.943197326;-0.85;-0.51;-0.46;3.83
201205;3.706071213;-6.19;0.02;-0.62;6.6
201206;-1.877547792;3.89;0.77;0.44;-1.12
201207;6.565290919;0.79;-2.59;-0.26;3.07
201208;-2.475834168;2.55;0.42;1.32;-2.49
201209;5.655012158;2.73;0.51;1.54;-1.02
201210;3.23688512;-1.76;-1.14;3.79;0.1
201211;1.380490456;0.78;0.58;-0.96;0.38
201212;3.225221363;1.18;1.47;3.56;-2.97
201301;-2.386625761;5.57;0.39;0.95;-1.88
201302;5.149248952;1.29;-0.45;0.03;1.31
201303;-0.858341972;4.03;0.78;-0.29;1.94
201304;-0.775801628;1.55;-2.42;0.63;0.25
201305;1.798894008;2.8;1.67;2.6;-1.8
201306;4.181316632;-1.2;1.22;-0.18;0.59
201307;-4.259417592;5.65;1.86;0.56;1.74
201308;5.160522352;-2.71;0.3;-2.78;0.05
201309;-5.150124676;3.77;2.93;-1.19;2.97
201310;1.748970517;4.18;-1.49;1.14;0.16
201311;2.170388522;3.12;1.24;0.24;0.4
201312;-0.378574303;2.81;-0.5;-0.31;0.07
201401;-2.784983811;-3.32;0.86;-2.09;1.72
201402;6.910434651;4.65;0.32;-0.4;2.08
201403;-1.014777405;0.43;-1.89;5.08;-3.3
201404;-1.017136803;-0.19;-4.25;1.14;-3.85
