Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
3D Systems Corp;2016;2015;Computers, Phones & Household Electronics;31.28847764;15.75630252;20.30935614;61.38201099
3D Systems Corp;2017;2016;Computers, Phones & Household Electronics;27.07427199;18.94317049;12.25829554;53.38327577
8x8 Inc;2017;2016;Telecommunications Services;23.45029807;15.76026637;25.53370538;29.59784293
A Schulman Inc;2017;2016;Chemicals;21.86132515;13.13779656;10.7112287;44.56389551
Aaon Inc;2016;2015;Machinery, Tools, Heavy Vehicles, Trains & Ships;21.04571511;8.641225085;25.36084274;29.8511456
Aaon Inc;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;22.20862515;14.33290708;22.11165544;31.10098055
Aaron's Inc;2014;2013;Specialty Retailers;30.58100318;20.71286142;50.93100979;17.8954814
Aaron's Inc;2015;2014;Specialty Retailers;24.70073172;19.29995139;45.01222209;7.080030851
Aaron's Inc;2016;2015;Specialty Retailers;29.39443202;23.81938691;47.5550486;14.47146957
Abercrombie & Fitch Co;2009;2008;Specialty Retailers;31.2285121;26.77224736;37.76634164;28.5865466
Abercrombie & Fitch Co;2011;2010;Specialty Retailers;29.61568776;22.30392157;35.72908036;30.65092099
Acacia Communications Inc;2017;2016;Communications & Networking;22.81689275;26.50735294;20.95070423;20.8750582
Acadia Healthcare Company Inc;2016;2015;Healthcare Providers & Services;30.27861487;34.18663762;43.54025387;10.4864523
Accelerate Diagnostics Inc;2016;2015;Healthcare Equipment & Supplies;24.85334203;22.10338681;24.08592972;28.81208348
Accelerate Diagnostics Inc;2017;2016;Healthcare Equipment & Supplies;30.93755688;25.82179931;26.86930406;41.37554813
Activision Blizzard Inc;2013;2012;Software & IT Services;31.09355397;40.24064171;16.70934699;37.63907413
Acuity Brands Inc;2016;2015;Homebuilding & Construction Supplies;30.00635457;;;
Adtalem Global Education Inc;2015;2014;Personal & Household Products & Services;29.08316968;19.09353905;34.81874856;
Adtalem Global Education Inc;2016;2015;Personal & Household Products & Services;27.73701436;;;
Adtalem Global Education Inc;2017;2016;Personal & Household Products & Services;31.89634283;;;
