Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
A10 Networks Inc;2017;2016;Software & IT Services;34.53456666;30.58714192;49.73558825;21.24198222
Aaron's Inc;2010;2009;Specialty Retailers;36.50916193;20.67179144;58.70678617;28.32735656
Aaron's Inc;2012;2011;Specialty Retailers;34.2039886;21.36437908;52.20396453;27.56620429
Aaron's Inc;2014;2013;Specialty Retailers;30.58100318;20.71286142;50.93100979;17.8954814
Aaron's Inc;2015;2014;Specialty Retailers;24.70073172;19.29995139;45.01222209;7.080030851
Aaron's Inc;2016;2015;Specialty Retailers;29.39443202;23.81938691;47.5550486;14.47146957
Aaron's Inc;2017;2016;Specialty Retailers;33.54289054;38.08377897;45.05335041;15.08349606
Abercrombie & Fitch Co;2008;2007;Specialty Retailers;33.86277174;28.34612106;45.96856501;25.92213115
Abercrombie & Fitch Co;2009;2008;Specialty Retailers;31.2285121;26.77224736;37.76634164;28.5865466
Acacia Communications Inc;2017;2016;Communications & Networking;22.81689275;26.50735294;20.95070423;20.8750582
Acadia Healthcare Company Inc;2016;2015;Healthcare Providers & Services;30.27861487;34.18663762;43.54025387;10.4864523
Acadia Healthcare Company Inc;2017;2016;Healthcare Providers & Services;33.21296857;35.53421369;47.21184248;14.33157979
ACADIA Pharmaceuticals Inc;2017;2016;Biotechnology & Medical Research;37.0580263;36.59638554;54.51807229;17.25029361
Accelerate Diagnostics Inc;2016;2015;Healthcare Equipment & Supplies;24.85334203;22.10338681;24.08592972;28.81208348
Access National Corp;2017;2016;Banking Services;36.64490935;29.15134804;53.45510563;25.43242135
Aclaris Therapeutics Inc;2017;2016;Biotechnology & Medical Research;32.99980273;45.84514529;38.22755812;12.59564
Advance Auto Parts Inc;2008;2007;Specialty Retailers;38.0160132;52.00341006;33.72116759;27.42242389
Advance Auto Parts Inc;2009;2008;Specialty Retailers;38.0160132;52.00341006;33.72116759;27.42242389
Advance Auto Parts Inc;2017;2016;Specialty Retailers;44.55681272;57.62923351;45.81306018;28.52208841
Advanced Disposal Services Inc;2017;2016;Professional & Commercial Services;31.90156143;31.12322515;39.84033511;23.52900298
Advanced Energy Industries Inc;2016;2015;Semiconductors & Semiconductor Equipment;29.0311739;36.40973631;22.7841185;28.07705404
Aflac Inc;2008;2007;Insurance;54.99880952;54.84593838;82.36083166;23.32162373
AGCO Corp;2010;2009;Machinery, Tools, Heavy Vehicles, Trains & Ships;29.24521383;28.77237852;35.98547809;21.92708333
AGNC Investment Corp;2011;2010;Residential & Commercial REITs;24.96986738;23.76801714;32.52261916;17.51872706
AGNC Investment Corp;2012;2011;Residential & Commercial REITs;23.76210091;22.26280835;30.9813721;17.03068516
AGNC Investment Corp;2013;2012;Residential & Commercial REITs;23.94150262;20.38216561;29.59989235;21.32329355
AGNC Investment Corp;2014;2013;Residential & Commercial REITs;24.17066433;20.13927066;29.6366987;22.30257136
AGNC Investment Corp;2015;2014;Residential & Commercial REITs;22.58136943;20.86040386;28.24258987;17.91053348
AGNC Investment Corp;2016;2015;Residential & Commercial REITs;23.96302251;24.80862208;27.9342723;18.39811257
Air Transport Services Group Inc;2017;2016;Freight & Logistics Services;21.81749069;13.85448916;23.3135656;28.95294616
Alacer Gold Corp;2012;2011;Metals & Mining;35.01730446;25.93345849;53.04165418;24.16439785
Alarm.com Holdings Inc;2016;2015;Software & IT Services;37.57361488;45.98177299;46.94835681;17.28900131
Alarm.com Holdings Inc;2017;2016;Software & IT Services;37.77094328;50.97856987;42.77449081;17.2238862
Align Technology Inc;2016;2015;Healthcare Equipment & Supplies;26.12513263;33.45216875;33.2408593;9.675049861
Align Technology Inc;2017;2016;Healthcare Equipment & Supplies;32.08942598;38.4299308;42.27423364;13.16687399
Alleghany Corp;2013;2012;Insurance;24.28254072;23.84868421;31.38899185;16.49474093
Alleghany Corp;2014;2013;Insurance;27.82435578;22.92993631;32.82048982;27.46525755
Allegiance Bancshares Inc;2017;2016;Banking Services;39.09408743;31.84742647;55.41128717;28.18018193
Alliance Data Systems Corp;2010;2009;Professional & Commercial Services;29.02059088;22.40111562;39.06629432;24.70713798
Allscripts Healthcare Solutions Inc;2010;2009;Healthcare Equipment & Supplies;25.49296875;32.69761029;16.57130282;27.84579918
Ally Financial Inc;2015;2014;Banking Services;29.76598838;26.87006146;42.70548665;17.93350728
Ally Financial Inc;2016;2015;Banking Services;32.60848881;32.40666129;47.66544472;15.30816753
Alphabet Inc;2010;2009;Software & IT Services;62.63268874;92.77810134;66.10654023;24.98463115
Alphabet Inc;2011;2010;Software & IT Services;58.69458887;82.79153767;63.73239437;25.96874118
Alphabet Inc;2013;2012;Software & IT Services;58.28238307;80.15973631;64.74016513;26.37807905
Alphabet Inc;2014;2013;Software & IT Services;54.36637356;82.15609078;57.94610181;19.22110344
Altaba Inc;2008;2007;Collective Investments;52.11019345;60.29411765;70.14084507;22.00063427
AMC Entertainment Holdings Inc;2016;2015;Hotels & Entertainment Services;25.03075887;26.27995643;33.68544601;13.56472248
AMC Entertainment Holdings Inc;2017;2016;Hotels & Entertainment Services;26.85313212;28.20648878;37.8684478;12.52336708
AMC Networks Inc;2012;2011;Media & Publishing;19.47027558;30.78614623;16.05897065;10.82639765
AMC Networks Inc;2015;2014;Media & Publishing;22.90758258;32.18137255;17.74647887;18.57677349
AMC Networks Inc;2016;2015;Media & Publishing;25.84404939;32.4894958;26.89637827;17.21116894
AMC Networks Inc;2017;2016;Media & Publishing;26.34942819;34.88621726;22.60203557;21.19472686
Amedisys Inc;2016;2015;Healthcare Providers & Services;25.11099205;31.57225853;28.51677969;13.94415528
Amedisys Inc;2017;2016;Healthcare Providers & Services;26.54355659;33.7334934;28.35584938;16.4191551
Amerco;2016;2015;Freight & Logistics Services;22.40104041;20.57007988;21.18761954;25.85445347
Amerco;2017;2016;Freight & Logistics Services;22.05142419;21.5407754;18.3818822;26.89177826
American Assets Trust Inc;2016;2015;Residential & Commercial REITs;44.79399705;56.24410192;48.08315131;28.20158583
American National Insurance Co;2009;2008;Insurance;22.48036579;27.86012043;23.37251858;15.44485492
American National Insurance Co;2010;2009;Insurance;22.37849947;26.65306999;24.07731058;15.63609973
American National Insurance Co;2011;2010;Insurance;29.713447;27.26918582;37.0954202;23.84606441
American National Insurance Co;2012;2011;Insurance;24.7224359;26.02941176;31.08450704;15.86044557
American National Insurance Co;2013;2012;Insurance;22.02407143;22.6876935;26.19996294;16.42383211
American National Insurance Co;2014;2013;Insurance;23.93480876;24.27875609;28.37086212;18.38811683
American National Insurance Co;2015;2014;Insurance;23.2957958;22.51270879;29.48182925;16.96860795
American National Insurance Co;2016;2015;Insurance;26.74765516;24.36196701;35.50562635;19.21340663
American National Insurance Co;2017;2016;Insurance;25.42436518;27.01601767;25.10745223;24.01892994
American Railcar Industries Inc;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;23.00582797;23.66794544;17.74341702;28.39283108
American Renal Associates Holdings Inc;2017;2016;Healthcare Providers & Services;40.89134318;42.01680672;62.84851969;14.08001445
AmerisourceBergen Corp;2008;2007;Food & Drug Retailing;22.03072225;22.22982216;25.64690468;17.59977557
Ametek Inc;2010;2009;Machinery, Tools, Heavy Vehicles, Trains & Ships;24.11820167;20.93533065;27.02738168;24.28022541
Ametek Inc;2011;2010;Machinery, Tools, Heavy Vehicles, Trains & Ships;24.87969496;18.50990396;29.35829261;26.7676516
Ametek Inc;2012;2011;Machinery, Tools, Heavy Vehicles, Trains & Ships;17.19450329;16.35382796;26.85257272;6.890290038
Ametek Inc;2013;2012;Machinery, Tools, Heavy Vehicles, Trains & Ships;28.7937499;25.99024534;39.63479369;19.30070402
Amkor Technology Inc;2016;2015;Semiconductors & Semiconductor Equipment;29.81338893;23.97312373;39.30305974;25.27849394
Amkor Technology Inc;2017;2016;Semiconductors & Semiconductor Equipment;33.79434116;28.0597723;45.28623353;26.81116617
AmTrust Financial Services Inc;2016;2015;Insurance;29.3859388;22.49455338;37.20470974;27.96760228
AmTrust Financial Services Inc;2017;2016;Insurance;35.14818187;23.95056614;51.54400582;28.54710596
Annaly Capital Management Inc;2011;2010;Residential & Commercial REITs;33.06757802;23.30054538;46.19205298;28.67938944
Antero Resources Corp;2015;2014;Oil & Gas;34.20061317;41.65787391;38.79555359;20.53939185
AppFolio Inc;2017;2016;Software & IT Services;28.02291588;24.81412639;31.89957589;27.08774905
Apple Hospitality REIT Inc;2016;2015;Residential & Commercial REITs;27.93834002;37.77917584;17.83535437;28.72744077
Apple Hospitality REIT Inc;2017;2016;Residential & Commercial REITs;31.18124402;37.29822161;31.2708811;24.2579865
Applied Optoelectronics Inc;2017;2016;Communications & Networking;22.68487177;20.25735294;26.76056338;20.64712055
Aptargroup Inc;2011;2010;Containers & Packaging;16.04902868;7.928388747;14.39069198;27.0317405
AquaBounty Technologies Inc;2017;2016;Biotechnology & Medical Research;49.12170449;61.57866761;64.73358222;17.06405187
Arch Coal Inc;2017;2016;Coal;32.51458245;33.57142857;46.59959759;14.9424249
Archer Daniels Midland Co;2008;2007;Food & Tobacco;50.0578125;74.83193277;48.69215292;24.03029859
Ares Capital Corp;2011;2010;Collective Investments;26.59254686;35.01838235;30.63380282;12.49605528
Ares Capital Corp;2012;2011;Collective Investments;24.48134442;32.36618972;26.88745083;12.89113073
Ares Capital Corp;2013;2012;Collective Investments;22.33011994;31.7933368;25.19631061;8.444902163
Ares Capital Corp;2014;2013;Collective Investments;24.47881445;33.79922217;29.00128041;8.82499792
Ares Capital Corp;2015;2014;Collective Investments;22.34784785;34.8155929;23.22825844;7.424637753
Ares Capital Corp;2016;2015;Collective Investments;24.07602182;34.84819734;26.89232167;8.789706669
Ares Capital Corp;2017;2016;Collective Investments;26.62884308;33.42325096;34.41120093;9.996594834
ARMOUR Residential REIT Inc;2017;2016;Residential & Commercial REITs;29.07790698;38.11901505;24.27448411;24.59016393
Armstrong World Industries Inc;2009;2008;Construction Materials;40.18552985;58.99859944;39.16834339;20.39752174
Armstrong World Industries Inc;2010;2009;Construction Materials;36.93324653;58.7254902;35.33646322;14.49880464
Armstrong World Industries Inc;2011;2010;Construction Materials;36.75402045;62.51336898;27.95134443;18.28441876
Arrow Electronics Inc;2010;2009;Semiconductors & Semiconductor Equipment;24.34198836;15.70069204;34.27920464;22.40864071
Arrow Financial Corp;2017;2016;Banking Services;28.87362561;22.65625;45.00440141;17.02930528
Associated Capital Group Inc;2017;2016;Investment Banking & Investment Services;26.25226189;27.01879568;39.07825652;10.4691485
Assurant Inc;2011;2010;Insurance;44.37829029;51.23685236;55.08814476;24.2671118
