Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
2U Inc;2016;2015;Software & IT Services;42.41966328;31.91107429;29.79567546;68.82764995
2U Inc;2017;2016;Software & IT Services;46.73099109;34.39208397;29.88899942;80.08881229
3D Systems Corp;2016;2015;Computers, Phones & Household Electronics;31.28847764;15.75630252;20.30935614;61.38201099
3D Systems Corp;2017;2016;Computers, Phones & Household Electronics;27.07427199;18.94317049;12.25829554;53.38327577
8x8 Inc;2017;2016;Telecommunications Services;23.45029807;15.76026637;25.53370538;29.59784293
A Schulman Inc;2017;2016;Chemicals;21.86132515;13.13779656;10.7112287;44.56389551
Aaon Inc;2016;2015;Machinery, Tools, Heavy Vehicles, Trains & Ships;21.04571511;8.641225085;25.36084274;29.8511456
Aaon Inc;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;22.20862515;14.33290708;22.11165544;31.10098055
Acacia Communications Inc;2017;2016;Communications & Networking;22.81689275;26.50735294;20.95070423;20.8750582
Accelerate Diagnostics Inc;2016;2015;Healthcare Equipment & Supplies;24.85334203;22.10338681;24.08592972;28.81208348
Accelerate Diagnostics Inc;2017;2016;Healthcare Equipment & Supplies;30.93755688;25.82179931;26.86930406;41.37554813
Acceleron Pharma Inc;2016;2015;Biotechnology & Medical Research;33.51265343;39.4552139;23.71158771;38.29595758
Acceleron Pharma Inc;2017;2016;Biotechnology & Medical Research;34.8313834;47.86498937;20.17223825;37.36440142
Acorda Therapeutics Inc;2017;2016;Biotechnology & Medical Research;47.3518357;57.53897945;19.90072968;67.9469628
Activision Blizzard Inc;2012;2011;Software & IT Services;33.40161172;42.01680672;16.43192488;43.5493905
Activision Blizzard Inc;2013;2012;Software & IT Services;31.09355397;40.24064171;16.70934699;37.63907413
Advanced Energy Industries Inc;2016;2015;Semiconductors & Semiconductor Equipment;29.0311739;36.40973631;22.7841185;28.07705404
Aegion Corp;2017;2016;Construction & Engineering;26.14895083;8.868547419;25.66110951;45.98016664
Aerojet Rocketdyne Holdings Inc;2016;2015;Aerospace & Defense;24.19777448;19.63235294;20.63380282;33.43532617
Aerojet Rocketdyne Holdings Inc;2017;2016;Aerospace & Defense;29.57520842;23.24929972;25.38564722;41.50341559
AES Corp;2008;2007;Electric Utilities & IPPs;;35.41874377;29.12389592;
