Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
Acacia Communications Inc;2017;2016;Communications & Networking;22.81689275;26.50735294;20.95070423;20.8750582
Accelerate Diagnostics Inc;2016;2015;Healthcare Equipment & Supplies;24.85334203;22.10338681;24.08592972;28.81208348
Advanced Energy Industries Inc;2016;2015;Semiconductors & Semiconductor Equipment;29.0311739;36.40973631;22.7841185;28.07705404
AGNC Investment Corp;2012;2011;Residential & Commercial REITs;23.76210091;22.26280835;30.9813721;17.03068516
AGNC Investment Corp;2013;2012;Residential & Commercial REITs;23.94150262;20.38216561;29.59989235;21.32329355
AGNC Investment Corp;2014;2013;Residential & Commercial REITs;24.17066433;20.13927066;29.6366987;22.30257136
AGNC Investment Corp;2015;2014;Residential & Commercial REITs;22.58136943;20.86040386;28.24258987;17.91053348
AGNC Investment Corp;2016;2015;Residential & Commercial REITs;23.96302251;24.80862208;27.9342723;18.39811257
Air Transport Services Group Inc;2017;2016;Freight & Logistics Services;21.81749069;13.85448916;23.3135656;28.95294616
Alleghany Corp;2013;2012;Insurance;24.28254072;23.84868421;31.38899185;16.49474093
Allscripts Healthcare Solutions Inc;2010;2009;Healthcare Equipment & Supplies;25.49296875;32.69761029;16.57130282;27.84579918
AMC Networks Inc;2012;2011;Media & Publishing;19.47027558;30.78614623;16.05897065;10.82639765
AMC Networks Inc;2015;2014;Media & Publishing;22.90758258;32.18137255;17.74647887;18.57677349
AMC Networks Inc;2016;2015;Media & Publishing;25.84404939;32.4894958;26.89637827;17.21116894
AMC Networks Inc;2017;2016;Media & Publishing;26.34942819;34.88621726;22.60203557;21.19472686
Amedisys Inc;2016;2015;Healthcare Providers & Services;25.11099205;31.57225853;28.51677969;13.94415528
Amedisys Inc;2017;2016;Healthcare Providers & Services;26.54355659;33.7334934;28.35584938;16.4191551
Amerco;2016;2015;Freight & Logistics Services;22.40104041;20.57007988;21.18761954;25.85445347
Amerco;2017;2016;Freight & Logistics Services;22.05142419;21.5407754;18.3818822;26.89177826
American National Insurance Co;2009;2008;Insurance;22.48036579;27.86012043;23.37251858;15.44485492
American National Insurance Co;2010;2009;Insurance;22.37849947;26.65306999;24.07731058;15.63609973
American National Insurance Co;2012;2011;Insurance;24.7224359;26.02941176;31.08450704;15.86044557
American National Insurance Co;2013;2012;Insurance;22.02407143;22.6876935;26.19996294;16.42383211
American National Insurance Co;2014;2013;Insurance;23.93480876;24.27875609;28.37086212;18.38811683
American National Insurance Co;2015;2014;Insurance;23.2957958;22.51270879;29.48182925;16.96860795
American National Insurance Co;2017;2016;Insurance;25.42436518;27.01601767;25.10745223;24.01892994
American Railcar Industries Inc;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;23.00582797;23.66794544;17.74341702;28.39283108
AmerisourceBergen Corp;2008;2007;Food & Drug Retailing;22.03072225;22.22982216;25.64690468;17.59977557
Ametek Inc;2010;2009;Machinery, Tools, Heavy Vehicles, Trains & Ships;24.11820167;20.93533065;27.02738168;24.28022541
Ametek Inc;2011;2010;Machinery, Tools, Heavy Vehicles, Trains & Ships;24.87969496;18.50990396;29.35829261;26.7676516
Ametek Inc;2012;2011;Machinery, Tools, Heavy Vehicles, Trains & Ships;17.19450329;16.35382796;26.85257272;6.890290038
Apple Hospitality REIT Inc;2016;2015;Residential & Commercial REITs;27.93834002;37.77917584;17.83535437;28.72744077
