Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
3M Co;2008;2007;Industrial Conglomerates;82.80568812;80.27383367;80.25740651;88.59411593
3M Co;2009;2008;Industrial Conglomerates;84.75224961;84.39542484;85.85680751;83.86438852
3M Co;2010;2009;Industrial Conglomerates;83.57786458;88.67647059;83.46830986;78.02168716
3M Co;2011;2010;Industrial Conglomerates;88.38576494;90.86357947;86.79952053;87.46989553
3M Co;2012;2011;Industrial Conglomerates;88.55712716;90.57623049;89.3360161;85.39974779
3M Co;2013;2012;Industrial Conglomerates;87.58078012;90.44117647;93.13380282;77.92878729
3M Co;2014;2013;Industrial Conglomerates;86.65344879;88.23529412;91.83927092;78.85412333
3M Co;2015;2014;Industrial Conglomerates;88.05086818;89.81900452;89.40953413;84.49843286
3M Co;2016;2015;Industrial Conglomerates;84.77024124;90.44117647;89.52790819;72.91093058
3M Co;2017;2016;Industrial Conglomerates;87.49566457;90.0802139;91.76696543;79.6430135
Advanced Micro Devices Inc;2011;2010;Semiconductors & Semiconductor Equipment;78.90579882;73.66727941;89.15052817;72.82126663
Advanced Micro Devices Inc;2014;2013;Semiconductors & Semiconductor Equipment;77.77109271;75.03095975;79.14751668;79.2235999
Advanced Micro Devices Inc;2016;2015;Semiconductors & Semiconductor Equipment;85.31161491;79.93154158;83.72389509;93.15707545
Advanced Micro Devices Inc;2017;2016;Semiconductors & Semiconductor Equipment;81.8227567;81.53462998;83.30304407;80.42098972
Aetna Inc;2010;2009;Healthcare Providers & Services;75.513382;72.72434521;73.57869847;80.87431694
Aetna Inc;2012;2011;Healthcare Providers & Services;73.65910256;71.62745098;66.4741784;84.28667507
Aetna Inc;2013;2012;Healthcare Providers & Services;70.75333182;68.42105263;65.47905856;79.49215782
Aetna Inc;2014;2013;Healthcare Providers & Services;72.30043487;67.44098913;68.45339553;82.19522343
AK Steel Holding Corp;2013;2012;Metals & Mining;69.39275421;71.47661112;64.17103302;73.14750722
AK Steel Holding Corp;2014;2013;Metals & Mining;74.58416483;72.7124183;71.30696638;80.48514604
AK Steel Holding Corp;2015;2014;Metals & Mining;76.92015757;72.54243979;76.49825125;82.2913077
AK Steel Holding Corp;2016;2015;Metals & Mining;74.11522922;69.94155969;62.05899894;92.80050591
AK Steel Holding Corp;2017;2016;Metals & Mining;69.13590882;70.39895166;57.85803933;80.8546272
Akamai Technologies Inc;2014;2013;Software & IT Services;59.80205707;68.44574037;42.98203011;69.74388411
Alcoa Corp;2017;2016;Metals & Mining;86.40217299;92.12774219;79.61000325;87.92521143
Alliance Data Systems Corp;2016;2015;Professional & Commercial Services;73.8894365;71.42430576;64.47772932;87.5920611
Allstate Corp;2009;2008;Insurance;85.83841632;89.5553497;79.5441943;89.02101131
Allstate Corp;2010;2009;Insurance;86.59774369;91.01545728;77.85545389;91.84853142
Allstate Corp;2011;2010;Insurance;86.38749438;90.54343592;83.04262662;85.64784826
Allstate Corp;2012;2011;Insurance;84.67192308;94.16666667;85.85446009;72.7112232
Allstate Corp;2013;2012;Insurance;80.70698446;92.76315789;78.16438102;70.22673938
Allstate Corp;2014;2013;Insurance;87.86850205;96.22517797;81.38961155;86.09386702
Allstate Corp;2015;2014;Insurance;83.03962296;84.29557008;74.38706312;91.71056302
Allstate Corp;2016;2015;Insurance;79.61001994;92.05571117;70.657277;76.15654035
Allstate Corp;2017;2016;Insurance;82.87588488;84.74868821;79.38901012;84.84666328
Altaba Inc;2011;2010;Collective Investments;79.73308004;77.05882353;90;70.76419685
Altaba Inc;2012;2011;Collective Investments;70.90544872;67.27941176;73.41549296;72.02606137
Altria Group Inc;2012;2011;Food & Tobacco;72.175;68.44362745;75.88028169;72.02185792
Altria Group Inc;2014;2013;Food & Tobacco;71.34932686;67.84953112;72.28005715;74.16742947
Amazon.com Inc;2017;2016;Diversified Retail;74.99382612;67.01112878;76.99847735;81.55928811
American Express Co;2009;2008;Banking Services;72.38834704;67.01587715;72.1986788;78.59809128
American Express Co;2017;2016;Banking Services;74.72736119;67.50408497;85.10979069;70.69507085
American International Group Inc;2016;2015;Insurance;74.45807703;74.68876439;74.17840376;74.52643868
American International Group Inc;2017;2016;Insurance;73.42793955;78.12758906;69.18931429;73.12246784
American Water Works Company Inc;2012;2011;Water & Related Utilities;76.41004662;72.32620321;69.07810499;89.49642707
American Water Works Company Inc;2013;2012;Water & Related Utilities;80.6335081;78.47593583;74.96798976;89.63296247
American Water Works Company Inc;2014;2013;Water & Related Utilities;84.28502538;82.01357466;81.31094258;90.27877174
American Water Works Company Inc;2015;2014;Water & Related Utilities;79.20418495;79.52488688;76.32719393;82.19531006
American Water Works Company Inc;2016;2015;Water & Related Utilities;79.94599407;78.23529412;78.02816901;84.08522644
