T-1;DMR;MRP;SMB;HML;MOM
200701;-5.323236113;1.4;0.1;-0.11;0.21
200702;-1.589751311;-1.96;1.32;-0.09;-1.35
200703;-2.05231122;0.68;-0.06;-0.22;2.47
200704;6.63315419;3.49;-2.06;-1.15;-0.16
200705;0.680156107;3.24;0.03;-0.05;-0.26
200706;-9.130072147;-1.96;0.77;-1.13;0.38
200707;-1.448637697;-3.73;-2.51;-3.34;2.8
200708;1.452838156;0.92;-0.13;-2.24;0.11
200709;-7.734371801;3.22;-2.29;-1.87;4.59
200710;-22.0047786;1.8;0.22;-2.59;4.96
200711;-7.292089002;-4.83;-2.63;-1.18;0.93
200712;0.856179061;-0.87;0.2;-0.52;6.52
200801;-10.68375766;-6.36;-0.89;3.65;-7.89
200802;-18.46896354;-3.09;-0.23;-0.95;6.14
200803;13.57489456;-0.93;0.94;-0.15;4.1
200804;22.43643579;4.6;-1.64;-0.96;-0.2
200805;10.24325524;1.86;3.22;-1.38;3.21
200806;-0.492422302;-8.44;1.27;-2.43;12.54
200807;7.623255565;-0.77;2.47;5.81;-5.15
200808;8.635306303;1.53;3.61;1.56;-4.05
200809;2.209138728;-9.24;-1.13;6.33;0.35
200810;-3.120325031;-17.23;-2.34;-2.9;7.79
200811;5.630059501;-7.86;-2.99;-5.94;7.11
200812;3.97195145;1.74;3.59;-0.24;-5.07
200901;-2.745068337;-8.12;-0.01;-11.1;-1.83
200902;2.423289053;-10.1;0.16;-7.25;4.18
200903;6.137601731;8.95;-0.08;3.52;-11.38
200904;2.947023464;10.19;4.83;5.46;-34.39
200905;-7.46983929;5.21;-2.33;-0.21;-12.44
200906;-6.438782675;0.43;2.61;-2.71;5.29
200907;7.771096662;7.72;2.07;5.27;-5.36
200908;-5.374894845;3.33;-0.9;7.76;-8.84
200909;9.799527465;4.08;2.45;0.92;-4.93
200910;2.668914314;-2.59;-4.23;-4.18;2.65
200911;1.607647313;5.56;-2.49;-0.17;0.29
200912;7.771247984;2.75;6.11;0.01;2.91
201001;2.431419898;-3.36;0.38;0.31;-5.38
201002;5.346848036;3.4;1.21;3.17;3.6
201003;0.785771804;6.31;1.43;2.1;3.66
201004;2.11058771;2;4.98;2.81;3.22
201005;-1.008227103;-7.89;0.05;-2.38;-0.13
201006;-1.277997437;-5.56;-1.98;-4.5;-3
201007;-3.923926478;6.93;0.17;-0.26;1.88
201008;-8.145507294;-4.77;-3;-1.96;-0.19
201009;-9.572169157;9.54;3.92;-3.12;1.35
201010;14.59308968;3.88;1.14;-2.59;1.64
201011;-3.794353022;0.6;3.71;-0.9;2.53
201012;-0.002325104;6.82;0.69;3.82;-3.19
201101;6.948593309;1.99;-2.46;0.83;-0.32
201102;3.984247184;3.49;1.52;1.08;2.03
201103;2.626662336;0.45;2.6;-1.57;3.51
201104;-1.324350717;2.9;-0.35;-2.53;0.07
201105;-7.908979693;-1.27;-0.71;-2.07;-0.56
201106;3.362946707;-1.75;-0.17;-0.33;1.78
201107;0.189506773;-2.36;-1.3;-1.23;0.08
201108;3.684691797;-5.99;-3.06;-2.44;-0.31
201109;3.57217505;-7.59;-3.49;-1.46;-2.55
201110;-0.810774929;11.35;3.41;-0.17;-1.42
201111;2.032972337;-0.28;-0.17;-0.34;3.99
201112;2.739676409;0.74;-0.71;1.75;1.94
201201;7.827861591;5.05;2.15;-1.11;-7.97
201202;1.030194447;4.42;-1.75;0.09;-0.3
201203;4.419000306;3.11;-0.6;0.87;1.5
201204;1.134502758;-0.85;-0.51;-0.46;3.83
201205;2.866179963;-6.19;0.02;-0.62;6.6
201206;-3.306697237;3.89;0.77;0.44;-1.12
201207;6.007622857;0.79;-2.59;-0.26;3.07
201208;-3.030768485;2.55;0.42;1.32;-2.49
201209;3.544180904;2.73;0.51;1.54;-1.02
201210;4.88147977;-1.76;-1.14;3.79;0.1
201211;2.90245363;0.78;0.58;-0.96;0.38
201212;2.412883854;1.18;1.47;3.56;-2.97
201301;-2.974340779;5.57;0.39;0.95;-1.88
