Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
3M Co;2008;2007;Industrial Conglomerates;82.80568812;80.27383367;80.25740651;88.59411593
3M Co;2009;2008;Industrial Conglomerates;84.75224961;84.39542484;85.85680751;83.86438852
3M Co;2010;2009;Industrial Conglomerates;83.57786458;88.67647059;83.46830986;78.02168716
3M Co;2011;2010;Industrial Conglomerates;88.38576494;90.86357947;86.79952053;87.46989553
3M Co;2012;2011;Industrial Conglomerates;88.55712716;90.57623049;89.3360161;85.39974779
3M Co;2013;2012;Industrial Conglomerates;87.58078012;90.44117647;93.13380282;77.92878729
3M Co;2014;2013;Industrial Conglomerates;86.65344879;88.23529412;91.83927092;78.85412333
3M Co;2015;2014;Industrial Conglomerates;88.05086818;89.81900452;89.40953413;84.49843286
3M Co;2016;2015;Industrial Conglomerates;84.77024124;90.44117647;89.52790819;72.91093058
3M Co;2017;2016;Industrial Conglomerates;87.49566457;90.0802139;91.76696543;79.6430135
AbbVie Inc;2016;2015;Pharmaceuticals;69.12978268;70.68915802;85.54957194;48.27990466
AbbVie Inc;2017;2016;Pharmaceuticals;77.12957986;79.91095521;90.35405091;58.63661318
Advanced Micro Devices Inc;2008;2007;Semiconductors & Semiconductor Equipment;68.01503414;83.96770473;83.30571665;32.43437744
Advanced Micro Devices Inc;2009;2008;Semiconductors & Semiconductor Equipment;66.26032864;74.09313725;83.86150235;37.04206111
Advanced Micro Devices Inc;2010;2009;Semiconductors & Semiconductor Equipment;67.04577206;73.70242215;82.38400994;41.77254098
Advanced Micro Devices Inc;2011;2010;Semiconductors & Semiconductor Equipment;78.90579882;73.66727941;89.15052817;72.82126663
Advanced Micro Devices Inc;2012;2011;Semiconductors & Semiconductor Equipment;75.16036394;76.85009488;87.70255944;58.67843632
Advanced Micro Devices Inc;2013;2012;Semiconductors & Semiconductor Equipment;72.24026283;73.63892365;73.45669763;69.26524962
Advanced Micro Devices Inc;2014;2013;Semiconductors & Semiconductor Equipment;77.77109271;75.03095975;79.14751668;79.2235999
Advanced Micro Devices Inc;2015;2014;Semiconductors & Semiconductor Equipment;75.42434961;77.198302;81.69014085;66.15385878
Advanced Micro Devices Inc;2016;2015;Semiconductors & Semiconductor Equipment;85.31161491;79.93154158;83.72389509;93.15707545
Advanced Micro Devices Inc;2017;2016;Semiconductors & Semiconductor Equipment;81.8227567;81.53462998;83.30304407;80.42098972
Aetna Inc;2009;2008;Healthcare Providers & Services;71.44994409;68.57341362;78.56825995;66.37131532
Aetna Inc;2010;2009;Healthcare Providers & Services;75.513382;72.72434521;73.57869847;80.87431694
Aetna Inc;2011;2010;Healthcare Providers & Services;69.77641626;73.081418;72.29736032;63.15793845
Aetna Inc;2014;2013;Healthcare Providers & Services;72.30043487;67.44098913;68.45339553;82.19522343
Aflac Inc;2010;2009;Insurance;64.44147278;67.60412194;84.02385114;38.12329235
Aflac Inc;2011;2010;Insurance;63.7476214;69.45851188;86.30724746;31.12345741
Aflac Inc;2012;2011;Insurance;66.035;74.94117647;85.70422535;33.21311475
Aflac Inc;2013;2012;Insurance;65.847612;72.72639319;83.42753892;37.71758032
Aflac Inc;2014;2013;Insurance;66.39167125;73.56687898;84.83448461;36.92685362
Aflac Inc;2015;2014;Insurance;65.69052386;75.30864198;85.65466875;31.73173173
Aflac Inc;2016;2015;Insurance;64.09249054;75.02334267;75.18071391;39.00131342
Aflac Inc;2017;2016;Insurance;64.30269998;73.14968241;75.77200291;41.09097353
Agilent Technologies Inc;2008;2007;Healthcare Equipment & Supplies;;82.44117647;83.30985915;
AK Steel Holding Corp;2014;2013;Metals & Mining;74.58416483;72.7124183;71.30696638;80.48514604
AK Steel Holding Corp;2015;2014;Metals & Mining;76.92015757;72.54243979;76.49825125;82.2913077
Alcoa Corp;2017;2016;Metals & Mining;86.40217299;92.12774219;79.61000325;87.92521143
Allstate Corp;2008;2007;Insurance;65.13705357;68.23529412;76.00268276;49.03639735
Allstate Corp;2009;2008;Insurance;85.83841632;89.5553497;79.5441943;89.02101131
Allstate Corp;2010;2009;Insurance;86.59774369;91.01545728;77.85545389;91.84853142
Allstate Corp;2011;2010;Insurance;86.38749438;90.54343592;83.04262662;85.64784826
Allstate Corp;2012;2011;Insurance;84.67192308;94.16666667;85.85446009;72.7112232
Allstate Corp;2013;2012;Insurance;80.70698446;92.76315789;78.16438102;70.22673938
Allstate Corp;2014;2013;Insurance;87.86850205;96.22517797;81.38961155;86.09386702
Allstate Corp;2015;2014;Insurance;83.03962296;84.29557008;74.38706312;91.71056302
Allstate Corp;2016;2015;Insurance;79.61001994;92.05571117;70.657277;76.15654035
Allstate Corp;2017;2016;Insurance;82.87588488;84.74868821;79.38901012;84.84666328
