Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
2U Inc;2017;2016;Software & IT Services;46.73099109;34.39208397;29.88899942;80.08881229
3M Co;2008;2007;Industrial Conglomerates;82.80568812;80.27383367;80.25740651;88.59411593
3M Co;2009;2008;Industrial Conglomerates;84.75224961;84.39542484;85.85680751;83.86438852
3M Co;2010;2009;Industrial Conglomerates;83.57786458;88.67647059;83.46830986;78.02168716
3M Co;2011;2010;Industrial Conglomerates;88.38576494;90.86357947;86.79952053;87.46989553
3M Co;2012;2011;Industrial Conglomerates;88.55712716;90.57623049;89.3360161;85.39974779
3M Co;2013;2012;Industrial Conglomerates;87.58078012;90.44117647;93.13380282;77.92878729
3M Co;2014;2013;Industrial Conglomerates;86.65344879;88.23529412;91.83927092;78.85412333
3M Co;2015;2014;Industrial Conglomerates;88.05086818;89.81900452;89.40953413;84.49843286
3M Co;2016;2015;Industrial Conglomerates;84.77024124;90.44117647;89.52790819;72.91093058
3M Co;2017;2016;Industrial Conglomerates;87.49566457;90.0802139;91.76696543;79.6430135
Abbott Laboratories;2009;2008;Pharmaceuticals;76.57354544;60.47794118;97.74899396;69.86935273
Abbott Laboratories;2011;2010;Pharmaceuticals;74.69660436;56.18964004;95.51187723;71.09970601
Abbott Laboratories;2012;2011;Pharmaceuticals;76.95554487;48.29963235;96.25880282;86.43211433
Abbott Laboratories;2013;2012;Pharmaceuticals;75.6205679;46.40522876;92.7788956;88.21731863
Abbott Laboratories;2014;2013;Pharmaceuticals;76.33685037;46.82539683;94.52269171;88.06773737
Abbott Laboratories;2015;2014;Pharmaceuticals;72.43927774;47.33031674;94.61538462;74.61806068
Abbott Laboratories;2016;2015;Pharmaceuticals;79.24356922;54.39691028;94.25949637;89.46392956
Abbott Laboratories;2017;2016;Pharmaceuticals;82.40722016;59.60207612;95.81607291;92.2223226
Abercrombie & Fitch Co;2016;2015;Specialty Retailers;57.49935951;54.8985087;42.31799246;78.06878436
Abercrombie & Fitch Co;2017;2016;Specialty Retailers;64.64790165;57.33511586;56.63679044;82.12426772
Acadia Realty Trust;2016;2015;Residential & Commercial REITs;54.90304432;28.71972318;61.76093997;76.10886803
Acadia Realty Trust;2017;2016;Residential & Commercial REITs;55.2188378;26.95622435;61.98165739;78.85322344
ACI Worldwide Inc;2016;2015;Software & IT Services;55.56192098;35.05937586;58.99623091;74.41990563
ACI Worldwide Inc;2017;2016;Software & IT Services;56.39402013;37.01618194;55.85894549;78.61833647
Activision Blizzard Inc;2016;2015;Software & IT Services;57.76514744;54.64154412;50.28609155;69.95232767
Adobe Systems Inc;2015;2014;Software & IT Services;;;;74.23400183
ADTRAN Inc;2017;2016;Communications & Networking;62.03482143;64.52205882;51.17957746;71.8969555
Advanced Micro Devices Inc;2011;2010;Semiconductors & Semiconductor Equipment;78.90579882;73.66727941;89.15052817;72.82126663
Advanced Micro Devices Inc;2014;2013;Semiconductors & Semiconductor Equipment;77.77109271;75.03095975;79.14751668;79.2235999
Advanced Micro Devices Inc;2016;2015;Semiconductors & Semiconductor Equipment;85.31161491;79.93154158;83.72389509;93.15707545
Advanced Micro Devices Inc;2017;2016;Semiconductors & Semiconductor Equipment;81.8227567;81.53462998;83.30304407;80.42098972
AdvanSix Inc;2017;2016;Chemicals;47.40845803;15.20961976;57.05392576;72.07555299
Aetna Inc;2008;2007;Healthcare Providers & Services;76.24806548;55.74229692;86.1971831;87.5268345
Aetna Inc;2010;2009;Healthcare Providers & Services;75.513382;72.72434521;73.57869847;80.87431694
Aetna Inc;2012;2011;Healthcare Providers & Services;73.65910256;71.62745098;66.4741784;84.28667507
Aetna Inc;2013;2012;Healthcare Providers & Services;70.75333182;68.42105263;65.47905856;79.49215782
Aetna Inc;2014;2013;Healthcare Providers & Services;72.30043487;67.44098913;68.45339553;82.19522343
Aetna Inc;2015;2014;Healthcare Providers & Services;68.27168836;53.39506173;63.11945749;90.85232774
Aetna Inc;2016;2015;Healthcare Providers & Services;70.43555414;56.1546841;74.71123035;81.37860583
Aetna Inc;2017;2016;Healthcare Providers & Services;74.00905134;61.97183099;67.64530847;94.83457147
AGCO Corp;2015;2014;Machinery, Tools, Heavy Vehicles, Trains & Ships;58.90624816;66.25576701;36.46437448;76.83421126
AGCO Corp;2016;2015;Machinery, Tools, Heavy Vehicles, Trains & Ships;58.90459573;59.1516772;36.7768595;84.38439461
AGCO Corp;2017;2016;Machinery, Tools, Heavy Vehicles, Trains & Ships;60.60556434;61.67412617;39.82700551;83.59926059
AK Steel Holding Corp;2011;2010;Metals & Mining;58.9475739;53.5326087;46.55031639;79.41352334
AK Steel Holding Corp;2012;2011;Metals & Mining;54.31883797;53.38443888;38.16302068;74.16477512
AK Steel Holding Corp;2013;2012;Metals & Mining;69.39275421;71.47661112;64.17103302;73.14750722
AK Steel Holding Corp;2014;2013;Metals & Mining;74.58416483;72.7124183;71.30696638;80.48514604
AK Steel Holding Corp;2015;2014;Metals & Mining;76.92015757;72.54243979;76.49825125;82.2913077
AK Steel Holding Corp;2016;2015;Metals & Mining;74.11522922;69.94155969;62.05899894;92.80050591
AK Steel Holding Corp;2017;2016;Metals & Mining;69.13590882;70.39895166;57.85803933;80.8546272
Akamai Technologies Inc;2014;2013;Software & IT Services;59.80205707;68.44574037;42.98203011;69.74388411
Alaska Air Group Inc;2016;2015;Passenger Transportation Services;59.39967164;39.03085824;56.07250058;85.97849881
Alaska Air Group Inc;2017;2016;Passenger Transportation Services;65.29447988;49.37611408;59.80580452;89.42800158
Albemarle Corp;2009;2008;Chemicals;52.14341998;28.30469266;49.24829878;82.08747018
Albemarle Corp;2010;2009;Chemicals;53.50010314;30.03785673;45.73281272;88.69535519
Albemarle Corp;2011;2010;Chemicals;65.3874002;56.32941176;55.12676056;87.42754165
Albemarle Corp;2013;2012;Chemicals;67.57848502;58.6808604;60.22703384;86.05375563
Albemarle Corp;2014;2013;Chemicals;64.36398514;58.94075021;54.85813431;81.47374553
Albemarle Corp;2015;2014;Chemicals;65.62116904;64.26783479;54.24533014;80.37053447
Albemarle Corp;2016;2015;Chemicals;69.24118359;66.12394958;62.94852448;80.04037554
Alcoa Corp;2017;2016;Metals & Mining;86.40217299;92.12774219;79.61000325;87.92521143
Alexander & Baldwin Inc;2013;2012;Real Estate Operations;60.88491067;50.1123366;52.53814554;82.60876906
Alexander & Baldwin Inc;2015;2014;Real Estate Operations;54.89867499;36.84210526;56.15682398;73.56290717
Alexander & Baldwin Inc;2016;2015;Real Estate Operations;61.30997602;39.72874124;67.44508502;78.22688135
Alexander & Baldwin Inc;2017;2016;Real Estate Operations;59.19772233;42.50145603;62.52614698;73.93588559
Alexion Pharmaceuticals Inc;2012;2011;Pharmaceuticals;50.90538462;34.92156863;49.21126761;70.69525011
Alexion Pharmaceuticals Inc;2014;2013;Pharmaceuticals;50.54736598;33.07030129;46.93404328;74.23566614
Allegheny Technologies Inc;2015;2014;Metals & Mining;53.53555569;40.16975918;52.05123358;70.16278574
ALLETE Inc;2016;2015;Electric Utilities & IPPs;43.06497632;30.05453837;25.1748904;78.39130223
ALLETE Inc;2017;2016;Electric Utilities & IPPs;41.4971893;30.67226891;24.90595748;72.87541957
Alliance Data Systems Corp;2016;2015;Professional & Commercial Services;73.8894365;71.42430576;64.47772932;87.5920611
Alliance Data Systems Corp;2017;2016;Professional & Commercial Services;70.82430503;59.43838742;69.07782904;85.54958686
Alliant Energy Corp;2010;2009;Electric Utilities & IPPs;55.56769851;49.75027747;45.42253521;73.86099727
Alliant Energy Corp;2012;2011;Electric Utilities & IPPs;52.18939103;47.35294118;35.00586854;77.5813367
Alliant Energy Corp;2013;2012;Electric Utilities & IPPs;51.52247596;43.89332004;34.99045118;79.26930155
Alliant Energy Corp;2014;2013;Electric Utilities & IPPs;50.63894576;38.16237239;41.2233733;75.50636598
Alliant Energy Corp;2015;2014;Electric Utilities & IPPs;55.72663017;45.59981473;46.31806588;77.96649108
Alliant Energy Corp;2017;2016;Electric Utilities & IPPs;62.94727408;61.4358787;52.18266118;77.16141182
Allscripts Healthcare Solutions Inc;2014;2013;Healthcare Equipment & Supplies;35.63450165;21.26517274;16.04068858;74.45868353
Allstate Corp;2009;2008;Insurance;85.83841632;89.5553497;79.5441943;89.02101131
Allstate Corp;2010;2009;Insurance;86.59774369;91.01545728;77.85545389;91.84853142
Allstate Corp;2011;2010;Insurance;86.38749438;90.54343592;83.04262662;85.64784826
Allstate Corp;2012;2011;Insurance;84.67192308;94.16666667;85.85446009;72.7112232
Allstate Corp;2013;2012;Insurance;80.70698446;92.76315789;78.16438102;70.22673938
Allstate Corp;2014;2013;Insurance;87.86850205;96.22517797;81.38961155;86.09386702
Allstate Corp;2015;2014;Insurance;83.03962296;84.29557008;74.38706312;91.71056302
Allstate Corp;2016;2015;Insurance;79.61001994;92.05571117;70.657277;76.15654035
Allstate Corp;2017;2016;Insurance;82.87588488;84.74868821;79.38901012;84.84666328
Altaba Inc;2011;2010;Collective Investments;79.73308004;77.05882353;90;70.76419685
Altaba Inc;2012;2011;Collective Investments;70.90544872;67.27941176;73.41549296;72.02606137
Altaba Inc;2017;2016;Collective Investments;66.77845485;28.60644258;98.50771294;72.40008617
Altria Group Inc;2009;2008;Food & Tobacco;57.75108677;44.11764706;53.14727873;78.30755022
Altria Group Inc;2012;2011;Food & Tobacco;72.175;68.44362745;75.88028169;72.02185792
