T-1;DMR;MRP;SMB;HML;MOM
200701;-5.349678017;1.4;0.1;-0.11;0.21
200702;-1.106818019;-1.96;1.32;-0.09;-1.35
200703;-1.49627402;0.68;-0.06;-0.22;2.47
200704;5.408868205;3.49;-2.06;-1.15;-0.16
200705;2.522946609;3.24;0.03;-0.05;-0.26
200706;-9.531315825;-1.96;0.77;-1.13;0.38
200707;-1.358353598;-3.73;-2.51;-3.34;2.8
200708;1.265398147;0.92;-0.13;-2.24;0.11
200709;-10.28015984;3.22;-2.29;-1.87;4.59
200710;-23.65715;1.8;0.22;-2.59;4.96
200711;-9.115975911;-4.83;-2.63;-1.18;0.93
200712;4.677016818;-0.87;0.2;-0.52;6.52
200801;-9.390095413;-6.36;-0.89;3.65;-7.89
200802;-18.7926075;-3.09;-0.23;-0.95;6.14
200803;12.35275154;-0.93;0.94;-0.15;4.1
200804;21.41991093;4.6;-1.64;-0.96;-0.2
200805;8.207431255;1.86;3.22;-1.38;3.21
200806;-0.483834607;-8.44;1.27;-2.43;12.54
200807;8.92103188;-0.77;2.47;5.81;-5.15
200808;9.171673794;1.53;3.61;1.56;-4.05
200809;2.491792308;-9.24;-1.13;6.33;0.35
200810;-3.260958047;-17.23;-2.34;-2.9;7.79
200811;6.062613039;-7.86;-2.99;-5.94;7.11
200812;4.324717178;1.74;3.59;-0.24;-5.07
200901;-3.53227608;-8.12;-0.01;-11.1;-1.83
200902;2.997738511;-10.1;0.16;-7.25;4.18
200903;6.640694829;8.95;-0.08;3.52;-11.38
200904;2.74359497;10.19;4.83;5.46;-34.39
200905;-7.619609693;5.21;-2.33;-0.21;-12.44
200906;-6.041441842;0.43;2.61;-2.71;5.29
200907;7.081770206;7.72;2.07;5.27;-5.36
200908;-4.98292943;3.33;-0.9;7.76;-8.84
200909;9.556349846;4.08;2.45;0.92;-4.93
200910;3.527569352;-2.59;-4.23;-4.18;2.65
200911;0.716411526;5.56;-2.49;-0.17;0.29
200912;7.671778826;2.75;6.11;0.01;2.91
201001;2.748638535;-3.36;0.38;0.31;-5.38
201002;5.432297932;3.4;1.21;3.17;3.6
201003;0.622239628;6.31;1.43;2.1;3.66
201004;2.606891606;2;4.98;2.81;3.22
201005;-1.008473208;-7.89;0.05;-2.38;-0.13
201006;-1.35337699;-5.56;-1.98;-4.5;-3
201007;-3.976081316;6.93;0.17;-0.26;1.88
201008;-7.678690998;-4.77;-3;-1.96;-0.19
201009;-9.157181551;9.54;3.92;-3.12;1.35
201010;14.22836443;3.88;1.14;-2.59;1.64
201011;-3.655039274;0.6;3.71;-0.9;2.53
201012;0.196013522;6.82;0.69;3.82;-3.19
201101;7.085215085;1.99;-2.46;0.83;-0.32
201102;4.641283287;3.49;1.52;1.08;2.03
201103;2.535469222;0.45;2.6;-1.57;3.51
201104;-1.172215379;2.9;-0.35;-2.53;0.07
201105;-6.813761266;-1.27;-0.71;-2.07;-0.56
201106;2.704203985;-1.75;-0.17;-0.33;1.78
201107;0.481852767;-2.36;-1.3;-1.23;0.08
201108;3.361792724;-5.99;-3.06;-2.44;-0.31
201109;3.593755404;-7.59;-3.49;-1.46;-2.55
201110;-0.272100458;11.35;3.41;-0.17;-1.42
201111;1.810356766;-0.28;-0.17;-0.34;3.99
201112;2.450700503;0.74;-0.71;1.75;1.94
201201;7.040685055;5.05;2.15;-1.11;-7.97
201202;1.266332958;4.42;-1.75;0.09;-0.3
201203;5.236014006;3.11;-0.6;0.87;1.5
201204;1.280456702;-0.85;-0.51;-0.46;3.83
201205;3.807278778;-6.19;0.02;-0.62;6.6
201206;-2.945108326;3.89;0.77;0.44;-1.12
201207;5.996011696;0.79;-2.59;-0.26;3.07
201208;-3.283060262;2.55;0.42;1.32;-2.49
201209;3.813793584;2.73;0.51;1.54;-1.02
201210;4.515328282;-1.76;-1.14;3.79;0.1
201211;3.324062379;0.78;0.58;-0.96;0.38
201212;2.477526296;1.18;1.47;3.56;-2.97
201301;-3.284959008;5.57;0.39;0.95;-1.88
201302;4.310095498;1.29;-0.45;0.03;1.31
201303;0.830040104;4.03;0.78;-0.29;1.94
201304;0.988411826;1.55;-2.42;0.63;0.25
201305;2.035211548;2.8;1.67;2.6;-1.8
201306;2.675789327;-1.2;1.22;-0.18;0.59
201307;-2.110958343;5.65;1.86;0.56;1.74
201308;4.430862744;-2.71;0.3;-2.78;0.05
201309;-3.524978638;3.77;2.93;-1.19;2.97
201310;2.195964963;4.18;-1.49;1.14;0.16
201311;4.405555958;3.12;1.24;0.24;0.4
201312;0.228162107;2.81;-0.5;-0.31;0.07
201401;-2.637877769;-3.32;0.86;-2.09;1.72
201402;5.875847362;4.65;0.32;-0.4;2.08
201403;-1.084440539;0.43;-1.89;5.08;-3.3
201404;-0.222083019;-0.19;-4.25;1.14;-3.85
201405;1.26841084;2.06;-1.85;-0.27;1.15
201406;-2.130444868;2.61;3.07;-0.74;0.68
201407;-0.573388646;-2.04;-4.24;0.01;-0.24
201408;-5.559788804;4.24;0.36;-0.58;0.82
201409;-3.849472221;-1.97;-3.83;-1.23;0.53
201410;7.573301144;2.52;4.23;-1.68;0
201411;-0.279367735;2.55;-2.09;-2.99;1.05
201412;-2.966145388;-0.06;2.54;2.06;1.06
201501;-6.795509464;-3.11;-0.56;-3.47;3.87
201502;1.32187956;6.13;0.48;-1.79;-2.84
201503;8.661623738;-1.12;3.02;-0.46;2.98
201504;3.727226219;0.59;-2.97;1.86;-7.37
201505;1.313020289;1.36;0.87;-1.37;6.01
201506;0.066912205;-1.53;2.83;-0.79;3.04
201507;5.105840393;1.54;-4.14;-4.12;10.28
201508;0.094181481;-6.04;0.48;2.68;-2.07
201509;-0.428130865;-3.08;-2.64;0.52;5.32
201510;-2.251749847;7.75;-1.97;-0.08;-3.97
201511;7.759694134;0.56;3.64;-0.52;2.28
201512;1.844806518;-2.17;-2.82;-2.58;3.44
201601;2.520807298;-5.77;-3.36;2.1;1.37
