T-1;DMR;MRP;SMB;HML;MOM
200701;-4.377096266;1.4;0.1;-0.11;0.21
200702;-1.589922959;-1.96;1.32;-0.09;-1.35
200703;-2.924482205;0.68;-0.06;-0.22;2.47
200704;6.355105752;3.49;-2.06;-1.15;-0.16
200705;4.069098283;3.24;0.03;-0.05;-0.26
200706;-8.447903266;-1.96;0.77;-1.13;0.38
200707;-0.145653055;-3.73;-2.51;-3.34;2.8
200708;1.045121281;0.92;-0.13;-2.24;0.11
200709;-9.752391504;3.22;-2.29;-1.87;4.59
200710;-20.71073567;1.8;0.22;-2.59;4.96
200711;-8.822158074;-4.83;-2.63;-1.18;0.93
200712;7.205848368;-0.87;0.2;-0.52;6.52
200801;-9.598485412;-6.36;-0.89;3.65;-7.89
200802;-19.79828438;-3.09;-0.23;-0.95;6.14
200803;9.378246721;-0.93;0.94;-0.15;4.1
200804;22.29506373;4.6;-1.64;-0.96;-0.2
200805;9.596382858;1.86;3.22;-1.38;3.21
200806;0.770624227;-8.44;1.27;-2.43;12.54
200807;7.972228259;-0.77;2.47;5.81;-5.15
200808;5.788527554;1.53;3.61;1.56;-4.05
200809;2.727326639;-9.24;-1.13;6.33;0.35
200810;-2.546325037;-17.23;-2.34;-2.9;7.79
200811;5.723493251;-7.86;-2.99;-5.94;7.11
200812;2.72839603;1.74;3.59;-0.24;-5.07
200901;-3.334504231;-8.12;-0.01;-11.1;-1.83
200902;3.965898681;-10.1;0.16;-7.25;4.18
200903;5.695284287;8.95;-0.08;3.52;-11.38
200904;1.64986466;10.19;4.83;5.46;-34.39
200905;-8.032187617;5.21;-2.33;-0.21;-12.44
200906;-5.539694673;0.43;2.61;-2.71;5.29
200907;7.16403735;7.72;2.07;5.27;-5.36
200908;-4.723741107;3.33;-0.9;7.76;-8.84
200909;10.13977008;4.08;2.45;0.92;-4.93
200910;2.319745885;-2.59;-4.23;-4.18;2.65
200911;0.472377337;5.56;-2.49;-0.17;0.29
200912;6.363928675;2.75;6.11;0.01;2.91
201001;1.673137159;-3.36;0.38;0.31;-5.38
201002;5.860316766;3.4;1.21;3.17;3.6
201003;0.005166498;6.31;1.43;2.1;3.66
201004;3.659155592;2;4.98;2.81;3.22
201005;-0.205947543;-7.89;0.05;-2.38;-0.13
201006;-1.047140333;-5.56;-1.98;-4.5;-3
201007;-3.799745955;6.93;0.17;-0.26;1.88
201008;-6.664038457;-4.77;-3;-1.96;-0.19
201009;-7.749536125;9.54;3.92;-3.12;1.35
201010;11.91537202;3.88;1.14;-2.59;1.64
201011;-3.701947567;0.6;3.71;-0.9;2.53
201012;0.209487629;6.82;0.69;3.82;-3.19
201101;5.404054662;1.99;-2.46;0.83;-0.32
201102;4.032385331;3.49;1.52;1.08;2.03
201103;2.628634089;0.45;2.6;-1.57;3.51
201104;-0.819518519;2.9;-0.35;-2.53;0.07
201105;-6.602739511;-1.27;-0.71;-2.07;-0.56
201106;4.242890805;-1.75;-0.17;-0.33;1.78
201107;-0.304791367;-2.36;-1.3;-1.23;0.08
201108;3.297188415;-5.99;-3.06;-2.44;-0.31
201109;3.997611081;-7.59;-3.49;-1.46;-2.55
201110;-1.172377388;11.35;3.41;-0.17;-1.42
201111;1.107297187;-0.28;-0.17;-0.34;3.99
201112;2.305910169;0.74;-0.71;1.75;1.94
201201;6.875832556;5.05;2.15;-1.11;-7.97
201202;1.32227511;4.42;-1.75;0.09;-0.3
201203;4.286947686;3.11;-0.6;0.87;1.5
201204;1.393978944;-0.85;-0.51;-0.46;3.83
201205;1.374646072;-6.19;0.02;-0.62;6.6
201206;-3.492287491;3.89;0.77;0.44;-1.12
201207;5.375645579;0.79;-2.59;-0.26;3.07
201208;-3.152856784;2.55;0.42;1.32;-2.49
201209;2.351132829;2.73;0.51;1.54;-1.02
201210;3.47793768;-1.76;-1.14;3.79;0.1
201211;3.38846735;0.78;0.58;-0.96;0.38
201212;1.87088784;1.18;1.47;3.56;-2.97
201301;-4.203554419;5.57;0.39;0.95;-1.88
201302;4.103993778;1.29;-0.45;0.03;1.31
201303;0.836984332;4.03;0.78;-0.29;1.94
201304;1.27242058;1.55;-2.42;0.63;0.25
201305;1.933187405;2.8;1.67;2.6;-1.8
201306;3.493713457;-1.2;1.22;-0.18;0.59
201307;-2.299115006;5.65;1.86;0.56;1.74
201308;4.899649751;-2.71;0.3;-2.78;0.05
201309;-4.717399542;3.77;2.93;-1.19;2.97
201310;1.941063046;4.18;-1.49;1.14;0.16
201311;3.979623353;3.12;1.24;0.24;0.4
201312;-0.310404013;2.81;-0.5;-0.31;0.07
201401;-1.247592185;-3.32;0.86;-2.09;1.72
201402;4.196921855;4.65;0.32;-0.4;2.08
201403;-0.882265635;0.43;-1.89;5.08;-3.3
201404;-1.154738337;-0.19;-4.25;1.14;-3.85
201405;0.797342641;2.06;-1.85;-0.27;1.15
201406;-3.642117578;2.61;3.07;-0.74;0.68
201407;-2.014334856;-2.04;-4.24;0.01;-0.24
201408;-5.031434662;4.24;0.36;-0.58;0.82
201409;-3.429322807;-1.97;-3.83;-1.23;0.53
201410;6.220989419;2.52;4.23;-1.68;0
201411;-1.319078539;2.55;-2.09;-2.99;1.05
201412;-3.224015088;-0.06;2.54;2.06;1.06
