Firm_Name;Year;Year -1;Industry;ESG-SCORE;E-SCORE;S-SCORE;G-SCORE
3M Co;2008;2007;Industrial Conglomerates;82.80568812;80.27383367;80.25740651;88.59411593
3M Co;2009;2008;Industrial Conglomerates;84.75224961;84.39542484;85.85680751;83.86438852
3M Co;2010;2009;Industrial Conglomerates;83.57786458;88.67647059;83.46830986;78.02168716
3M Co;2011;2010;Industrial Conglomerates;88.38576494;90.86357947;86.79952053;87.46989553
3M Co;2012;2011;Industrial Conglomerates;88.55712716;90.57623049;89.3360161;85.39974779
3M Co;2013;2012;Industrial Conglomerates;87.58078012;90.44117647;93.13380282;77.92878729
3M Co;2014;2013;Industrial Conglomerates;86.65344879;88.23529412;91.83927092;78.85412333
3M Co;2015;2014;Industrial Conglomerates;88.05086818;89.81900452;89.40953413;84.49843286
3M Co;2016;2015;Industrial Conglomerates;84.77024124;90.44117647;89.52790819;72.91093058
3M Co;2017;2016;Industrial Conglomerates;87.49566457;90.0802139;91.76696543;79.6430135
Abbott Laboratories;2009;2008;Pharmaceuticals;76.57354544;60.47794118;97.74899396;69.86935273
Abbott Laboratories;2011;2010;Pharmaceuticals;74.69660436;56.18964004;95.51187723;71.09970601
Abbott Laboratories;2012;2011;Pharmaceuticals;76.95554487;48.29963235;96.25880282;86.43211433
Abbott Laboratories;2013;2012;Pharmaceuticals;75.6205679;46.40522876;92.7788956;88.21731863
Abbott Laboratories;2014;2013;Pharmaceuticals;76.33685037;46.82539683;94.52269171;88.06773737
Abbott Laboratories;2015;2014;Pharmaceuticals;72.43927774;47.33031674;94.61538462;74.61806068
Abbott Laboratories;2016;2015;Pharmaceuticals;79.24356922;54.39691028;94.25949637;89.46392956
Abbott Laboratories;2017;2016;Pharmaceuticals;82.40722016;59.60207612;95.81607291;92.2223226
Advanced Micro Devices Inc;2011;2010;Semiconductors & Semiconductor Equipment;78.90579882;73.66727941;89.15052817;72.82126663
Advanced Micro Devices Inc;2014;2013;Semiconductors & Semiconductor Equipment;77.77109271;75.03095975;79.14751668;79.2235999
Advanced Micro Devices Inc;2016;2015;Semiconductors & Semiconductor Equipment;85.31161491;79.93154158;83.72389509;93.15707545
Advanced Micro Devices Inc;2017;2016;Semiconductors & Semiconductor Equipment;81.8227567;81.53462998;83.30304407;80.42098972
Aetna Inc;2008;2007;Healthcare Providers & Services;76.24806548;55.74229692;86.1971831;87.5268345
Aetna Inc;2010;2009;Healthcare Providers & Services;75.513382;72.72434521;73.57869847;80.87431694
Aetna Inc;2014;2013;Healthcare Providers & Services;72.30043487;67.44098913;68.45339553;82.19522343
Aetna Inc;2016;2015;Healthcare Providers & Services;70.43555414;56.1546841;74.71123035;81.37860583
Aetna Inc;2017;2016;Healthcare Providers & Services;74.00905134;61.97183099;67.64530847;94.83457147
AK Steel Holding Corp;2014;2013;Metals & Mining;74.58416483;72.7124183;71.30696638;80.48514604
AK Steel Holding Corp;2015;2014;Metals & Mining;76.92015757;72.54243979;76.49825125;82.2913077
Alcoa Corp;2017;2016;Metals & Mining;86.40217299;92.12774219;79.61000325;87.92521143
Alexander & Baldwin Inc;2016;2015;Real Estate Operations;61.30997602;39.72874124;67.44508502;78.22688135
Alliance Data Systems Corp;2017;2016;Professional & Commercial Services;70.82430503;59.43838742;69.07782904;85.54958686
Allstate Corp;2009;2008;Insurance;85.83841632;89.5553497;79.5441943;89.02101131
Allstate Corp;2010;2009;Insurance;86.59774369;91.01545728;77.85545389;91.84853142
Allstate Corp;2011;2010;Insurance;86.38749438;90.54343592;83.04262662;85.64784826
Allstate Corp;2012;2011;Insurance;84.67192308;94.16666667;85.85446009;72.7112232
Allstate Corp;2013;2012;Insurance;80.70698446;92.76315789;78.16438102;70.22673938
Allstate Corp;2014;2013;Insurance;87.86850205;96.22517797;81.38961155;86.09386702
Allstate Corp;2015;2014;Insurance;83.03962296;84.29557008;74.38706312;91.71056302
Allstate Corp;2016;2015;Insurance;79.61001994;92.05571117;70.657277;76.15654035
Allstate Corp;2017;2016;Insurance;82.87588488;84.74868821;79.38901012;84.84666328
Altaba Inc;2011;2010;Collective Investments;79.73308004;77.05882353;90;70.76419685
Altaba Inc;2012;2011;Collective Investments;70.90544872;67.27941176;73.41549296;72.02606137
Altaba Inc;2017;2016;Collective Investments;66.77845485;28.60644258;98.50771294;72.40008617
Altria Group Inc;2012;2011;Food & Tobacco;72.175;68.44362745;75.88028169;72.02185792
Altria Group Inc;2014;2013;Food & Tobacco;71.34932686;67.84953112;72.28005715;74.16742947
Amazon.com Inc;2016;2015;Diversified Retail;61.70089021;42.64705882;71.12676056;71.97013183
Amazon.com Inc;2017;2016;Diversified Retail;74.99382612;67.01112878;76.99847735;81.55928811
