T-1;DMR;MRP;SMB;HML;MOM;DMRR
200701;0.814283526;1.4;0.1;-0.11;0.21;0.008142835
200702;-8.446626189;-1.96;1.32;-0.09;-1.35;-0.084466262
200703;-1.944597792;0.68;-0.06;-0.22;2.47;-0.019445978
200704;3.049854189;3.49;-2.06;-1.15;-0.16;0.030498542
200705;0.869859563;3.24;0.03;-0.05;-0.26;0.008698596
200706;-17.67097205;-1.96;0.77;-1.13;0.38;-0.176709721
200707;0.367348978;-3.73;-2.51;-3.34;2.8;0.00367349
200708;6.723764084;0.92;-0.13;-2.24;0.11;0.067237641
200709;-0.997820502;3.22;-2.29;-1.87;4.59;-0.009978205
200710;-24.21727881;1.8;0.22;-2.59;4.96;-0.242172788
200711;-4.346536538;-4.83;-2.63;-1.18;0.93;-0.043465365
200712;6.951926948;-0.87;0.2;-0.52;6.52;0.069519269
200801;-6.212841978;-6.36;-0.89;3.65;-7.89;-0.06212842
200802;-12.67902149;-3.09;-0.23;-0.95;6.14;-0.126790215
200803;15.80529288;-0.93;0.94;-0.15;4.1;0.158052929
200804;13.16764803;4.6;-1.64;-0.96;-0.2;0.13167648
200805;4.920421877;1.86;3.22;-1.38;3.21;0.049204219
200806;-2.85285016;-8.44;1.27;-2.43;12.54;-0.028528502
200807;10.20223258;-0.77;2.47;5.81;-5.15;0.102022326
200808;3.031988623;1.53;3.61;1.56;-4.05;0.030319886
200809;5.00996648;-9.24;-1.13;6.33;0.35;0.050099665
200810;-5.162440955;-17.23;-2.34;-2.9;7.79;-0.05162441
200811;6.758342661;-7.86;-2.99;-5.94;7.11;0.067583427
200812;7.08878621;1.74;3.59;-0.24;-5.07;0.070887862
200901;-3.431306468;-8.12;-0.01;-11.1;-1.83;-0.034313065
200902;3.860500354;-10.1;0.16;-7.25;4.18;0.038605004
200903;6.619328155;8.95;-0.08;3.52;-11.38;0.066193282
200904;3.111150935;10.19;4.83;5.46;-34.39;0.031111509
200905;-6.085115522;5.21;-2.33;-0.21;-12.44;-0.060851155
200906;-7.776914944;0.43;2.61;-2.71;5.29;-0.077769149
200907;8.422930506;7.72;2.07;5.27;-5.36;0.084229305
200908;-7.067095491;3.33;-0.9;7.76;-8.84;-0.070670955
200909;11.74472731;4.08;2.45;0.92;-4.93;0.117447273
200910;2.751283718;-2.59;-4.23;-4.18;2.65;0.027512837
200911;2.959128433;5.56;-2.49;-0.17;0.29;0.029591284
200912;9.012077125;2.75;6.11;0.01;2.91;0.090120771
201001;0.889738172;-3.36;0.38;0.31;-5.38;0.008897382
201002;4.94844998;3.4;1.21;3.17;3.6;0.0494845
201003;1.871337936;6.31;1.43;2.1;3.66;0.018713379
201004;3.405456993;2;4.98;2.81;3.22;0.03405457
201005;-1.006090193;-7.89;0.05;-2.38;-0.13;-0.010060902
201006;-1.927878563;-5.56;-1.98;-4.5;-3;-0.019278786
201007;-4.062281879;6.93;0.17;-0.26;1.88;-0.040622819
201008;-6.654012872;-4.77;-3;-1.96;-0.19;-0.066540129
201009;-9.571416942;9.54;3.92;-3.12;1.35;-0.095714169
201010;12.51776222;3.88;1.14;-2.59;1.64;0.125177622
201011;-2.24590066;0.6;3.71;-0.9;2.53;-0.022459007
201012;1.543619273;6.82;0.69;3.82;-3.19;0.015436193
201101;10.24533851;1.99;-2.46;0.83;-0.32;0.102453385
201102;3.354088929;3.49;1.52;1.08;2.03;0.033540889
201103;0.752416732;0.45;2.6;-1.57;3.51;0.007524167
201104;-0.425090126;2.9;-0.35;-2.53;0.07;-0.004250901
201105;-7.155096165;-1.27;-0.71;-2.07;-0.56;-0.071550962
201106;2.200764145;-1.75;-0.17;-0.33;1.78;0.022007641
201107;-1.140813942;-2.36;-1.3;-1.23;0.08;-0.011408139
201108;2.711039308;-5.99;-3.06;-2.44;-0.31;0.027110393
201109;3.079332966;-7.59;-3.49;-1.46;-2.55;0.03079333
201110;0.397066125;11.35;3.41;-0.17;-1.42;0.003970661
201111;3.873029696;-0.28;-0.17;-0.34;3.99;0.038730297
201112;2.139667911;0.74;-0.71;1.75;1.94;0.021396679
201201;9.434026868;5.05;2.15;-1.11;-7.97;0.094340269
201202;1.613985681;4.42;-1.75;0.09;-0.3;0.016139857
201203;4.279950311;3.11;-0.6;0.87;1.5;0.042799503
201204;2.910363858;-0.85;-0.51;-0.46;3.83;0.029103639
201205;2.103466567;-6.19;0.02;-0.62;6.6;0.021034666
201206;-1.74341232;3.89;0.77;0.44;-1.12;-0.017434123
201207;6.278041547;0.79;-2.59;-0.26;3.07;0.062780415
201208;-1.851023918;2.55;0.42;1.32;-2.49;-0.018510239
201209;6.285093388;2.73;0.51;1.54;-1.02;0.062850934
201210;3.955353627;-1.76;-1.14;3.79;0.1;0.039553536
201211;1.758113098;0.78;0.58;-0.96;0.38;0.017581131
201212;1.89150521;1.18;1.47;3.56;-2.97;0.018915052
201301;-2.661450661;5.57;0.39;0.95;-1.88;-0.026614507
201302;2.391877562;1.29;-0.45;0.03;1.31;0.023918776
201303;-0.043988489;4.03;0.78;-0.29;1.94;-0.000439885
201304;-0.723886071;1.55;-2.42;0.63;0.25;-0.007238861
201305;1.239992124;2.8;1.67;2.6;-1.8;0.012399921
201306;2.997897714;-1.2;1.22;-0.18;0.59;0.029978977
201307;-5.412375418;5.65;1.86;0.56;1.74;-0.054123754
201308;4.937948632;-2.71;0.3;-2.78;0.05;0.049379486
201309;-3.549621752;3.77;2.93;-1.19;2.97;-0.035496218
201310;1.188822193;4.18;-1.49;1.14;0.16;0.011888222
201311;1.679507279;3.12;1.24;0.24;0.4;0.016795073
201312;0.850654404;2.81;-0.5;-0.31;0.07;0.008506544
201401;-3.130061333;-3.32;0.86;-2.09;1.72;-0.031300613
201402;6.871476944;4.65;0.32;-0.4;2.08;0.068714769
201403;-2.565081065;0.43;-1.89;5.08;-3.3;-0.025650811
201404;2.018927407;-0.19;-4.25;1.14;-3.85;0.020189274
201405;1.783944604;2.06;-1.85;-0.27;1.15;0.017839446
201406;0.829340098;2.61;3.07;-0.74;0.68;0.008293401
201407;0.390424358;-2.04;-4.24;0.01;-0.24;0.003904244
201408;-4.965226896;4.24;0.36;-0.58;0.82;-0.049652269
