T-1;DMR;MRP;SMB;HML;MOM;DMRR
200701;-3.523487608;1.4;0.1;-0.11;0.21;-0.035234876
200702;-3.255869316;-1.96;1.32;-0.09;-1.35;-0.032558693
200703;-0.20272822;0.68;-0.06;-0.22;2.47;-0.002027282
200704;6.644879114;3.49;-2.06;-1.15;-0.16;0.066448791
200705;2.670461789;3.24;0.03;-0.05;-0.26;0.026704618
200706;-13.39226407;-1.96;0.77;-1.13;0.38;-0.133922641
200707;-1.423128571;-3.73;-2.51;-3.34;2.8;-0.014231286
200708;2.082668802;0.92;-0.13;-2.24;0.11;0.020826688
200709;-10.14177366;3.22;-2.29;-1.87;4.59;-0.101417737
200710;-21.82738784;1.8;0.22;-2.59;4.96;-0.218273878
200711;-1.240156048;-4.83;-2.63;-1.18;0.93;-0.01240156
200712;3.494203865;-0.87;0.2;-0.52;6.52;0.034942039
200801;-8.76429373;-6.36;-0.89;3.65;-7.89;-0.087642937
200802;-15.55546689;-3.09;-0.23;-0.95;6.14;-0.155554669
200803;10.33349915;-0.93;0.94;-0.15;4.1;0.103334992
200804;17.26721537;4.6;-1.64;-0.96;-0.2;0.172672154
200805;3.354764818;1.86;3.22;-1.38;3.21;0.033547648
200806;-0.817585698;-8.44;1.27;-2.43;12.54;-0.008175857
200807;10.30013416;-0.77;2.47;5.81;-5.15;0.103001342
200808;3.687719521;1.53;3.61;1.56;-4.05;0.036877195
200809;3.153813826;-9.24;-1.13;6.33;0.35;0.031538138
200810;-4.293529785;-17.23;-2.34;-2.9;7.79;-0.042935298
200811;7.320614618;-7.86;-2.99;-5.94;7.11;0.073206146
200812;7.140788514;1.74;3.59;-0.24;-5.07;0.071407885
200901;-3.558141851;-8.12;-0.01;-11.1;-1.83;-0.035581419
200902;4.065049976;-10.1;0.16;-7.25;4.18;0.0406505
200903;6.547286999;8.95;-0.08;3.52;-11.38;0.06547287
200904;6.350786143;10.19;4.83;5.46;-34.39;0.063507861
200905;-5.707757771;5.21;-2.33;-0.21;-12.44;-0.057077578
200906;-7.688172062;0.43;2.61;-2.71;5.29;-0.076881721
200907;7.336354858;7.72;2.07;5.27;-5.36;0.073363549
200908;-5.511996835;3.33;-0.9;7.76;-8.84;-0.055119968
200909;9.848924956;4.08;2.45;0.92;-4.93;0.09848925
200910;3.744967373;-2.59;-4.23;-4.18;2.65;0.037449674
200911;4.450580278;5.56;-2.49;-0.17;0.29;0.044505803
200912;9.693517761;2.75;6.11;0.01;2.91;0.096935178
201001;4.016789989;-3.36;0.38;0.31;-5.38;0.0401679
201002;6.868343675;3.4;1.21;3.17;3.6;0.068683437
201003;1.9328675;6.31;1.43;2.1;3.66;0.019328675
201004;3.340026906;2;4.98;2.81;3.22;0.033400269
201005;-1.541358338;-7.89;0.05;-2.38;-0.13;-0.015413583
201006;-2.382034016;-5.56;-1.98;-4.5;-3;-0.02382034
201007;-3.064372344;6.93;0.17;-0.26;1.88;-0.030643723
201008;-7.578118081;-4.77;-3;-1.96;-0.19;-0.075781181
201009;-14.08601791;9.54;3.92;-3.12;1.35;-0.140860179
201010;13.31104555;3.88;1.14;-2.59;1.64;0.133110456
201011;-4.030333957;0.6;3.71;-0.9;2.53;-0.04030334
201012;0.954489003;6.82;0.69;3.82;-3.19;0.00954489
201101;10.23340253;1.99;-2.46;0.83;-0.32;0.102334025
