T-1;DMR;MRP;SMB;HML;MOM;DMRR
200701;-3.919334489;1.4;0.1;-0.11;0.21;-0.039193345
200702;-1.731720105;-1.96;1.32;-0.09;-1.35;-0.017317201
200703;-0.96011651;0.68;-0.06;-0.22;2.47;-0.009601165
200704;5.979118356;3.49;-2.06;-1.15;-0.16;0.059791184
200705;1.873126568;3.24;0.03;-0.05;-0.26;0.018731266
200706;-13.86364167;-1.96;0.77;-1.13;0.38;-0.138636417
200707;-1.411882256;-3.73;-2.51;-3.34;2.8;-0.014118823
200708;2.409392247;0.92;-0.13;-2.24;0.11;0.024093922
200709;-9.376792347;3.22;-2.29;-1.87;4.59;-0.093767923
200710;-24.57721374;1.8;0.22;-2.59;4.96;-0.245772137
200711;-9.325317047;-4.83;-2.63;-1.18;0.93;-0.09325317
200712;6.136518601;-0.87;0.2;-0.52;6.52;0.061365186
200801;-6.460376304;-6.36;-0.89;3.65;-7.89;-0.064603763
200802;-16.91598946;-3.09;-0.23;-0.95;6.14;-0.169159895
200803;13.53464251;-0.93;0.94;-0.15;4.1;0.135346425
200804;32.86160923;4.6;-1.64;-0.96;-0.2;0.328616092
200805;6.27775947;1.86;3.22;-1.38;3.21;0.062777595
200806;-1.581185654;-8.44;1.27;-2.43;12.54;-0.015811857
200807;13.60988605;-0.77;2.47;5.81;-5.15;0.136098861
200808;8.329960611;1.53;3.61;1.56;-4.05;0.083299606
200809;5.467412426;-9.24;-1.13;6.33;0.35;0.054674124
200810;-5.544360581;-17.23;-2.34;-2.9;7.79;-0.055443606
200811;6.583580727;-7.86;-2.99;-5.94;7.11;0.065835807
200812;5.303799081;1.74;3.59;-0.24;-5.07;0.053037991
200901;-3.170525123;-8.12;-0.01;-11.1;-1.83;-0.031705251
200902;3.33855467;-10.1;0.16;-7.25;4.18;0.033385547
200903;8.244038819;8.95;-0.08;3.52;-11.38;0.082440388
200904;4.02475546;10.19;4.83;5.46;-34.39;0.040247555
200905;-7.812150184;5.21;-2.33;-0.21;-12.44;-0.078121502
200906;-8.661517123;0.43;2.61;-2.71;5.29;-0.086615171
200907;9.210592088;7.72;2.07;5.27;-5.36;0.092105921
200908;-6.120522818;3.33;-0.9;7.76;-8.84;-0.061205228
200909;12.096491;4.08;2.45;0.92;-4.93;0.12096491
200910;4.424763091;-2.59;-4.23;-4.18;2.65;0.044247631
200911;2.050616137;5.56;-2.49;-0.17;0.29;0.020506161
200912;8.603998191;2.75;6.11;0.01;2.91;0.086039982
201001;1.631416578;-3.36;0.38;0.31;-5.38;0.016314166
201002;4.82259872;3.4;1.21;3.17;3.6;0.048225987
201003;1.174262807;6.31;1.43;2.1;3.66;0.011742628
201004;3.740306325;2;4.98;2.81;3.22;0.037403063
201005;-0.786683979;-7.89;0.05;-2.38;-0.13;-0.00786684
201006;-2.041079615;-5.56;-1.98;-4.5;-3;-0.020410796
201007;-3.129796838;6.93;0.17;-0.26;1.88;-0.031297968
201008;-8.081853137;-4.77;-3;-1.96;-0.19;-0.080818531
201009;-11.13355043;9.54;3.92;-3.12;1.35;-0.111335504
201010;14.67307193;3.88;1.14;-2.59;1.64;0.146730719
201011;-3.108604799;0.6;3.71;-0.9;2.53;-0.031086048
201012;0.047116444;6.82;0.69;3.82;-3.19;0.000471164
201101;8.765237875;1.99;-2.46;0.83;-0.32;0.087652379
201102;4.249069874;3.49;1.52;1.08;2.03;0.042490699
201103;1.578478981;0.45;2.6;-1.57;3.51;0.01578479
201104;-1.358050714;2.9;-0.35;-2.53;0.07;-0.013580507
201105;-6.988050396;-1.27;-0.71;-2.07;-0.56;-0.069880504
201106;1.627940523;-1.75;-0.17;-0.33;1.78;0.016279405
201107;0.130479826;-2.36;-1.3;-1.23;0.08;0.001304798
201108;3.274476951;-5.99;-3.06;-2.44;-0.31;0.03274477
201109;3.506242354;-7.59;-3.49;-1.46;-2.55;0.035062424
201110;0.070142854;11.35;3.41;-0.17;-1.42;0.000701429
201111;3.17699311;-0.28;-0.17;-0.34;3.99;0.031769931
201112;3.134538733;0.74;-0.71;1.75;1.94;0.031345387
201201;8.01956512;5.05;2.15;-1.11;-7.97;0.080195651
201202;2.41078122;4.42;-1.75;0.09;-0.3;0.024107812
201203;4.475670559;3.11;-0.6;0.87;1.5;0.044756706
201204;1.714201274;-0.85;-0.51;-0.46;3.83;0.017142013
201205;3.563459448;-6.19;0.02;-0.62;6.6;0.035634594
201206;-1.809576654;3.89;0.77;0.44;-1.12;-0.018095767
201207;7.012032947;0.79;-2.59;-0.26;3.07;0.070120329
201208;-1.452966065;2.55;0.42;1.32;-2.49;-0.014529661
201209;5.612691059;2.73;0.51;1.54;-1.02;0.056126911
201210;4.278733918;-1.76;-1.14;3.79;0.1;0.042787339
201211;1.827131523;0.78;0.58;-0.96;0.38;0.018271315
