T-1;DMR;MRP;SMB;HML;MOM;DMRR
200701;-4.6315133;1.4;0.1;-0.11;0.21;-0.046315133
200702;-2.090081357;-1.96;1.32;-0.09;-1.35;-0.020900814
200703;-2.063195915;0.68;-0.06;-0.22;2.47;-0.020631959
200704;5.308593952;3.49;-2.06;-1.15;-0.16;0.05308594
200705;1.831884142;3.24;0.03;-0.05;-0.26;0.018318841
200706;-8.117738161;-1.96;0.77;-1.13;0.38;-0.081177382
200707;0.515929281;-3.73;-2.51;-3.34;2.8;0.005159293
200708;0.101124018;0.92;-0.13;-2.24;0.11;0.00101124
200709;-7.07506563;3.22;-2.29;-1.87;4.59;-0.070750656
200710;-18.80607758;1.8;0.22;-2.59;4.96;-0.188060776
200711;-7.172954055;-4.83;-2.63;-1.18;0.93;-0.071729541
200712;3.87809041;-0.87;0.2;-0.52;6.52;0.038780904
200801;-9.690591357;-6.36;-0.89;3.65;-7.89;-0.096905914
200802;-21.16220361;-3.09;-0.23;-0.95;6.14;-0.211622036
200803;11.67925628;-0.93;0.94;-0.15;4.1;0.116792563
200804;27.31834377;4.6;-1.64;-0.96;-0.2;0.273183438
200805;12.00818496;1.86;3.22;-1.38;3.21;0.12008185
200806;0.51488337;-8.44;1.27;-2.43;12.54;0.005148834
200807;8.609733179;-0.77;2.47;5.81;-5.15;0.086097332
200808;6.036700136;1.53;3.61;1.56;-4.05;0.060367001
200809;4.055404402;-9.24;-1.13;6.33;0.35;0.040554044
200810;-1.99589191;-17.23;-2.34;-2.9;7.79;-0.019958919
200811;5.602019115;-7.86;-2.99;-5.94;7.11;0.056020191
200812;3.241969546;1.74;3.59;-0.24;-5.07;0.032419695
200901;-3.459627859;-8.12;-0.01;-11.1;-1.83;-0.034596279
200902;4.260156656;-10.1;0.16;-7.25;4.18;0.042601567
200903;6.252970476;8.95;-0.08;3.52;-11.38;0.062529705
200904;1.438870642;10.19;4.83;5.46;-34.39;0.014388706
200905;-6.815987504;5.21;-2.33;-0.21;-12.44;-0.068159875
200906;-6.288867721;0.43;2.61;-2.71;5.29;-0.062888677
200907;8.260358526;7.72;2.07;5.27;-5.36;0.082603585
200908;-4.982506038;3.33;-0.9;7.76;-8.84;-0.04982506
200909;9.913589397;4.08;2.45;0.92;-4.93;0.099135894
200910;3.484762087;-2.59;-4.23;-4.18;2.65;0.034847621
200911;0.403378456;5.56;-2.49;-0.17;0.29;0.004033785
200912;6.753996094;2.75;6.11;0.01;2.91;0.067539961
201001;3.342931301;-3.36;0.38;0.31;-5.38;0.033429313
201002;5.653390041;3.4;1.21;3.17;3.6;0.0565339
201003;0.297810835;6.31;1.43;2.1;3.66;0.002978108
201004;3.313973318;2;4.98;2.81;3.22;0.033139733
201005;-0.446522264;-7.89;0.05;-2.38;-0.13;-0.004465223
201006;-1.949048308;-5.56;-1.98;-4.5;-3;-0.019490483
201007;-4.911309635;6.93;0.17;-0.26;1.88;-0.049113096
201008;-7.294306089;-4.77;-3;-1.96;-0.19;-0.072943061
201009;-7.257863248;9.54;3.92;-3.12;1.35;-0.072578632
201010;11.43010433;3.88;1.14;-2.59;1.64;0.114301043
201011;-3.819992503;0.6;3.71;-0.9;2.53;-0.038199925
201012;-0.00407795;6.82;0.69;3.82;-3.19;-4.07795E-05
201101;4.613507032;1.99;-2.46;0.83;-0.32;0.04613507
201102;3.957555326;3.49;1.52;1.08;2.03;0.039575553
201103;3.166287843;0.45;2.6;-1.57;3.51;0.031662878
201104;-1.000181458;2.9;-0.35;-2.53;0.07;-0.010001815
201105;-6.826281095;-1.27;-0.71;-2.07;-0.56;-0.068262811
201106;4.7280803;-1.75;-0.17;-0.33;1.78;0.047280803
201107;-0.043111661;-2.36;-1.3;-1.23;0.08;-0.000431117
201108;2.576902444;-5.99;-3.06;-2.44;-0.31;0.025769024
201109;3.592234481;-7.59;-3.49;-1.46;-2.55;0.035922345
201110;-0.579063859;11.35;3.41;-0.17;-1.42;-0.005790639
201111;1.939088866;-0.28;-0.17;-0.34;3.99;0.019390889
201112;2.628153514;0.74;-0.71;1.75;1.94;0.026281535
201201;6.881762834;5.05;2.15;-1.11;-7.97;0.068817628
201202;0.294398239;4.42;-1.75;0.09;-0.3;0.002943982
201203;3.932372039;3.11;-0.6;0.87;1.5;0.03932372
201204;2.028288344;-0.85;-0.51;-0.46;3.83;0.020282883
