T-1;DMR;MRP;SMB;HML;MOM;DMRR
200701;-5.157488786;1.4;0.1;-0.11;0.21;-0.051574888
200702;-2.574579694;-1.96;1.32;-0.09;-1.35;-0.025745797
200703;-1.168149555;0.68;-0.06;-0.22;2.47;-0.011681496
200704;6.741883148;3.49;-2.06;-1.15;-0.16;0.067418831
200705;1.777032497;3.24;0.03;-0.05;-0.26;0.017770325
200706;-10.0119135;-1.96;0.77;-1.13;0.38;-0.100119135
200707;-0.179340605;-3.73;-2.51;-3.34;2.8;-0.001793406
200708;2.259118806;0.92;-0.13;-2.24;0.11;0.022591188
200709;-8.779051615;3.22;-2.29;-1.87;4.59;-0.087790516
200710;-19.98673253;1.8;0.22;-2.59;4.96;-0.199867325
200711;-7.954277497;-4.83;-2.63;-1.18;0.93;-0.079542775
200712;2.154432441;-0.87;0.2;-0.52;6.52;0.021544324
200801;-9.283512771;-6.36;-0.89;3.65;-7.89;-0.092835128
200802;-19.41428981;-3.09;-0.23;-0.95;6.14;-0.194142898
200803;13.42295475;-0.93;0.94;-0.15;4.1;0.134229548
200804;22.73748772;4.6;-1.64;-0.96;-0.2;0.227374877
200805;8.716124975;1.86;3.22;-1.38;3.21;0.08716125
200806;-0.484869466;-8.44;1.27;-2.43;12.54;-0.004848695
200807;8.736631145;-0.77;2.47;5.81;-5.15;0.087366311
200808;8.105815309;1.53;3.61;1.56;-4.05;0.081058153
200809;3.007142537;-9.24;-1.13;6.33;0.35;0.030071425
200810;-3.303070725;-17.23;-2.34;-2.9;7.79;-0.033030707
200811;5.01895268;-7.86;-2.99;-5.94;7.11;0.050189527
200812;4.736869825;1.74;3.59;-0.24;-5.07;0.047368698
200901;-3.48692189;-8.12;-0.01;-11.1;-1.83;-0.034869219
200902;3.140743308;-10.1;0.16;-7.25;4.18;0.031407433
200903;7.128592234;8.95;-0.08;3.52;-11.38;0.071285922
200904;2.32617436;10.19;4.83;5.46;-34.39;0.023261744
200905;-7.873810668;5.21;-2.33;-0.21;-12.44;-0.078738107
200906;-6.750785383;0.43;2.61;-2.71;5.29;-0.067507854
200907;7.663925718;7.72;2.07;5.27;-5.36;0.076639257
200908;-5.314811775;3.33;-0.9;7.76;-8.84;-0.053148118
200909;10.0698829;4.08;2.45;0.92;-4.93;0.100698829
200910;3.25876747;-2.59;-4.23;-4.18;2.65;0.032587675
200911;0.66144401;5.56;-2.49;-0.17;0.29;0.00661444
200912;7.870604399;2.75;6.11;0.01;2.91;0.078706044
201001;3.169718562;-3.36;0.38;0.31;-5.38;0.031697186
201002;5.167969924;3.4;1.21;3.17;3.6;0.051679699
201003;0.451127433;6.31;1.43;2.1;3.66;0.004511274
201004;2.402599856;2;4.98;2.81;3.22;0.024025999
201005;-1.392926211;-7.89;0.05;-2.38;-0.13;-0.013929262
201006;-1.330944425;-5.56;-1.98;-4.5;-3;-0.013309444
201007;-4.213465383;6.93;0.17;-0.26;1.88;-0.042134654
201008;-7.493863081;-4.77;-3;-1.96;-0.19;-0.074938631
201009;-8.836227407;9.54;3.92;-3.12;1.35;-0.088362274
201010;14.44033179;3.88;1.14;-2.59;1.64;0.144403318
201011;-3.330399347;0.6;3.71;-0.9;2.53;-0.033303993
201012;-0.332303975;6.82;0.69;3.82;-3.19;-0.00332304
201101;6.718433684;1.99;-2.46;0.83;-0.32;0.067184337
201102;4.272675839;3.49;1.52;1.08;2.03;0.042726758
201103;2.54853041;0.45;2.6;-1.57;3.51;0.025485304
201104;-1.472501732;2.9;-0.35;-2.53;0.07;-0.014725017
201105;-7.356369864;-1.27;-0.71;-2.07;-0.56;-0.073563699
201106;3.89465441;-1.75;-0.17;-0.33;1.78;0.038946544
201107;-0.56162352;-2.36;-1.3;-1.23;0.08;-0.005616235
201108;3.957581059;-5.99;-3.06;-2.44;-0.31;0.039575811
201109;3.623560258;-7.59;-3.49;-1.46;-2.55;0.036235603
201110;-1.021892947;11.35;3.41;-0.17;-1.42;-0.010218929
201111;2.03038644;-0.28;-0.17;-0.34;3.99;0.020303864
201112;2.856308844;0.74;-0.71;1.75;1.94;0.028563088
201201;7.591517883;5.05;2.15;-1.11;-7.97;0.075915179
