T-1;DMR;MRP;SMB;HML;MOM;DMRR
200701;-5.323236113;1.4;0.1;-0.11;0.21;-0.053232361
200702;-1.589751311;-1.96;1.32;-0.09;-1.35;-0.015897513
200703;-2.05231122;0.68;-0.06;-0.22;2.47;-0.020523112
200704;6.63315419;3.49;-2.06;-1.15;-0.16;0.066331542
200705;0.680156107;3.24;0.03;-0.05;-0.26;0.006801561
200706;-9.130072147;-1.96;0.77;-1.13;0.38;-0.091300721
200707;-1.448637697;-3.73;-2.51;-3.34;2.8;-0.014486377
200708;1.452838156;0.92;-0.13;-2.24;0.11;0.014528382
200709;-7.734371801;3.22;-2.29;-1.87;4.59;-0.077343718
200710;-22.0047786;1.8;0.22;-2.59;4.96;-0.220047786
200711;-7.292089002;-4.83;-2.63;-1.18;0.93;-0.07292089
200712;0.856179061;-0.87;0.2;-0.52;6.52;0.008561791
200801;-10.68375766;-6.36;-0.89;3.65;-7.89;-0.106837577
200802;-18.46896354;-3.09;-0.23;-0.95;6.14;-0.184689635
200803;13.57489456;-0.93;0.94;-0.15;4.1;0.135748946
200804;22.43643579;4.6;-1.64;-0.96;-0.2;0.224364358
200805;10.24325524;1.86;3.22;-1.38;3.21;0.102432552
200806;-0.492422302;-8.44;1.27;-2.43;12.54;-0.004924223
200807;7.623255565;-0.77;2.47;5.81;-5.15;0.076232556
200808;8.635306303;1.53;3.61;1.56;-4.05;0.086353063
200809;2.209138728;-9.24;-1.13;6.33;0.35;0.022091387
200810;-3.120325031;-17.23;-2.34;-2.9;7.79;-0.03120325
200811;5.630059501;-7.86;-2.99;-5.94;7.11;0.056300595
200812;3.97195145;1.74;3.59;-0.24;-5.07;0.039719515
200901;-2.745068337;-8.12;-0.01;-11.1;-1.83;-0.027450683
200902;2.423289053;-10.1;0.16;-7.25;4.18;0.024232891
200903;6.137601731;8.95;-0.08;3.52;-11.38;0.061376017
200904;2.947023464;10.19;4.83;5.46;-34.39;0.029470235
200905;-7.46983929;5.21;-2.33;-0.21;-12.44;-0.074698393
200906;-6.438782675;0.43;2.61;-2.71;5.29;-0.064387827
200907;7.771096662;7.72;2.07;5.27;-5.36;0.077710967
200908;-5.374894845;3.33;-0.9;7.76;-8.84;-0.053748948
200909;9.799527465;4.08;2.45;0.92;-4.93;0.097995275
200910;2.668914314;-2.59;-4.23;-4.18;2.65;0.026689143
200911;1.607647313;5.56;-2.49;-0.17;0.29;0.016076473
200912;7.771247984;2.75;6.11;0.01;2.91;0.07771248
201001;2.431419898;-3.36;0.38;0.31;-5.38;0.024314199
201002;5.346848036;3.4;1.21;3.17;3.6;0.05346848
201003;0.785771804;6.31;1.43;2.1;3.66;0.007857718
201004;2.11058771;2;4.98;2.81;3.22;0.021105877
201005;-1.008227103;-7.89;0.05;-2.38;-0.13;-0.010082271
201006;-1.277997437;-5.56;-1.98;-4.5;-3;-0.012779974
201007;-3.923926478;6.93;0.17;-0.26;1.88;-0.039239265
201008;-8.145507294;-4.77;-3;-1.96;-0.19;-0.081455073
201009;-9.572169157;9.54;3.92;-3.12;1.35;-0.095721692
201010;14.59308968;3.88;1.14;-2.59;1.64;0.145930897
201011;-3.794353022;0.6;3.71;-0.9;2.53;-0.03794353
201012;-0.002325104;6.82;0.69;3.82;-3.19;-2.3251E-05
201101;6.948593309;1.99;-2.46;0.83;-0.32;0.069485933
201102;3.984247184;3.49;1.52;1.08;2.03;0.039842472
201103;2.626662336;0.45;2.6;-1.57;3.51;0.026266623
201104;-1.324350717;2.9;-0.35;-2.53;0.07;-0.013243507
201105;-7.908979693;-1.27;-0.71;-2.07;-0.56;-0.079089797
201106;3.362946707;-1.75;-0.17;-0.33;1.78;0.033629467
201107;0.189506773;-2.36;-1.3;-1.23;0.08;0.001895068
201108;3.684691797;-5.99;-3.06;-2.44;-0.31;0.036846918
201109;3.57217505;-7.59;-3.49;-1.46;-2.55;0.035721751
201110;-0.810774929;11.35;3.41;-0.17;-1.42;-0.008107749
201111;2.032972337;-0.28;-0.17;-0.34;3.99;0.020329723
201112;2.739676409;0.74;-0.71;1.75;1.94;0.027396764
201201;7.827861591;5.05;2.15;-1.11;-7.97;0.078278616
201202;1.030194447;4.42;-1.75;0.09;-0.3;0.010301944
201203;4.419000306;3.11;-0.6;0.87;1.5;0.044190003
201204;1.134502758;-0.85;-0.51;-0.46;3.83;0.011345028
201205;2.866179963;-6.19;0.02;-0.62;6.6;0.0286618
201206;-3.306697237;3.89;0.77;0.44;-1.12;-0.033066972
201207;6.007622857;0.79;-2.59;-0.26;3.07;0.060076229
201208;-3.030768485;2.55;0.42;1.32;-2.49;-0.030307685
201209;3.544180904;2.73;0.51;1.54;-1.02;0.035441809
201210;4.88147977;-1.76;-1.14;3.79;0.1;0.048814798
201211;2.90245363;0.78;0.58;-0.96;0.38;0.029024536
201212;2.412883854;1.18;1.47;3.56;-2.97;0.024128839
201301;-2.974340779;5.57;0.39;0.95;-1.88;-0.029743408
201302;4.247056689;1.29;-0.45;0.03;1.31;0.042470567
201303;1.536317686;4.03;0.78;-0.29;1.94;0.015363177
201304;1.023273281;1.55;-2.42;0.63;0.25;0.010232733
201305;2.21688867;2.8;1.67;2.6;-1.8;0.022168887
201306;3.412682473;-1.2;1.22;-0.18;0.59;0.034126825
201307;-1.693651414;5.65;1.86;0.56;1.74;-0.016936514
201308;4.75686052;-2.71;0.3;-2.78;0.05;0.047568605
201309;-2.796270243;3.77;2.93;-1.19;2.97;-0.027962702
201310;1.667118926;4.18;-1.49;1.14;0.16;0.016671189
201311;4.141821;3.12;1.24;0.24;0.4;0.04141821
201312;0.674522552;2.81;-0.5;-0.31;0.07;0.006745226
201401;-2.859335133;-3.32;0.86;-2.09;1.72;-0.028593351
201402;5.382632703;4.65;0.32;-0.4;2.08;0.053826327
201403;-0.647600448;0.43;-1.89;5.08;-3.3;-0.006476004
201404;-0.602530659;-0.19;-4.25;1.14;-3.85;-0.006025307
201405;1.573067588;2.06;-1.85;-0.27;1.15;0.015730676
201406;-2.285760169;2.61;3.07;-0.74;0.68;-0.022857602
201407;-0.066206611;-2.04;-4.24;0.01;-0.24;-0.000662066
201408;-6.136807955;4.24;0.36;-0.58;0.82;-0.06136808
201409;-3.621281486;-1.97;-3.83;-1.23;0.53;-0.036212815
201410;7.437280676;2.52;4.23;-1.68;0;0.074372807
201411;0.928603936;2.55;-2.09;-2.99;1.05;0.009286039
201412;-2.212684095;-0.06;2.54;2.06;1.06;-0.022126841
201501;-6.139272069;-3.11;-0.56;-3.47;3.87;-0.061392721
201502;0.278743602;6.13;0.48;-1.79;-2.84;0.002787436
201503;9.163231027;-1.12;3.02;-0.46;2.98;0.09163231
201504;3.495141313;0.59;-2.97;1.86;-7.37;0.034951413
201505;1.243150786;1.36;0.87;-1.37;6.01;0.012431508
201506;0.536794321;-1.53;2.83;-0.79;3.04;0.005367943
201507;4.999442334;1.54;-4.14;-4.12;10.28;0.049994423
201508;0.454048199;-6.04;0.48;2.68;-2.07;0.004540482
201509;-0.563891219;-3.08;-2.64;0.52;5.32;-0.005638912
201510;-0.689748188;7.75;-1.97;-0.08;-3.97;-0.006897482
201511;6.839800135;0.56;3.64;-0.52;2.28;0.068398001
201512;2.704453553;-2.17;-2.82;-2.58;3.44;0.027044536
201601;2.273933474;-5.77;-3.36;2.1;1.37;0.022739335
201602;3.111407779;-0.07;0.78;-0.48;-4.09;0.031114078
201603;-0.731297299;6.96;0.87;1.12;-5.14;-0.007312973
201604;0.959735171;0.92;0.68;3.26;-6.23;0.009597352
201605;0.925558331;1.78;-0.26;-1.81;1.94;0.009255583
201606;1.578367539;-0.05;0.65;-1.49;4.21;0.015783675
201607;1.667357533;3.95;2.65;-1.13;-3.05;0.016673575
201608;0.205658538;0.5;1.15;3.31;-3.09;0.002056585
201609;4.839121209;0.25;2.02;-1.48;-0.56;0.048391212
201610;1.247068077;-2.02;-4.37;4.18;0.65;0.012470681
201611;3.812456053;4.86;5.49;8.27;-4.22;0.038124561
201612;1.639652216;1.82;0.07;3.6;-0.36;0.016396522
2007;-46.95292038;1.4;-7.04;-14.49;21.2;-0.469529204
2008;41.5588286;-44.19;5.88;2.4;18.88;0.415588286
2009;19.09776284;27.41;8.19;-2.68;-63.85;0.190977628
2010;-2.456788469;17.9;12.7;-3.5;5.99;-0.024567885
2011;19.09736656;1.68;-4.89;-8.48;8.24;0.190973666
2012;30.68889436;15.7;-0.67;8.2;-0.39;0.306888944
2013;16.21227936;30.86;5.53;1.4;5.8;0.162122794
2014;-3.110621654;11.48;-6.77;-1.69;1.7;-0.031106217
2015;22.32189379;0.88;-3.78;-10.12;20.97;0.223218938
2016;21.52901862;13.13;6.37;19.45;-18.57;0.215290186
