T-1;DMR;MRP;SMB;HML;MOM;DMRR
200701;-4.491578483;1.4;0.1;-0.11;0.21;-0.044915785
200702;-1.384815978;-1.96;1.32;-0.09;-1.35;-0.01384816
200703;0.574305299;0.68;-0.06;-0.22;2.47;0.005743053
200704;5.124194896;3.49;-2.06;-1.15;-0.16;0.051241949
200705;3.661308422;3.24;0.03;-0.05;-0.26;0.036613084
200706;-10.53574322;-1.96;0.77;-1.13;0.38;-0.105357432
200707;3.523999009;-3.73;-2.51;-3.34;2.8;0.03523999
200708;3.699407201;0.92;-0.13;-2.24;0.11;0.036994072
200709;-7.54761938;3.22;-2.29;-1.87;4.59;-0.075476194
200710;-20.73328375;1.8;0.22;-2.59;4.96;-0.207332838
200711;-8.179012879;-4.83;-2.63;-1.18;0.93;-0.081790129
200712;7.37347307;-0.87;0.2;-0.52;6.52;0.073734731
200801;-8.348418189;-6.36;-0.89;3.65;-7.89;-0.083484182
200802;-17.55791634;-3.09;-0.23;-0.95;6.14;-0.175579163
200803;11.7261007;-0.93;0.94;-0.15;4.1;0.117261007
200804;18.85685424;4.6;-1.64;-0.96;-0.2;0.188568542
200805;7.555691172;1.86;3.22;-1.38;3.21;0.075556912
200806;0.104030393;-8.44;1.27;-2.43;12.54;0.001040304
200807;8.284841026;-0.77;2.47;5.81;-5.15;0.08284841
200808;4.766814429;1.53;3.61;1.56;-4.05;0.047668144
200809;3.171585039;-9.24;-1.13;6.33;0.35;0.03171585
200810;-1.984251899;-17.23;-2.34;-2.9;7.79;-0.019842519
200811;5.989301955;-7.86;-2.99;-5.94;7.11;0.05989302
200812;3.301050608;1.74;3.59;-0.24;-5.07;0.033010506
200901;-3.768777189;-8.12;-0.01;-11.1;-1.83;-0.037687772
200902;2.604987857;-10.1;0.16;-7.25;4.18;0.026049879
200903;6.703356551;8.95;-0.08;3.52;-11.38;0.067033566
200904;2.368166501;10.19;4.83;5.46;-34.39;0.023681665
200905;-7.850823042;5.21;-2.33;-0.21;-12.44;-0.07850823
200906;-5.724397554;0.43;2.61;-2.71;5.29;-0.057243976
200907;7.513188397;7.72;2.07;5.27;-5.36;0.075131884
200908;-4.636981785;3.33;-0.9;7.76;-8.84;-0.046369818
200909;9.932145996;4.08;2.45;0.92;-4.93;0.09932146
200910;3.047119303;-2.59;-4.23;-4.18;2.65;0.030471193
200911;0.692887342;5.56;-2.49;-0.17;0.29;0.006928873
200912;7.238118163;2.75;6.11;0.01;2.91;0.072381182
201001;2.389882342;-3.36;0.38;0.31;-5.38;0.023898823
201002;4.444427508;3.4;1.21;3.17;3.6;0.044444275
201003;0.616418773;6.31;1.43;2.1;3.66;0.006164188
201004;2.842991836;2;4.98;2.81;3.22;0.028429918
201005;-0.898347837;-7.89;0.05;-2.38;-0.13;-0.008983478
201006;-1.088895109;-5.56;-1.98;-4.5;-3;-0.010888951
201007;-3.978476799;6.93;0.17;-0.26;1.88;-0.039784768
201008;-6.164379378;-4.77;-3;-1.96;-0.19;-0.061643794
201009;-7.244243121;9.54;3.92;-3.12;1.35;-0.072442431
201010;12.12694652;3.88;1.14;-2.59;1.64;0.121269465
201011;-2.679525984;0.6;3.71;-0.9;2.53;-0.02679526
201012;-0.061815426;6.82;0.69;3.82;-3.19;-0.000618154
201101;7.00996492;1.99;-2.46;0.83;-0.32;0.070099649
