T-1;DMR;MRP;SMB;HML;MOM;DMRR
200701;-5.349678017;1.4;0.1;-0.11;0.21;-0.05349678
200702;-1.106818019;-1.96;1.32;-0.09;-1.35;-0.01106818
200703;-1.49627402;0.68;-0.06;-0.22;2.47;-0.01496274
200704;5.408868205;3.49;-2.06;-1.15;-0.16;0.054088682
200705;2.522946609;3.24;0.03;-0.05;-0.26;0.025229466
200706;-9.531315825;-1.96;0.77;-1.13;0.38;-0.095313158
200707;-1.358353598;-3.73;-2.51;-3.34;2.8;-0.013583536
200708;1.265398147;0.92;-0.13;-2.24;0.11;0.012653981
200709;-10.28015984;3.22;-2.29;-1.87;4.59;-0.102801598
200710;-23.65715;1.8;0.22;-2.59;4.96;-0.2365715
200711;-9.115975911;-4.83;-2.63;-1.18;0.93;-0.091159759
200712;4.677016818;-0.87;0.2;-0.52;6.52;0.046770168
200801;-9.390095413;-6.36;-0.89;3.65;-7.89;-0.093900954
200802;-18.7926075;-3.09;-0.23;-0.95;6.14;-0.187926075
200803;12.35275154;-0.93;0.94;-0.15;4.1;0.123527515
200804;21.41991093;4.6;-1.64;-0.96;-0.2;0.214199109
200805;8.207431255;1.86;3.22;-1.38;3.21;0.082074313
200806;-0.483834607;-8.44;1.27;-2.43;12.54;-0.004838346
200807;8.92103188;-0.77;2.47;5.81;-5.15;0.089210319
200808;9.171673794;1.53;3.61;1.56;-4.05;0.091716738
200809;2.491792308;-9.24;-1.13;6.33;0.35;0.024917923
200810;-3.260958047;-17.23;-2.34;-2.9;7.79;-0.03260958
200811;6.062613039;-7.86;-2.99;-5.94;7.11;0.06062613
200812;4.324717178;1.74;3.59;-0.24;-5.07;0.043247172
200901;-3.53227608;-8.12;-0.01;-11.1;-1.83;-0.035322761
200902;2.997738511;-10.1;0.16;-7.25;4.18;0.029977385
200903;6.640694829;8.95;-0.08;3.52;-11.38;0.066406948
200904;2.74359497;10.19;4.83;5.46;-34.39;0.02743595
200905;-7.619609693;5.21;-2.33;-0.21;-12.44;-0.076196097
200906;-6.041441842;0.43;2.61;-2.71;5.29;-0.060414418
200907;7.081770206;7.72;2.07;5.27;-5.36;0.070817702
200908;-4.98292943;3.33;-0.9;7.76;-8.84;-0.049829294
200909;9.556349846;4.08;2.45;0.92;-4.93;0.095563498
200910;3.527569352;-2.59;-4.23;-4.18;2.65;0.035275694
200911;0.716411526;5.56;-2.49;-0.17;0.29;0.007164115
200912;7.671778826;2.75;6.11;0.01;2.91;0.076717788
201001;2.748638535;-3.36;0.38;0.31;-5.38;0.027486385
201002;5.432297932;3.4;1.21;3.17;3.6;0.054322979
201003;0.622239628;6.31;1.43;2.1;3.66;0.006222396
201004;2.606891606;2;4.98;2.81;3.22;0.026068916
201005;-1.008473208;-7.89;0.05;-2.38;-0.13;-0.010084732
201006;-1.35337699;-5.56;-1.98;-4.5;-3;-0.01353377
201007;-3.976081316;6.93;0.17;-0.26;1.88;-0.039760813
201008;-7.678690998;-4.77;-3;-1.96;-0.19;-0.07678691
201009;-9.157181551;9.54;3.92;-3.12;1.35;-0.091571816
201010;14.22836443;3.88;1.14;-2.59;1.64;0.142283644
201011;-3.655039274;0.6;3.71;-0.9;2.53;-0.036550393
201012;0.196013522;6.82;0.69;3.82;-3.19;0.001960135
201101;7.085215085;1.99;-2.46;0.83;-0.32;0.070852151
201102;4.641283287;3.49;1.52;1.08;2.03;0.046412833
