T-1;DMR;MRP;SMB;HML;MOM;DMRR
200701;-4.377096266;1.4;0.1;-0.11;0.21;-0.043770963
200702;-1.589922959;-1.96;1.32;-0.09;-1.35;-0.01589923
200703;-2.924482205;0.68;-0.06;-0.22;2.47;-0.029244822
200704;6.355105752;3.49;-2.06;-1.15;-0.16;0.063551058
200705;4.069098283;3.24;0.03;-0.05;-0.26;0.040690983
200706;-8.447903266;-1.96;0.77;-1.13;0.38;-0.084479033
200707;-0.145653055;-3.73;-2.51;-3.34;2.8;-0.001456531
200708;1.045121281;0.92;-0.13;-2.24;0.11;0.010451213
200709;-9.752391504;3.22;-2.29;-1.87;4.59;-0.097523915
200710;-20.71073567;1.8;0.22;-2.59;4.96;-0.207107357
200711;-8.822158074;-4.83;-2.63;-1.18;0.93;-0.088221581
200712;7.205848368;-0.87;0.2;-0.52;6.52;0.072058484
200801;-9.598485412;-6.36;-0.89;3.65;-7.89;-0.095984854
200802;-19.79828438;-3.09;-0.23;-0.95;6.14;-0.197982844
200803;9.378246721;-0.93;0.94;-0.15;4.1;0.093782467
200804;22.29506373;4.6;-1.64;-0.96;-0.2;0.222950637
200805;9.596382858;1.86;3.22;-1.38;3.21;0.095963829
200806;0.770624227;-8.44;1.27;-2.43;12.54;0.007706242
200807;7.972228259;-0.77;2.47;5.81;-5.15;0.079722283
200808;5.788527554;1.53;3.61;1.56;-4.05;0.057885276
200809;2.727326639;-9.24;-1.13;6.33;0.35;0.027273266
200810;-2.546325037;-17.23;-2.34;-2.9;7.79;-0.02546325
200811;5.723493251;-7.86;-2.99;-5.94;7.11;0.057234933
200812;2.72839603;1.74;3.59;-0.24;-5.07;0.02728396
200901;-3.334504231;-8.12;-0.01;-11.1;-1.83;-0.033345042
200902;3.965898681;-10.1;0.16;-7.25;4.18;0.039658987
200903;5.695284287;8.95;-0.08;3.52;-11.38;0.056952843
200904;1.64986466;10.19;4.83;5.46;-34.39;0.016498647
200905;-8.032187617;5.21;-2.33;-0.21;-12.44;-0.080321876
200906;-5.539694673;0.43;2.61;-2.71;5.29;-0.055396947
200907;7.16403735;7.72;2.07;5.27;-5.36;0.071640374
200908;-4.723741107;3.33;-0.9;7.76;-8.84;-0.047237411
200909;10.13977008;4.08;2.45;0.92;-4.93;0.101397701
200910;2.319745885;-2.59;-4.23;-4.18;2.65;0.023197459
200911;0.472377337;5.56;-2.49;-0.17;0.29;0.004723773
200912;6.363928675;2.75;6.11;0.01;2.91;0.063639287
201001;1.673137159;-3.36;0.38;0.31;-5.38;0.016731372
201002;5.860316766;3.4;1.21;3.17;3.6;0.058603168
201003;0.005166498;6.31;1.43;2.1;3.66;5.1665E-05
201004;3.659155592;2;4.98;2.81;3.22;0.036591556
201005;-0.205947543;-7.89;0.05;-2.38;-0.13;-0.002059475
201006;-1.047140333;-5.56;-1.98;-4.5;-3;-0.010471403
201007;-3.799745955;6.93;0.17;-0.26;1.88;-0.03799746
201008;-6.664038457;-4.77;-3;-1.96;-0.19;-0.066640385
201009;-7.749536125;9.54;3.92;-3.12;1.35;-0.077495361
201010;11.91537202;3.88;1.14;-2.59;1.64;0.11915372
201011;-3.701947567;0.6;3.71;-0.9;2.53;-0.037019476
201012;0.209487629;6.82;0.69;3.82;-3.19;0.002094876
201101;5.404054662;1.99;-2.46;0.83;-0.32;0.054040547
201102;4.032385331;3.49;1.52;1.08;2.03;0.040323853
201103;2.628634089;0.45;2.6;-1.57;3.51;0.026286341
201104;-0.819518519;2.9;-0.35;-2.53;0.07;-0.008195185
201105;-6.602739511;-1.27;-0.71;-2.07;-0.56;-0.066027395
201106;4.242890805;-1.75;-0.17;-0.33;1.78;0.042428908
201107;-0.304791367;-2.36;-1.3;-1.23;0.08;-0.003047914
201108;3.297188415;-5.99;-3.06;-2.44;-0.31;0.032971884
201109;3.997611081;-7.59;-3.49;-1.46;-2.55;0.039976111
201110;-1.172377388;11.35;3.41;-0.17;-1.42;-0.011723774
201111;1.107297187;-0.28;-0.17;-0.34;3.99;0.011072972
201112;2.305910169;0.74;-0.71;1.75;1.94;0.023059102
201201;6.875832556;5.05;2.15;-1.11;-7.97;0.068758326
201202;1.32227511;4.42;-1.75;0.09;-0.3;0.013222751
201203;4.286947686;3.11;-0.6;0.87;1.5;0.042869477
201204;1.393978944;-0.85;-0.51;-0.46;3.83;0.013939789
201205;1.374646072;-6.19;0.02;-0.62;6.6;0.013746461
201206;-3.492287491;3.89;0.77;0.44;-1.12;-0.034922875
201207;5.375645579;0.79;-2.59;-0.26;3.07;0.053756456
201208;-3.152856784;2.55;0.42;1.32;-2.49;-0.031528568
201209;2.351132829;2.73;0.51;1.54;-1.02;0.023511328
201210;3.47793768;-1.76;-1.14;3.79;0.1;0.034779377
201211;3.38846735;0.78;0.58;-0.96;0.38;0.033884674
201212;1.87088784;1.18;1.47;3.56;-2.97;0.018708878
201301;-4.203554419;5.57;0.39;0.95;-1.88;-0.042035544
201302;4.103993778;1.29;-0.45;0.03;1.31;0.041039938
201303;0.836984332;4.03;0.78;-0.29;1.94;0.008369843
201304;1.27242058;1.55;-2.42;0.63;0.25;0.012724206
201305;1.933187405;2.8;1.67;2.6;-1.8;0.019331874
201306;3.493713457;-1.2;1.22;-0.18;0.59;0.034937135
201307;-2.299115006;5.65;1.86;0.56;1.74;-0.02299115
201308;4.899649751;-2.71;0.3;-2.78;0.05;0.048996498
201309;-4.717399542;3.77;2.93;-1.19;2.97;-0.047173995
201310;1.941063046;4.18;-1.49;1.14;0.16;0.01941063
201311;3.979623353;3.12;1.24;0.24;0.4;0.039796234
201312;-0.310404013;2.81;-0.5;-0.31;0.07;-0.00310404
201401;-1.247592185;-3.32;0.86;-2.09;1.72;-0.012475922
201402;4.196921855;4.65;0.32;-0.4;2.08;0.041969219
201403;-0.882265635;0.43;-1.89;5.08;-3.3;-0.008822656
201404;-1.154738337;-0.19;-4.25;1.14;-3.85;-0.011547383
201405;0.797342641;2.06;-1.85;-0.27;1.15;0.007973426
201406;-3.642117578;2.61;3.07;-0.74;0.68;-0.036421176
201407;-2.014334856;-2.04;-4.24;0.01;-0.24;-0.020143349
201408;-5.031434662;4.24;0.36;-0.58;0.82;-0.050314347
201409;-3.429322807;-1.97;-3.83;-1.23;0.53;-0.034293228
201410;6.220989419;2.52;4.23;-1.68;0;0.062209894
201411;-1.319078539;2.55;-2.09;-2.99;1.05;-0.013190785
201412;-3.224015088;-0.06;2.54;2.06;1.06;-0.032240151
201501;-6.281390793;-3.11;-0.56;-3.47;3.87;-0.062813908
201502;1.930979108;6.13;0.48;-1.79;-2.84;0.019309791
201503;9.805992128;-1.12;3.02;-0.46;2.98;0.098059921
201504;4.072587709;0.59;-2.97;1.86;-7.37;0.040725877
201505;0.288560878;1.36;0.87;-1.37;6.01;0.002885609
