T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;0.814283526;1.4;0.1;-0.11;0.21;-2.925716474;3.74
200702;-8.446626189;-1.96;1.32;-0.09;-1.35;-12.18662619;3.74
200703;-1.944597792;0.68;-0.06;-0.22;2.47;-5.454597792;3.51
200704;3.049854189;3.49;-2.06;-1.15;-0.16;-0.630145811;3.68
200705;0.869859563;3.24;0.03;-0.05;-0.26;-3.010140437;3.88
200706;-17.67097205;-1.96;0.77;-1.13;0.38;-21.77097205;4.1
200707;0.367348978;-3.73;-2.51;-3.34;2.8;-3.642651022;4.01
200708;6.723764084;0.92;-0.13;-2.24;0.11;2.833764084;3.89
200709;-0.997820502;3.22;-2.29;-1.87;4.59;-4.687820502;3.69
200710;-24.21727881;1.8;0.22;-2.59;4.96;-28.02727881;3.81
200711;-4.346536538;-4.83;-2.63;-1.18;0.93;-7.876536538;3.53
200712;6.951926948;-0.87;0.2;-0.52;6.52;4.531926948;2.42
200801;-6.212841978;-6.36;-0.89;3.65;-7.89;-8.732841978;2.52
200802;-12.67902149;-3.09;-0.23;-0.95;6.14;-15.54902149;2.87
200803;15.80529288;-0.93;0.94;-0.15;4.1;12.98529288;2.82
200804;13.16764803;4.6;-1.64;-0.96;-0.2;10.23764803;2.93
200805;4.920421877;1.86;3.22;-1.38;3.21;1.630421877;3.29
200806;-2.85285016;-8.44;1.27;-2.43;12.54;-6.57285016;3.72
200807;10.20223258;-0.77;2.47;5.81;-5.15;6.64223258;3.56
200808;3.031988623;1.53;3.61;1.56;-4.05;-0.558011377;3.59
200809;5.00996648;-9.24;-1.13;6.33;0.35;1.60996648;3.4
200810;-5.162440955;-17.23;-2.34;-2.9;7.79;-8.552440955;3.39
200811;6.758342661;-7.86;-2.99;-5.94;7.11;3.358342661;3.4
200812;7.08878621;1.74;3.59;-0.24;-5.07;3.49878621;3.59
200901;-3.431306468;-8.12;-0.01;-11.1;-1.83;-7.161306468;3.73
200902;3.860500354;-10.1;0.16;-7.25;4.18;0.170500354;3.69
200903;6.619328155;8.95;-0.08;3.52;-11.38;2.889328155;3.73
200904;3.111150935;10.19;4.83;5.46;-34.39;-0.738849065;3.85
200905;-6.085115522;5.21;-2.33;-0.21;-12.44;-9.505115522;3.42
200906;-7.776914944;0.43;2.61;-2.71;5.29;-10.97691494;3.2
200907;8.422930506;7.72;2.07;5.27;-5.36;5.412930506;3.01
200908;-7.067095491;3.33;-0.9;7.76;-8.84;-9.767095491;2.7
200909;11.74472731;4.08;2.45;0.92;-4.93;9.09472731;2.65
200910;2.751283718;-2.59;-4.23;-4.18;2.65;0.211283718;2.54
200911;2.959128433;5.56;-2.49;-0.17;0.29;0.199128433;2.76
200912;9.012077125;2.75;6.11;0.01;2.91;5.722077125;3.29
201001;0.889738172;-3.36;0.38;0.31;-5.38;-2.500261828;3.39
201002;4.94844998;3.4;1.21;3.17;3.6;1.36844998;3.58
201003;1.871337936;6.31;1.43;2.1;3.66;-1.538662064;3.41
201004;3.405456993;2;4.98;2.81;3.22;-0.054543007;3.46
201005;-1.006090193;-7.89;0.05;-2.38;-0.13;-4.176090193;3.17
201006;-1.927878563;-5.56;-1.98;-4.5;-3;-4.927878563;3
201007;-4.062281879;6.93;0.17;-0.26;1.88;-7.062281879;3
201008;-6.654012872;-4.77;-3;-1.96;-0.19;-8.954012872;2.3
201009;-9.571416942;9.54;3.92;-3.12;1.35;-11.55141694;1.98
201010;12.51776222;3.88;1.14;-2.59;1.64;10.36776222;2.15
201011;-2.24590066;0.6;3.71;-0.9;2.53;-4.25590066;2.01
201012;1.543619273;6.82;0.69;3.82;-3.19;-0.436380727;1.98
201101;10.24533851;1.99;-2.46;0.83;-0.32;8.27533851;1.97
201102;3.354088929;3.49;1.52;1.08;2.03;1.384088929;1.97
201103;0.752416732;0.45;2.6;-1.57;3.51;-1.417583268;2.17
201104;-0.425090126;2.9;-0.35;-2.53;0.07;-2.475090126;2.05
201105;-7.155096165;-1.27;-0.71;-2.07;-0.56;-8.955096165;1.8
201106;2.200764145;-1.75;-0.17;-0.33;1.78;0.580764145;1.62
201107;-1.140813942;-2.36;-1.3;-1.23;0.08;-2.670813942;1.53
201108;2.711039308;-5.99;-3.06;-2.44;-0.31;1.031039308;1.68
201109;3.079332966;-7.59;-3.49;-1.46;-2.55;1.359332966;1.72
201110;0.397066125;11.35;3.41;-0.17;-1.42;-1.352933875;1.75
201111;3.873029696;-0.28;-0.17;-0.34;3.99;2.223029696;1.65
201112;2.139667911;0.74;-0.71;1.75;1.94;0.419667911;1.72
201201;9.434026868;5.05;2.15;-1.11;-7.97;7.524026868;1.91
201202;1.613985681;4.42;-1.75;0.09;-0.3;-0.366014319;1.98
201203;4.279950311;3.11;-0.6;0.87;1.5;2.319950311;1.96
201204;2.910363858;-0.85;-0.51;-0.46;3.83;1.150363858;1.76
201205;2.103466567;-6.19;0.02;-0.62;6.6;0.173466567;1.93
201206;-1.74341232;3.89;0.77;0.44;-1.12;-4.04341232;2.3
201207;6.278041547;0.79;-2.59;-0.26;3.07;3.698041547;2.58
201208;-1.851023918;2.55;0.42;1.32;-2.49;-4.591023918;2.74
201209;6.285093388;2.73;0.51;1.54;-1.02;3.475093388;2.81
201210;3.955353627;-1.76;-1.14;3.79;0.1;1.335353627;2.62
201211;1.758113098;0.78;0.58;-0.96;0.38;-0.961886902;2.72
201212;1.89150521;1.18;1.47;3.56;-2.97;-1.00849479;2.9
201301;-2.661450661;5.57;0.39;0.95;-1.88;-5.521450661;2.86
201302;2.391877562;1.29;-0.45;0.03;1.31;-0.318122438;2.71
201303;-0.043988489;4.03;0.78;-0.29;1.94;-2.763988489;2.72
201304;-0.723886071;1.55;-2.42;0.63;0.25;-3.433886071;2.71
201305;1.239992124;2.8;1.67;2.6;-1.8;-1.320007876;2.56
201306;2.997897714;-1.2;1.22;-0.18;0.59;0.397897714;2.6
201307;-5.412375418;5.65;1.86;0.56;1.74;-7.952375418;2.54
201308;4.937948632;-2.71;0.3;-2.78;0.05;2.517948632;2.42
201309;-3.549621752;3.77;2.93;-1.19;2.97;-6.079621752;2.53
201310;1.188822193;4.18;-1.49;1.14;0.16;-1.111177807;2.3
201311;1.679507279;3.12;1.24;0.24;0.4;-0.650492721;2.33
201312;0.850654404;2.81;-0.5;-0.31;0.07;-1.359345596;2.21
201401;-3.130061333;-3.32;0.86;-2.09;1.72;-5.010061333;1.88
201402;6.871476944;4.65;0.32;-0.4;2.08;4.891476944;1.98
201403;-2.565081065;0.43;-1.89;5.08;-3.3;-4.605081065;2.04
201404;2.018927407;-0.19;-4.25;1.14;-3.85;0.078927407;1.94
201405;1.783944604;2.06;-1.85;-0.27;1.15;-0.416055396;2.2
201406;0.829340098;2.61;3.07;-0.74;0.68;-1.530659902;2.36
201407;0.390424358;-2.04;-4.24;0.01;-0.24;-1.929575642;2.32
201408;-4.965226896;4.24;0.36;-0.58;0.82;-7.135226896;2.17
201409;-4.257130548;-1.97;-3.83;-1.23;0.53;-6.427130548;2.17
201410;5.605239541;2.52;4.23;-1.68;0;3.535239541;2.07
201411;0.470942819;2.55;-2.09;-2.99;1.05;-1.789057181;2.26
201412;-3.756235766;-0.06;2.54;2.06;1.06;-5.996235766;2.24
201501;-9.23850364;-3.11;-0.56;-3.47;3.87;-11.32850364;2.09
201502;1.880278507;6.13;0.48;-1.79;-2.84;0.100278507;1.78
201503;8.977619386;-1.12;3.02;-0.46;2.98;7.087619386;1.89
201504;2.63364379;0.59;-2.97;1.86;-7.37;0.82364379;1.81
201505;2.456490873;1.36;0.87;-1.37;6.01;0.646490873;1.81
201506;-1.294586138;-1.53;2.83;-0.79;3.04;-2.934586138;1.64
201507;5.353976774;1.54;-4.14;-4.12;10.28;3.853976774;1.5
201508;1.854971649;-6.04;0.48;2.68;-2.07;0.294971649;1.56
201509;-0.457902688;-3.08;-2.64;0.52;5.32;-2.087902688;1.63
201510;-1.973082591;7.75;-1.97;-0.08;-3.97;-3.733082591;1.76
201511;10.68975439;0.56;3.64;-0.52;2.28;8.54975439;2.14
201512;0.874088964;-2.17;-2.82;-2.58;3.44;-1.615911036;2.49
201601;0.74447037;-5.77;-3.36;2.1;1.37;-1.68552963;2.43
201602;-0.85686604;-0.07;0.78;-0.48;-4.09;-3.27686604;2.42
201603;0.604910733;6.96;0.87;1.12;-5.14;-1.875089267;2.48
201604;3.268937563;0.92;0.68;3.26;-6.23;0.968937563;2.3
201605;1.776364961;1.78;-0.26;-1.81;1.94;-0.523635039;2.3
201606;3.915113661;-0.05;0.65;-1.49;4.21;1.725113661;2.19
201607;2.097532805;3.95;2.65;-1.13;-3.05;-0.222467195;2.32
201608;-1.150165856;0.5;1.15;3.31;-3.09;-3.360165856;2.21
201609;5.507040501;0.25;2.02;-1.48;-0.56;3.307040501;2.2
201610;-0.124463229;-2.02;-4.37;4.18;0.65;-2.484463229;2.36
201611;4.521860896;4.86;5.49;8.27;-4.22;2.171860896;2.35
201612;0.445373013;1.82;0.07;3.6;-0.36;-1.954626987;2.4
2007;-38.8467946;1.4;-7.04;-14.49;21.2;-82.8467946;44
2008;39.07752475;-44.19;5.88;2.4;18.88;-3.70247525;42.78
2009;24.12069411;27.41;8.19;-2.68;-63.85;-17.78930589;41.91
2010;-0.291216534;17.9;12.7;-3.5;5.99;-41.51121653;41.22
2011;20.03174409;1.68;-4.89;-8.48;8.24;-20.43825591;40.47
2012;36.91546392;15.7;-0.67;8.2;-0.39;-2.96453608;39.88
2013;2.895377517;30.86;5.53;1.4;5.8;-36.60462248;39.5
2014;-0.703439837;11.48;-6.77;-1.69;1.7;-39.75343984;39.05
2015;21.75674928;0.88;-3.78;-10.12;20.97;-16.99325072;38.75
2016;20.75010938;13.13;6.37;19.45;-18.57;-17.70989062;38.46
