T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;-3.523487608;1.4;0.1;-0.11;0.21;-7.263487608;3.74
200702;-3.255869316;-1.96;1.32;-0.09;-1.35;-6.995869316;3.74
200703;-0.20272822;0.68;-0.06;-0.22;2.47;-3.71272822;3.51
200704;6.644879114;3.49;-2.06;-1.15;-0.16;2.964879114;3.68
200705;2.670461789;3.24;0.03;-0.05;-0.26;-1.209538211;3.88
200706;-13.39226407;-1.96;0.77;-1.13;0.38;-17.49226407;4.1
200707;-1.423128571;-3.73;-2.51;-3.34;2.8;-5.433128571;4.01
200708;2.082668802;0.92;-0.13;-2.24;0.11;-1.807331198;3.89
200709;-10.14177366;3.22;-2.29;-1.87;4.59;-13.83177366;3.69
200710;-21.82738784;1.8;0.22;-2.59;4.96;-25.63738784;3.81
200711;-1.240156048;-4.83;-2.63;-1.18;0.93;-4.770156048;3.53
200712;3.494203865;-0.87;0.2;-0.52;6.52;1.074203865;2.42
200801;-8.76429373;-6.36;-0.89;3.65;-7.89;-11.28429373;2.52
200802;-15.55546689;-3.09;-0.23;-0.95;6.14;-18.42546689;2.87
200803;10.33349915;-0.93;0.94;-0.15;4.1;7.51349915;2.82
200804;17.26721537;4.6;-1.64;-0.96;-0.2;14.33721537;2.93
200805;3.354764818;1.86;3.22;-1.38;3.21;0.064764818;3.29
200806;-0.817585698;-8.44;1.27;-2.43;12.54;-4.537585698;3.72
200807;10.30013416;-0.77;2.47;5.81;-5.15;6.74013416;3.56
200808;3.687719521;1.53;3.61;1.56;-4.05;0.097719521;3.59
200809;3.153813826;-9.24;-1.13;6.33;0.35;-0.246186174;3.4
200810;-4.293529785;-17.23;-2.34;-2.9;7.79;-7.683529785;3.39
200811;7.320614618;-7.86;-2.99;-5.94;7.11;3.920614618;3.4
200812;7.140788514;1.74;3.59;-0.24;-5.07;3.550788514;3.59
200901;-3.558141851;-8.12;-0.01;-11.1;-1.83;-7.288141851;3.73
200902;4.065049976;-10.1;0.16;-7.25;4.18;0.375049976;3.69
200903;6.547286999;8.95;-0.08;3.52;-11.38;2.817286999;3.73
200904;6.350786143;10.19;4.83;5.46;-34.39;2.500786143;3.85
200905;-5.707757771;5.21;-2.33;-0.21;-12.44;-9.127757771;3.42
200906;-7.688172062;0.43;2.61;-2.71;5.29;-10.88817206;3.2
200907;7.336354858;7.72;2.07;5.27;-5.36;4.326354858;3.01
200908;-5.511996835;3.33;-0.9;7.76;-8.84;-8.211996835;2.7
200909;9.848924956;4.08;2.45;0.92;-4.93;7.198924956;2.65
200910;3.744967373;-2.59;-4.23;-4.18;2.65;1.204967373;2.54
200911;4.450580278;5.56;-2.49;-0.17;0.29;1.690580278;2.76
200912;9.693517761;2.75;6.11;0.01;2.91;6.403517761;3.29
201001;4.016789989;-3.36;0.38;0.31;-5.38;0.626789989;3.39
201002;6.868343675;3.4;1.21;3.17;3.6;3.288343675;3.58
201003;1.9328675;6.31;1.43;2.1;3.66;-1.4771325;3.41
201004;3.340026906;2;4.98;2.81;3.22;-0.119973094;3.46
201005;-1.541358338;-7.89;0.05;-2.38;-0.13;-4.711358338;3.17
201006;-2.382034016;-5.56;-1.98;-4.5;-3;-5.382034016;3
201007;-3.064372344;6.93;0.17;-0.26;1.88;-6.064372344;3
201008;-7.578118081;-4.77;-3;-1.96;-0.19;-9.878118081;2.3
201009;-14.08601791;9.54;3.92;-3.12;1.35;-16.06601791;1.98
201010;13.31104555;3.88;1.14;-2.59;1.64;11.16104555;2.15
201011;-4.030333957;0.6;3.71;-0.9;2.53;-6.040333957;2.01
201012;0.954489003;6.82;0.69;3.82;-3.19;-1.025510997;1.98
201101;10.23340253;1.99;-2.46;0.83;-0.32;8.26340253;1.97
201102;3.16113059;3.49;1.52;1.08;2.03;1.19113059;1.97
201103;0.795711168;0.45;2.6;-1.57;3.51;-1.374288832;2.17
201104;0.800802784;2.9;-0.35;-2.53;0.07;-1.249197216;2.05
201105;-6.909369162;-1.27;-0.71;-2.07;-0.56;-8.709369162;1.8
201106;2.576689804;-1.75;-0.17;-0.33;1.78;0.956689804;1.62
201107;-1.719083253;-2.36;-1.3;-1.23;0.08;-3.249083253;1.53
201108;1.548563544;-5.99;-3.06;-2.44;-0.31;-0.131436456;1.68
201109;5.009755644;-7.59;-3.49;-1.46;-2.55;3.289755644;1.72
201110;0.404027443;11.35;3.41;-0.17;-1.42;-1.345972557;1.75
201111;3.309920567;-0.28;-0.17;-0.34;3.99;1.659920567;1.65
201112;2.434809559;0.74;-0.71;1.75;1.94;0.714809559;1.72
201201;7.787872277;5.05;2.15;-1.11;-7.97;5.877872277;1.91
201202;0.83755948;4.42;-1.75;0.09;-0.3;-1.14244052;1.98
201203;3.728080862;3.11;-0.6;0.87;1.5;1.768080862;1.96
201204;0.339918037;-0.85;-0.51;-0.46;3.83;-1.420081963;1.76
201205;2.041579822;-6.19;0.02;-0.62;6.6;0.111579822;1.93
201206;-3.481592554;3.89;0.77;0.44;-1.12;-5.781592554;2.3
201207;7.403622352;0.79;-2.59;-0.26;3.07;4.823622352;2.58
201208;-3.362121606;2.55;0.42;1.32;-2.49;-6.102121606;2.74
201209;5.069865005;2.73;0.51;1.54;-1.02;2.259865005;2.81
201210;6.033170587;-1.76;-1.14;3.79;0.1;3.413170587;2.62
201211;0.615126046;0.78;0.58;-0.96;0.38;-2.104873954;2.72
201212;2.342914058;1.18;1.47;3.56;-2.97;-0.557085942;2.9
201301;-1.850662152;5.57;0.39;0.95;-1.88;-4.710662152;2.86
201302;4.639004794;1.29;-0.45;0.03;1.31;1.929004794;2.71
201303;-0.884152982;4.03;0.78;-0.29;1.94;-3.604152982;2.72
201304;0.059091854;1.55;-2.42;0.63;0.25;-2.650908146;2.71
201305;3.307658551;2.8;1.67;2.6;-1.8;0.747658551;2.56
201306;4.43351429;-1.2;1.22;-0.18;0.59;1.83351429;2.6
201307;-4.471742016;5.65;1.86;0.56;1.74;-7.011742016;2.54
201308;5.617688253;-2.71;0.3;-2.78;0.05;3.197688253;2.42
201309;-5.324568923;3.77;2.93;-1.19;2.97;-7.854568923;2.53
201310;2.953987756;4.18;-1.49;1.14;0.16;0.653987756;2.3
201311;-0.575845886;3.12;1.24;0.24;0.4;-2.905845886;2.33
201312;-0.338593956;2.81;-0.5;-0.31;0.07;-2.548593956;2.21
201401;-1.981106913;-3.32;0.86;-2.09;1.72;-3.861106913;1.88
201402;4.657471784;4.65;0.32;-0.4;2.08;2.677471784;1.98
201403;-2.634716605;0.43;-1.89;5.08;-3.3;-4.674716605;2.04
201404;-0.284565072;-0.19;-4.25;1.14;-3.85;-2.224565072;1.94
201405;-0.879306489;2.06;-1.85;-0.27;1.15;-3.079306489;2.2
201406;-1.073924609;2.61;3.07;-0.74;0.68;-3.433924609;2.36
201407;-1.590583325;-2.04;-4.24;0.01;-0.24;-3.910583325;2.32
201408;-2.545727607;4.24;0.36;-0.58;0.82;-4.715727607;2.17
201409;-4.140398822;-1.97;-3.83;-1.23;0.53;-6.310398822;2.17
201410;6.285432702;2.52;4.23;-1.68;0;4.215432702;2.07
201411;1.305539357;2.55;-2.09;-2.99;1.05;-0.954460643;2.26
201412;-4.537672689;-0.06;2.54;2.06;1.06;-6.777672689;2.24
201501;-7.995165891;-3.11;-0.56;-3.47;3.87;-10.08516589;2.09
201502;2.344849365;6.13;0.48;-1.79;-2.84;0.564849365;1.78
201503;11.10398524;-1.12;3.02;-0.46;2.98;9.21398524;1.89
201504;3.871048743;0.59;-2.97;1.86;-7.37;2.061048743;1.81
201505;2.440066698;1.36;0.87;-1.37;6.01;0.630066698;1.81
201506;1.173390015;-1.53;2.83;-0.79;3.04;-0.466609985;1.64
201507;5.826678079;1.54;-4.14;-4.12;10.28;4.326678079;1.5
201508;0.596001229;-6.04;0.48;2.68;-2.07;-0.963998771;1.56
201509;-0.656664245;-3.08;-2.64;0.52;5.32;-2.286664245;1.63
201510;-3.608451708;7.75;-1.97;-0.08;-3.97;-5.368451708;1.76
201511;10.21810323;0.56;3.64;-0.52;2.28;8.07810323;2.14
201512;2.286911193;-2.17;-2.82;-2.58;3.44;-0.203088807;2.49
201601;0.887010495;-5.77;-3.36;2.1;1.37;-1.542989505;2.43
201602;0.268378293;-0.07;0.78;-0.48;-4.09;-2.151621707;2.42
201603;0.417475126;6.96;0.87;1.12;-5.14;-2.062524874;2.48
201604;4.26145479;0.92;0.68;3.26;-6.23;1.96145479;2.3
201605;-0.487972491;1.78;-0.26;-1.81;1.94;-2.787972491;2.3
201606;2.643680168;-0.05;0.65;-1.49;4.21;0.453680168;2.19
201607;1.205038391;3.95;2.65;-1.13;-3.05;-1.114961609;2.32
201608;-1.209644322;0.5;1.15;3.31;-3.09;-3.419644322;2.21
201609;6.986132875;0.25;2.02;-1.48;-0.56;4.786132875;2.2
201610;1.621620458;-2.02;-4.37;4.18;0.65;-0.738379542;2.36
201611;3.611643256;4.86;5.49;8.27;-4.22;1.261643256;2.35
201612;-0.307024774;1.82;0.07;3.6;-0.36;-2.707024774;2.4
2007;-40.11458175;1.4;-7.04;-14.49;21.2;-84.11458175;44
2008;33.12767387;-44.19;5.88;2.4;18.88;-9.65232613;42.78
2009;29.57139983;27.41;8.19;-2.68;-63.85;-12.33860017;41.91
2010;-2.258672026;17.9;12.7;-3.5;5.99;-43.47867203;41.22
2011;21.64636122;1.68;-4.89;-8.48;8.24;-18.82363878;40.47
2012;29.35599437;15.7;-0.67;8.2;-0.39;-10.52400563;39.88
2013;7.565379583;30.86;5.53;1.4;5.8;-31.93462042;39.5
2014;-7.419558289;11.48;-6.77;-1.69;1.7;-46.46955829;39.05
2015;27.60075195;0.88;-3.78;-10.12;20.97;-11.14924805;38.75
2016;19.89779226;13.13;6.37;19.45;-18.57;-18.56220774;38.46
