T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;-2.546819631;1.4;0.1;-0.11;0.21;-6.286819631;3.74
200702;-2.819239993;-1.96;1.32;-0.09;-1.35;-6.559239993;3.74
200703;-0.06835505;0.68;-0.06;-0.22;2.47;-3.57835505;3.51
200704;7.152035745;3.49;-2.06;-1.15;-0.16;3.472035745;3.68
200705;2.80974222;3.24;0.03;-0.05;-0.26;-1.07025778;3.88
200706;-12.30081049;-1.96;0.77;-1.13;0.38;-16.40081049;4.1
200707;-0.132813116;-3.73;-2.51;-3.34;2.8;-4.142813116;4.01
200708;3.035909385;0.92;-0.13;-2.24;0.11;-0.854090615;3.89
200709;-8.521032727;3.22;-2.29;-1.87;4.59;-12.21103273;3.69
200710;-21.98226619;1.8;0.22;-2.59;4.96;-25.79226619;3.81
200711;-7.912304884;-4.83;-2.63;-1.18;0.93;-11.44230488;3.53
200712;4.039489137;-0.87;0.2;-0.52;6.52;1.619489137;2.42
200801;-7.048432901;-6.36;-0.89;3.65;-7.89;-9.568432901;2.52
200802;-14.54677115;-3.09;-0.23;-0.95;6.14;-17.41677115;2.87
200803;12.43746508;-0.93;0.94;-0.15;4.1;9.61746508;2.82
200804;20.17867766;4.6;-1.64;-0.96;-0.2;17.24867766;2.93
200805;4.399983927;1.86;3.22;-1.38;3.21;1.109983927;3.29
200806;-1.911423149;-8.44;1.27;-2.43;12.54;-5.631423149;3.72
200807;10.67712464;-0.77;2.47;5.81;-5.15;7.11712464;3.56
200808;6.505960773;1.53;3.61;1.56;-4.05;2.915960773;3.59
200809;4.492958991;-9.24;-1.13;6.33;0.35;1.092958991;3.4
200810;-4.979600454;-17.23;-2.34;-2.9;7.79;-8.369600454;3.39
200811;5.976980252;-7.86;-2.99;-5.94;7.11;2.576980252;3.4
200812;5.194827428;1.74;3.59;-0.24;-5.07;1.604827428;3.59
200901;-3.364145631;-8.12;-0.01;-11.1;-1.83;-7.094145631;3.73
200902;3.40298465;-10.1;0.16;-7.25;4.18;-0.28701535;3.69
200903;7.555712171;8.95;-0.08;3.52;-11.38;3.825712171;3.73
200904;5.011369399;10.19;4.83;5.46;-34.39;1.161369399;3.85
200905;-7.061905497;5.21;-2.33;-0.21;-12.44;-10.4819055;3.42
200906;-7.321135921;0.43;2.61;-2.71;5.29;-10.52113592;3.2
200907;7.84601707;7.72;2.07;5.27;-5.36;4.83601707;3.01
200908;-5.659933351;3.33;-0.9;7.76;-8.84;-8.359933351;2.7
200909;11.30254778;4.08;2.45;0.92;-4.93;8.65254778;2.65
200910;3.736387826;-2.59;-4.23;-4.18;2.65;1.196387826;2.54
