T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;-3.919334489;1.4;0.1;-0.11;0.21;-7.659334489;3.74
200702;-1.731720105;-1.96;1.32;-0.09;-1.35;-5.471720105;3.74
200703;-0.96011651;0.68;-0.06;-0.22;2.47;-4.47011651;3.51
200704;5.979118356;3.49;-2.06;-1.15;-0.16;2.299118356;3.68
200705;1.873126568;3.24;0.03;-0.05;-0.26;-2.006873432;3.88
200706;-13.86364167;-1.96;0.77;-1.13;0.38;-17.96364167;4.1
200707;-1.411882256;-3.73;-2.51;-3.34;2.8;-5.421882256;4.01
200708;2.409392247;0.92;-0.13;-2.24;0.11;-1.480607753;3.89
200709;-9.376792347;3.22;-2.29;-1.87;4.59;-13.06679235;3.69
200710;-24.57721374;1.8;0.22;-2.59;4.96;-28.38721374;3.81
200711;-9.325317047;-4.83;-2.63;-1.18;0.93;-12.85531705;3.53
200712;6.136518601;-0.87;0.2;-0.52;6.52;3.716518601;2.42
200801;-6.460376304;-6.36;-0.89;3.65;-7.89;-8.980376304;2.52
200802;-16.91598946;-3.09;-0.23;-0.95;6.14;-19.78598946;2.87
200803;13.53464251;-0.93;0.94;-0.15;4.1;10.71464251;2.82
200804;32.86160923;4.6;-1.64;-0.96;-0.2;29.93160923;2.93
200805;6.27775947;1.86;3.22;-1.38;3.21;2.98775947;3.29
200806;-1.581185654;-8.44;1.27;-2.43;12.54;-5.301185654;3.72
200807;13.60988605;-0.77;2.47;5.81;-5.15;10.04988605;3.56
200808;8.329960611;1.53;3.61;1.56;-4.05;4.739960611;3.59
200809;5.467412426;-9.24;-1.13;6.33;0.35;2.067412426;3.4
200810;-5.544360581;-17.23;-2.34;-2.9;7.79;-8.934360581;3.39
200811;6.583580727;-7.86;-2.99;-5.94;7.11;3.183580727;3.4
200812;5.303799081;1.74;3.59;-0.24;-5.07;1.713799081;3.59
200901;-3.170525123;-8.12;-0.01;-11.1;-1.83;-6.900525123;3.73
200902;3.33855467;-10.1;0.16;-7.25;4.18;-0.35144533;3.69
200903;8.244038819;8.95;-0.08;3.52;-11.38;4.514038819;3.73
200904;4.02475546;10.19;4.83;5.46;-34.39;0.17475546;3.85
200905;-7.812150184;5.21;-2.33;-0.21;-12.44;-11.23215018;3.42
200906;-8.661517123;0.43;2.61;-2.71;5.29;-11.86151712;3.2
200907;9.210592088;7.72;2.07;5.27;-5.36;6.200592088;3.01
200908;-6.120522818;3.33;-0.9;7.76;-8.84;-8.820522818;2.7
200909;12.096491;4.08;2.45;0.92;-4.93;9.446491;2.65
200910;4.424763091;-2.59;-4.23;-4.18;2.65;1.884763091;2.54
200911;2.050616137;5.56;-2.49;-0.17;0.29;-0.709383863;2.76
200912;8.603998191;2.75;6.11;0.01;2.91;5.313998191;3.29
201001;1.631416578;-3.36;0.38;0.31;-5.38;-1.758583422;3.39
201002;4.82259872;3.4;1.21;3.17;3.6;1.24259872;3.58
201003;1.174262807;6.31;1.43;2.1;3.66;-2.235737193;3.41
201004;3.740306325;2;4.98;2.81;3.22;0.280306325;3.46
201005;-0.786683979;-7.89;0.05;-2.38;-0.13;-3.956683979;3.17
201006;-2.041079615;-5.56;-1.98;-4.5;-3;-5.041079615;3
201007;-3.129796838;6.93;0.17;-0.26;1.88;-6.129796838;3
201008;-8.081853137;-4.77;-3;-1.96;-0.19;-10.38185314;2.3
201009;-11.13355043;9.54;3.92;-3.12;1.35;-13.11355043;1.98
201010;14.67307193;3.88;1.14;-2.59;1.64;12.52307193;2.15
201011;-3.108604799;0.6;3.71;-0.9;2.53;-5.118604799;2.01
201012;0.047116444;6.82;0.69;3.82;-3.19;-1.932883556;1.98
201101;8.765237875;1.99;-2.46;0.83;-0.32;6.795237875;1.97
201102;4.249069874;3.49;1.52;1.08;2.03;2.279069874;1.97
201103;1.578478981;0.45;2.6;-1.57;3.51;-0.591521019;2.17
201104;-1.358050714;2.9;-0.35;-2.53;0.07;-3.408050714;2.05
201105;-6.988050396;-1.27;-0.71;-2.07;-0.56;-8.788050396;1.8
201106;1.627940523;-1.75;-0.17;-0.33;1.78;0.007940523;1.62
201107;0.130479826;-2.36;-1.3;-1.23;0.08;-1.399520174;1.53
201108;3.274476951;-5.99;-3.06;-2.44;-0.31;1.594476951;1.68
201109;3.506242354;-7.59;-3.49;-1.46;-2.55;1.786242354;1.72
201110;0.070142854;11.35;3.41;-0.17;-1.42;-1.679857146;1.75
201111;3.17699311;-0.28;-0.17;-0.34;3.99;1.52699311;1.65
201112;3.134538733;0.74;-0.71;1.75;1.94;1.414538733;1.72
201201;8.01956512;5.05;2.15;-1.11;-7.97;6.10956512;1.91
201202;2.41078122;4.42;-1.75;0.09;-0.3;0.43078122;1.98
201203;4.475670559;3.11;-0.6;0.87;1.5;2.515670559;1.96
201204;1.714201274;-0.85;-0.51;-0.46;3.83;-0.045798726;1.76
201205;3.563459448;-6.19;0.02;-0.62;6.6;1.633459448;1.93
201206;-1.809576654;3.89;0.77;0.44;-1.12;-4.109576654;2.3
201207;7.012032947;0.79;-2.59;-0.26;3.07;4.432032947;2.58
201208;-1.452966065;2.55;0.42;1.32;-2.49;-4.192966065;2.74
201209;5.612691059;2.73;0.51;1.54;-1.02;2.802691059;2.81
201210;4.278733918;-1.76;-1.14;3.79;0.1;1.658733918;2.62
201211;1.827131523;0.78;0.58;-0.96;0.38;-0.892868477;2.72
201212;3.254524432;1.18;1.47;3.56;-2.97;0.354524432;2.9
201301;-2.32230912;5.57;0.39;0.95;-1.88;-5.18230912;2.86
