T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;-4.818841115;1.4;0.1;-0.11;0.21;-8.558841115;3.74
200702;-1.081713506;-1.96;1.32;-0.09;-1.35;-4.821713506;3.74
200703;0.484092186;0.68;-0.06;-0.22;2.47;-3.025907814;3.51
200704;9.562597973;3.49;-2.06;-1.15;-0.16;5.882597973;3.68
200705;5.025772996;3.24;0.03;-0.05;-0.26;1.145772996;3.88
200706;-8.374432528;-1.96;0.77;-1.13;0.38;-12.47443253;4.1
200707;-0.733183671;-3.73;-2.51;-3.34;2.8;-4.743183671;4.01
200708;-0.150553157;0.92;-0.13;-2.24;0.11;-4.040553157;3.89
200709;-12.23114833;3.22;-2.29;-1.87;4.59;-15.92114833;3.69
200710;-22.54398894;1.8;0.22;-2.59;4.96;-26.35398894;3.81
200711;-6.947507995;-4.83;-2.63;-1.18;0.93;-10.477508;3.53
200712;6.33546764;-0.87;0.2;-0.52;6.52;3.91546764;2.42
200801;-7.722276843;-6.36;-0.89;3.65;-7.89;-10.24227684;2.52
200802;-16.35047362;-3.09;-0.23;-0.95;6.14;-19.22047362;2.87
200803;12.43632464;-0.93;0.94;-0.15;4.1;9.61632464;2.82
200804;22.22352785;4.6;-1.64;-0.96;-0.2;19.29352785;2.93
200805;6.293444474;1.86;3.22;-1.38;3.21;3.003444474;3.29
200806;-2.467966557;-8.44;1.27;-2.43;12.54;-6.187966557;3.72
200807;13.99700166;-0.77;2.47;5.81;-5.15;10.43700166;3.56
200808;5.282581539;1.53;3.61;1.56;-4.05;1.692581539;3.59
200809;4.449088469;-9.24;-1.13;6.33;0.35;1.049088469;3.4
200810;-4.626721447;-17.23;-2.34;-2.9;7.79;-8.016721447;3.39
200811;6.527520324;-7.86;-2.99;-5.94;7.11;3.127520324;3.4
200812;7.04265262;1.74;3.59;-0.24;-5.07;3.45265262;3.59
200901;-3.286273501;-8.12;-0.01;-11.1;-1.83;-7.016273501;3.73
200902;3.276404705;-10.1;0.16;-7.25;4.18;-0.413595295;3.69
200903;7.302743524;8.95;-0.08;3.52;-11.38;3.572743524;3.73
200904;6.111988344;10.19;4.83;5.46;-34.39;2.261988344;3.85
200905;-6.794417477;5.21;-2.33;-0.21;-12.44;-10.21441748;3.42
200906;-7.563423622;0.43;2.61;-2.71;5.29;-10.76342362;3.2
200907;6.719286805;7.72;2.07;5.27;-5.36;3.709286805;3.01
200908;-5.582030085;3.33;-0.9;7.76;-8.84;-8.282030085;2.7
200909;11.23688572;4.08;2.45;0.92;-4.93;8.58688572;2.65
200910;3.700975697;-2.59;-4.23;-4.18;2.65;1.160975697;2.54
200911;4.09732954;5.56;-2.49;-0.17;0.29;1.33732954;2.76
200912;8.370203677;2.75;6.11;0.01;2.91;5.080203677;3.29
201001;2.394899332;-3.36;0.38;0.31;-5.38;-0.995100668;3.39
201002;5.892189419;3.4;1.21;3.17;3.6;2.312189419;3.58
201003;2.207119957;6.31;1.43;2.1;3.66;-1.202880043;3.41
201004;3.247567791;2;4.98;2.81;3.22;-0.212432209;3.46
201005;0.203772587;-7.89;0.05;-2.38;-0.13;-2.966227413;3.17
201006;-1.934924722;-5.56;-1.98;-4.5;-3;-4.934924722;3
201007;-3.000234226;6.93;0.17;-0.26;1.88;-6.000234226;3
201008;-7.119477092;-4.77;-3;-1.96;-0.19;-9.419477092;2.3
201009;-11.89814761;9.54;3.92;-3.12;1.35;-13.87814761;1.98
201010;14.22418059;3.88;1.14;-2.59;1.64;12.07418059;2.15
201011;-3.551422125;0.6;3.71;-0.9;2.53;-5.561422125;2.01
201012;0.416908847;6.82;0.69;3.82;-3.19;-1.563091153;1.98
201101;8.249965523;1.99;-2.46;0.83;-0.32;6.279965523;1.97
201102;2.730473633;3.49;1.52;1.08;2.03;0.760473633;1.97
201103;1.790915145;0.45;2.6;-1.57;3.51;-0.379084855;2.17
201104;-0.216446855;2.9;-0.35;-2.53;0.07;-2.266446855;2.05
201105;-6.39964987;-1.27;-0.71;-2.07;-0.56;-8.19964987;1.8
201106;2.74979442;-1.75;-0.17;-0.33;1.78;1.12979442;1.62
201107;-2.040269473;-2.36;-1.3;-1.23;0.08;-3.570269473;1.53
201108;2.725520068;-5.99;-3.06;-2.44;-0.31;1.045520068;1.68
201109;4.136700122;-7.59;-3.49;-1.46;-2.55;2.416700122;1.72
201110;0.105960213;11.35;3.41;-0.17;-1.42;-1.644039787;1.75
201111;3.200329914;-0.28;-0.17;-0.34;3.99;1.550329914;1.65
201112;2.208227471;0.74;-0.71;1.75;1.94;0.488227471;1.72
201201;7.209314534;5.05;2.15;-1.11;-7.97;5.299314534;1.91
201202;1.066518566;4.42;-1.75;0.09;-0.3;-0.913481434;1.98
201203;4.160181317;3.11;-0.6;0.87;1.5;2.200181317;1.96
201204;0.409570541;-0.85;-0.51;-0.46;3.83;-1.350429459;1.76
201205;2.592371301;-6.19;0.02;-0.62;6.6;0.662371301;1.93
201206;-3.662984291;3.89;0.77;0.44;-1.12;-5.962984291;2.3
201207;6.784824747;0.79;-2.59;-0.26;3.07;4.204824747;2.58
201208;-2.567960519;2.55;0.42;1.32;-2.49;-5.307960519;2.74
201209;5.188483518;2.73;0.51;1.54;-1.02;2.378483518;2.81
201210;4.896229939;-1.76;-1.14;3.79;0.1;2.276229939;2.62
201211;1.492515284;0.78;0.58;-0.96;0.38;-1.227484716;2.72
201212;2.587072291;1.18;1.47;3.56;-2.97;-0.312927709;2.9
201301;-1.532437567;5.57;0.39;0.95;-1.88;-4.392437567;2.86
201302;4.738714522;1.29;-0.45;0.03;1.31;2.028714522;2.71
201303;-0.175123505;4.03;0.78;-0.29;1.94;-2.895123505;2.72
201304;-0.239068181;1.55;-2.42;0.63;0.25;-2.949068181;2.71
