T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;-4.6315133;1.4;0.1;-0.11;0.21;-8.3715133;3.74
200702;-2.090081357;-1.96;1.32;-0.09;-1.35;-5.830081357;3.74
200703;-2.063195915;0.68;-0.06;-0.22;2.47;-5.573195915;3.51
200704;5.308593952;3.49;-2.06;-1.15;-0.16;1.628593952;3.68
200705;1.831884142;3.24;0.03;-0.05;-0.26;-2.048115858;3.88
200706;-8.117738161;-1.96;0.77;-1.13;0.38;-12.21773816;4.1
200707;0.515929281;-3.73;-2.51;-3.34;2.8;-3.494070719;4.01
200708;0.101124018;0.92;-0.13;-2.24;0.11;-3.788875982;3.89
200709;-7.07506563;3.22;-2.29;-1.87;4.59;-10.76506563;3.69
200710;-18.80607758;1.8;0.22;-2.59;4.96;-22.61607758;3.81
200711;-7.172954055;-4.83;-2.63;-1.18;0.93;-10.70295406;3.53
200712;3.87809041;-0.87;0.2;-0.52;6.52;1.45809041;2.42
200801;-9.690591357;-6.36;-0.89;3.65;-7.89;-12.21059136;2.52
200802;-21.16220361;-3.09;-0.23;-0.95;6.14;-24.03220361;2.87
200803;11.67925628;-0.93;0.94;-0.15;4.1;8.85925628;2.82
200804;27.31834377;4.6;-1.64;-0.96;-0.2;24.38834377;2.93
200805;12.00818496;1.86;3.22;-1.38;3.21;8.71818496;3.29
200806;0.51488337;-8.44;1.27;-2.43;12.54;-3.20511663;3.72
200807;8.609733179;-0.77;2.47;5.81;-5.15;5.049733179;3.56
200808;6.036700136;1.53;3.61;1.56;-4.05;2.446700136;3.59
200809;4.055404402;-9.24;-1.13;6.33;0.35;0.655404402;3.4
200810;-1.99589191;-17.23;-2.34;-2.9;7.79;-5.38589191;3.39
200811;5.602019115;-7.86;-2.99;-5.94;7.11;2.202019115;3.4
200812;3.241969546;1.74;3.59;-0.24;-5.07;-0.348030454;3.59
200901;-3.459627859;-8.12;-0.01;-11.1;-1.83;-7.189627859;3.73
200902;4.260156656;-10.1;0.16;-7.25;4.18;0.570156656;3.69
200903;6.252970476;8.95;-0.08;3.52;-11.38;2.522970476;3.73
200904;1.438870642;10.19;4.83;5.46;-34.39;-2.411129358;3.85
200905;-6.815987504;5.21;-2.33;-0.21;-12.44;-10.2359875;3.42
200906;-6.288867721;0.43;2.61;-2.71;5.29;-9.488867721;3.2
200907;8.260358526;7.72;2.07;5.27;-5.36;5.250358526;3.01
200908;-4.982506038;3.33;-0.9;7.76;-8.84;-7.682506038;2.7
200909;9.913589397;4.08;2.45;0.92;-4.93;7.263589397;2.65
200910;3.484762087;-2.59;-4.23;-4.18;2.65;0.944762087;2.54
200911;0.403378456;5.56;-2.49;-0.17;0.29;-2.356621544;2.76
200912;6.753996094;2.75;6.11;0.01;2.91;3.463996094;3.29
201001;3.342931301;-3.36;0.38;0.31;-5.38;-0.047068699;3.39
201002;5.653390041;3.4;1.21;3.17;3.6;2.073390041;3.58
201003;0.297810835;6.31;1.43;2.1;3.66;-3.112189165;3.41
201004;3.313973318;2;4.98;2.81;3.22;-0.146026682;3.46
201005;-0.446522264;-7.89;0.05;-2.38;-0.13;-3.616522264;3.17
201006;-1.949048308;-5.56;-1.98;-4.5;-3;-4.949048308;3
201007;-4.911309635;6.93;0.17;-0.26;1.88;-7.911309635;3
201008;-7.294306089;-4.77;-3;-1.96;-0.19;-9.594306089;2.3
201009;-7.257863248;9.54;3.92;-3.12;1.35;-9.237863248;1.98
201010;11.43010433;3.88;1.14;-2.59;1.64;9.28010433;2.15
201011;-3.819992503;0.6;3.71;-0.9;2.53;-5.829992503;2.01
201012;-0.00407795;6.82;0.69;3.82;-3.19;-1.98407795;1.98
201101;4.613507032;1.99;-2.46;0.83;-0.32;2.643507032;1.97
201102;3.957555326;3.49;1.52;1.08;2.03;1.987555326;1.97
201103;3.166287843;0.45;2.6;-1.57;3.51;0.996287843;2.17
201104;-1.000181458;2.9;-0.35;-2.53;0.07;-3.050181458;2.05
201105;-6.826281095;-1.27;-0.71;-2.07;-0.56;-8.626281095;1.8
201106;4.7280803;-1.75;-0.17;-0.33;1.78;3.1080803;1.62
201107;-0.043111661;-2.36;-1.3;-1.23;0.08;-1.573111661;1.53
201108;2.576902444;-5.99;-3.06;-2.44;-0.31;0.896902444;1.68
201109;3.592234481;-7.59;-3.49;-1.46;-2.55;1.872234481;1.72
201110;-0.579063859;11.35;3.41;-0.17;-1.42;-2.329063859;1.75
201111;1.939088866;-0.28;-0.17;-0.34;3.99;0.289088866;1.65
201112;2.628153514;0.74;-0.71;1.75;1.94;0.908153514;1.72
201201;6.881762834;5.05;2.15;-1.11;-7.97;4.971762834;1.91
201202;0.294398239;4.42;-1.75;0.09;-0.3;-1.685601761;1.98
