T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;-5.157488786;1.4;0.1;-0.11;0.21;-8.897488786;3.74
200702;-2.574579694;-1.96;1.32;-0.09;-1.35;-6.314579694;3.74
200703;-1.168149555;0.68;-0.06;-0.22;2.47;-4.678149555;3.51
200704;6.741883148;3.49;-2.06;-1.15;-0.16;3.061883148;3.68
200705;1.777032497;3.24;0.03;-0.05;-0.26;-2.102967503;3.88
200706;-10.0119135;-1.96;0.77;-1.13;0.38;-14.1119135;4.1
200707;-0.179340605;-3.73;-2.51;-3.34;2.8;-4.189340605;4.01
200708;2.259118806;0.92;-0.13;-2.24;0.11;-1.630881194;3.89
200709;-8.779051615;3.22;-2.29;-1.87;4.59;-12.46905162;3.69
200710;-19.98673253;1.8;0.22;-2.59;4.96;-23.79673253;3.81
200711;-7.954277497;-4.83;-2.63;-1.18;0.93;-11.4842775;3.53
200712;2.154432441;-0.87;0.2;-0.52;6.52;-0.265567559;2.42
200801;-9.283512771;-6.36;-0.89;3.65;-7.89;-11.80351277;2.52
200802;-19.41428981;-3.09;-0.23;-0.95;6.14;-22.28428981;2.87
200803;13.42295475;-0.93;0.94;-0.15;4.1;10.60295475;2.82
200804;22.73748772;4.6;-1.64;-0.96;-0.2;19.80748772;2.93
200805;8.716124975;1.86;3.22;-1.38;3.21;5.426124975;3.29
200806;-0.484869466;-8.44;1.27;-2.43;12.54;-4.204869466;3.72
200807;8.736631145;-0.77;2.47;5.81;-5.15;5.176631145;3.56
200808;8.105815309;1.53;3.61;1.56;-4.05;4.515815309;3.59
200809;3.007142537;-9.24;-1.13;6.33;0.35;-0.392857463;3.4
200810;-3.303070725;-17.23;-2.34;-2.9;7.79;-6.693070725;3.39
200811;5.01895268;-7.86;-2.99;-5.94;7.11;1.61895268;3.4
200812;4.736869825;1.74;3.59;-0.24;-5.07;1.146869825;3.59
200901;-3.48692189;-8.12;-0.01;-11.1;-1.83;-7.21692189;3.73
200902;3.140743308;-10.1;0.16;-7.25;4.18;-0.549256692;3.69
200903;7.128592234;8.95;-0.08;3.52;-11.38;3.398592234;3.73
200904;2.32617436;10.19;4.83;5.46;-34.39;-1.52382564;3.85
200905;-7.873810668;5.21;-2.33;-0.21;-12.44;-11.29381067;3.42
200906;-6.750785383;0.43;2.61;-2.71;5.29;-9.950785383;3.2
200907;7.663925718;7.72;2.07;5.27;-5.36;4.653925718;3.01
