T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;-5.323236113;1.4;0.1;-0.11;0.21;-9.063236113;3.74
200702;-1.589751311;-1.96;1.32;-0.09;-1.35;-5.329751311;3.74
200703;-2.05231122;0.68;-0.06;-0.22;2.47;-5.56231122;3.51
200704;6.63315419;3.49;-2.06;-1.15;-0.16;2.95315419;3.68
200705;0.680156107;3.24;0.03;-0.05;-0.26;-3.199843893;3.88
200706;-9.130072147;-1.96;0.77;-1.13;0.38;-13.23007215;4.1
200707;-1.448637697;-3.73;-2.51;-3.34;2.8;-5.458637697;4.01
200708;1.452838156;0.92;-0.13;-2.24;0.11;-2.437161844;3.89
200709;-7.734371801;3.22;-2.29;-1.87;4.59;-11.4243718;3.69
200710;-22.0047786;1.8;0.22;-2.59;4.96;-25.8147786;3.81
200711;-7.292089002;-4.83;-2.63;-1.18;0.93;-10.822089;3.53
200712;0.856179061;-0.87;0.2;-0.52;6.52;-1.563820939;2.42
200801;-10.68375766;-6.36;-0.89;3.65;-7.89;-13.20375766;2.52
200802;-18.46896354;-3.09;-0.23;-0.95;6.14;-21.33896354;2.87
200803;13.57489456;-0.93;0.94;-0.15;4.1;10.75489456;2.82
200804;22.43643579;4.6;-1.64;-0.96;-0.2;19.50643579;2.93
200805;10.24325524;1.86;3.22;-1.38;3.21;6.95325524;3.29
200806;-0.492422302;-8.44;1.27;-2.43;12.54;-4.212422302;3.72
200807;7.623255565;-0.77;2.47;5.81;-5.15;4.063255565;3.56
200808;8.635306303;1.53;3.61;1.56;-4.05;5.045306303;3.59
200809;2.209138728;-9.24;-1.13;6.33;0.35;-1.190861272;3.4
200810;-3.120325031;-17.23;-2.34;-2.9;7.79;-6.510325031;3.39
200811;5.630059501;-7.86;-2.99;-5.94;7.11;2.230059501;3.4
200812;3.97195145;1.74;3.59;-0.24;-5.07;0.38195145;3.59
200901;-2.745068337;-8.12;-0.01;-11.1;-1.83;-6.475068337;3.73
200902;2.423289053;-10.1;0.16;-7.25;4.18;-1.266710947;3.69
200903;6.137601731;8.95;-0.08;3.52;-11.38;2.407601731;3.73
200904;2.947023464;10.19;4.83;5.46;-34.39;-0.902976536;3.85
200905;-7.46983929;5.21;-2.33;-0.21;-12.44;-10.88983929;3.42
200906;-6.438782675;0.43;2.61;-2.71;5.29;-9.638782675;3.2
200907;7.771096662;7.72;2.07;5.27;-5.36;4.761096662;3.01
200908;-5.374894845;3.33;-0.9;7.76;-8.84;-8.074894845;2.7
200909;9.799527465;4.08;2.45;0.92;-4.93;7.149527465;2.65
200910;2.668914314;-2.59;-4.23;-4.18;2.65;0.128914314;2.54
200911;1.607647313;5.56;-2.49;-0.17;0.29;-1.152352687;2.76
200912;7.771247984;2.75;6.11;0.01;2.91;4.481247984;3.29
201001;2.431419898;-3.36;0.38;0.31;-5.38;-0.958580102;3.39
201002;5.346848036;3.4;1.21;3.17;3.6;1.766848036;3.58
201003;0.785771804;6.31;1.43;2.1;3.66;-2.624228196;3.41
201004;2.11058771;2;4.98;2.81;3.22;-1.34941229;3.46
201005;-1.008227103;-7.89;0.05;-2.38;-0.13;-4.178227103;3.17
201006;-1.277997437;-5.56;-1.98;-4.5;-3;-4.277997437;3
201007;-3.923926478;6.93;0.17;-0.26;1.88;-6.923926478;3
201008;-8.145507294;-4.77;-3;-1.96;-0.19;-10.44550729;2.3
201009;-9.572169157;9.54;3.92;-3.12;1.35;-11.55216916;1.98
201010;14.59308968;3.88;1.14;-2.59;1.64;12.44308968;2.15
201011;-3.794353022;0.6;3.71;-0.9;2.53;-5.804353022;2.01
201012;-0.002325104;6.82;0.69;3.82;-3.19;-1.982325104;1.98
201101;6.948593309;1.99;-2.46;0.83;-0.32;4.978593309;1.97
