T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;-4.491578483;1.4;0.1;-0.11;0.21;-8.231578483;3.74
200702;-1.384815978;-1.96;1.32;-0.09;-1.35;-5.124815978;3.74
200703;0.574305299;0.68;-0.06;-0.22;2.47;-2.935694701;3.51
200704;5.124194896;3.49;-2.06;-1.15;-0.16;1.444194896;3.68
200705;3.661308422;3.24;0.03;-0.05;-0.26;-0.218691578;3.88
200706;-10.53574322;-1.96;0.77;-1.13;0.38;-14.63574322;4.1
200707;3.523999009;-3.73;-2.51;-3.34;2.8;-0.486000991;4.01
200708;3.699407201;0.92;-0.13;-2.24;0.11;-0.190592799;3.89
200709;-7.54761938;3.22;-2.29;-1.87;4.59;-11.23761938;3.69
200710;-20.73328375;1.8;0.22;-2.59;4.96;-24.54328375;3.81
200711;-8.179012879;-4.83;-2.63;-1.18;0.93;-11.70901288;3.53
200712;7.37347307;-0.87;0.2;-0.52;6.52;4.95347307;2.42
200801;-8.348418189;-6.36;-0.89;3.65;-7.89;-10.86841819;2.52
200802;-17.55791634;-3.09;-0.23;-0.95;6.14;-20.42791634;2.87
200803;11.7261007;-0.93;0.94;-0.15;4.1;8.9061007;2.82
200804;18.85685424;4.6;-1.64;-0.96;-0.2;15.92685424;2.93
200805;7.555691172;1.86;3.22;-1.38;3.21;4.265691172;3.29
200806;0.104030393;-8.44;1.27;-2.43;12.54;-3.615969607;3.72
200807;8.284841026;-0.77;2.47;5.81;-5.15;4.724841026;3.56
200808;4.766814429;1.53;3.61;1.56;-4.05;1.176814429;3.59
200809;3.171585039;-9.24;-1.13;6.33;0.35;-0.228414961;3.4
200810;-1.984251899;-17.23;-2.34;-2.9;7.79;-5.374251899;3.39
200811;5.989301955;-7.86;-2.99;-5.94;7.11;2.589301955;3.4
200812;3.301050608;1.74;3.59;-0.24;-5.07;-0.288949392;3.59
200901;-3.768777189;-8.12;-0.01;-11.1;-1.83;-7.498777189;3.73
200902;2.604987857;-10.1;0.16;-7.25;4.18;-1.085012143;3.69
200903;6.703356551;8.95;-0.08;3.52;-11.38;2.973356551;3.73
200904;2.368166501;10.19;4.83;5.46;-34.39;-1.481833499;3.85
200905;-7.850823042;5.21;-2.33;-0.21;-12.44;-11.27082304;3.42
200906;-5.724397554;0.43;2.61;-2.71;5.29;-8.924397554;3.2
200907;7.513188397;7.72;2.07;5.27;-5.36;4.503188397;3.01
200908;-4.636981785;3.33;-0.9;7.76;-8.84;-7.336981785;2.7
200909;9.932145996;4.08;2.45;0.92;-4.93;7.282145996;2.65
200910;3.047119303;-2.59;-4.23;-4.18;2.65;0.507119303;2.54
200911;0.692887342;5.56;-2.49;-0.17;0.29;-2.067112658;2.76
200912;7.238118163;2.75;6.11;0.01;2.91;3.948118163;3.29
201001;2.389882342;-3.36;0.38;0.31;-5.38;-1.000117658;3.39
201002;4.444427508;3.4;1.21;3.17;3.6;0.864427508;3.58
201003;0.616418773;6.31;1.43;2.1;3.66;-2.793581227;3.41
201004;2.842991836;2;4.98;2.81;3.22;-0.617008164;3.46
201005;-0.898347837;-7.89;0.05;-2.38;-0.13;-4.068347837;3.17
201006;-1.088895109;-5.56;-1.98;-4.5;-3;-4.088895109;3
201007;-3.978476799;6.93;0.17;-0.26;1.88;-6.978476799;3
201008;-6.164379378;-4.77;-3;-1.96;-0.19;-8.464379378;2.3
201009;-7.244243121;9.54;3.92;-3.12;1.35;-9.224243121;1.98
201010;12.12694652;3.88;1.14;-2.59;1.64;9.97694652;2.15
201011;-2.679525984;0.6;3.71;-0.9;2.53;-4.689525984;2.01
201012;-0.061815426;6.82;0.69;3.82;-3.19;-2.041815426;1.98
201101;7.00996492;1.99;-2.46;0.83;-0.32;5.03996492;1.97
201102;4.23467266;3.49;1.52;1.08;2.03;2.26467266;1.97
201103;2.582866595;0.45;2.6;-1.57;3.51;0.412866595;2.17
201104;-1.687340852;2.9;-0.35;-2.53;0.07;-3.737340852;2.05
201105;-7.141042688;-1.27;-0.71;-2.07;-0.56;-8.941042688;1.8
201106;3.613181082;-1.75;-0.17;-0.33;1.78;1.993181082;1.62
201107;0.037323508;-2.36;-1.3;-1.23;0.08;-1.492676492;1.53
201108;3.210689105;-5.99;-3.06;-2.44;-0.31;1.530689105;1.68
201109;3.134490958;-7.59;-3.49;-1.46;-2.55;1.414490958;1.72
201110;-0.236164348;11.35;3.41;-0.17;-1.42;-1.986164348;1.75
201111;2.060581877;-0.28;-0.17;-0.34;3.99;0.410581877;1.65
201112;2.474251947;0.74;-0.71;1.75;1.94;0.754251947;1.72
201201;6.940683564;5.05;2.15;-1.11;-7.97;5.030683564;1.91
201202;1.513298736;4.42;-1.75;0.09;-0.3;-0.466701264;1.98
201203;4.450931851;3.11;-0.6;0.87;1.5;2.490931851;1.96
201204;0.967966119;-0.85;-0.51;-0.46;3.83;-0.792033881;1.76
201205;2.68358385;-6.19;0.02;-0.62;6.6;0.75358385;1.93
201206;-3.218466483;3.89;0.77;0.44;-1.12;-5.518466483;2.3
201207;5.352571939;0.79;-2.59;-0.26;3.07;2.772571939;2.58
201208;-3.271013182;2.55;0.42;1.32;-2.49;-6.011013182;2.74
201209;3.708105545;2.73;0.51;1.54;-1.02;0.898105545;2.81
201210;4.545802455;-1.76;-1.14;3.79;0.1;1.925802455;2.62
201211;2.935062021;0.78;0.58;-0.96;0.38;0.215062021;2.72
201212;2.402404659;1.18;1.47;3.56;-2.97;-0.497595341;2.9
201301;-2.88998472;5.57;0.39;0.95;-1.88;-5.74998472;2.86
201302;4.4419279;1.29;-0.45;0.03;1.31;1.7319279;2.71
201303;1.355016601;4.03;0.78;-0.29;1.94;-1.364983399;2.72
201304;1.008505746;1.55;-2.42;0.63;0.25;-1.701494254;2.71
201305;2.226775022;2.8;1.67;2.6;-1.8;-0.333224978;2.56
201306;2.64476631;-1.2;1.22;-0.18;0.59;0.04476631;2.6
201307;-2.499890102;5.65;1.86;0.56;1.74;-5.039890102;2.54
201308;4.524883146;-2.71;0.3;-2.78;0.05;2.104883146;2.42
201309;-2.755892429;3.77;2.93;-1.19;2.97;-5.285892429;2.53
201310;2.307323416;4.18;-1.49;1.14;0.16;0.007323416;2.3
201311;4.809361435;3.12;1.24;0.24;0.4;2.479361435;2.33
201312;0.998957218;2.81;-0.5;-0.31;0.07;-1.211042782;2.21
201401;-2.327292192;-3.32;0.86;-2.09;1.72;-4.207292192;1.88
201402;4.879761748;4.65;0.32;-0.4;2.08;2.899761748;1.98
201403;-0.819862999;0.43;-1.89;5.08;-3.3;-2.859862999;2.04
201404;-0.27836014;-0.19;-4.25;1.14;-3.85;-2.21836014;1.94
201405;1.044702393;2.06;-1.85;-0.27;1.15;-1.155297607;2.2
201406;-2.27134405;2.61;3.07;-0.74;0.68;-4.63134405;2.36
201407;-0.136612371;-2.04;-4.24;0.01;-0.24;-2.456612371;2.32
201408;-5.037856188;4.24;0.36;-0.58;0.82;-7.207856188;2.17
201409;-4.360144916;-1.97;-3.83;-1.23;0.53;-6.530144916;2.17
201410;8.491011008;2.52;4.23;-1.68;0;6.421011008;2.07
201411;-0.392897364;2.55;-2.09;-2.99;1.05;-2.652897364;2.26
201412;-2.687165951;-0.06;2.54;2.06;1.06;-4.927165951;2.24
201501;-5.414836026;-3.11;-0.56;-3.47;3.87;-7.504836026;2.09
201502;1.092952493;6.13;0.48;-1.79;-2.84;-0.687047507;1.78
201503;9.963027088;-1.12;3.02;-0.46;2.98;8.073027088;1.89
201504;3.391768823;0.59;-2.97;1.86;-7.37;1.581768823;1.81
201505;1.102128681;1.36;0.87;-1.37;6.01;-0.707871319;1.81
201506;0.953230874;-1.53;2.83;-0.79;3.04;-0.686769126;1.64
201507;4.783639311;1.54;-4.14;-4.12;10.28;3.283639311;1.5
201508;0.084614018;-6.04;0.48;2.68;-2.07;-1.475385982;1.56
201509;-0.155872557;-3.08;-2.64;0.52;5.32;-1.785872557;1.63
201510;-2.482248249;7.75;-1.97;-0.08;-3.97;-4.242248249;1.76
201511;6.23545642;0.56;3.64;-0.52;2.28;4.09545642;2.14
201512;1.749654395;-2.17;-2.82;-2.58;3.44;-0.740345605;2.49
201601;2.038861026;-5.77;-3.36;2.1;1.37;-0.391138974;2.43
201602;2.504718122;-0.07;0.78;-0.48;-4.09;0.084718122;2.42
201603;-0.715241308;6.96;0.87;1.12;-5.14;-3.195241308;2.48
201604;0.761884363;0.92;0.68;3.26;-6.23;-1.538115637;2.3
201605;0.53991664;1.78;-0.26;-1.81;1.94;-1.76008336;2.3
201606;1.553364108;-0.05;0.65;-1.49;4.21;-0.636635892;2.19
201607;1.710126091;3.95;2.65;-1.13;-3.05;-0.609873909;2.32
201608;-0.452001247;0.5;1.15;3.31;-3.09;-2.662001247;2.21
201609;4.850894448;0.25;2.02;-1.48;-0.56;2.650894448;2.2
201610;0.713241658;-2.02;-4.37;4.18;0.65;-1.646758342;2.36
201611;3.944828009;4.86;5.49;8.27;-4.22;1.594828009;2.35
201612;1.862867052;1.82;0.07;3.6;-0.36;-0.537132948;2.4
2007;-28.91536579;1.4;-7.04;-14.49;21.2;-72.91536579;44
2008;35.86568313;-44.19;5.88;2.4;18.88;-6.91431687;42.78
2009;18.11899054;27.41;8.19;-2.68;-63.85;-23.79100946;41.91
2010;0.304983325;17.9;12.7;-3.5;5.99;-40.91501668;41.22
2011;19.29347476;1.68;-4.89;-8.48;8.24;-21.17652524;40.47
2012;29.01093107;15.7;-0.67;8.2;-0.39;-10.86906893;39.88
2013;16.17174954;30.86;5.53;1.4;5.8;-23.32825046;39.5
2014;-3.896061022;11.48;-6.77;-1.69;1.7;-42.94606102;39.05
2015;21.30351527;0.88;-3.78;-10.12;20.97;-17.44648473;38.75
2016;19.31345896;13.13;6.37;19.45;-18.57;-19.14654104;38.46
