T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;-4.432769587;1.4;0.1;-0.11;0.21;-8.172769587;3.74
200702;-0.42456491;-1.96;1.32;-0.09;-1.35;-4.16456491;3.74
200703;-0.152873497;0.68;-0.06;-0.22;2.47;-3.662873497;3.51
200704;6.428290809;3.49;-2.06;-1.15;-0.16;2.748290809;3.68
200705;4.215477112;3.24;0.03;-0.05;-0.26;0.335477112;3.88
200706;-7.639353984;-1.96;0.77;-1.13;0.38;-11.73935398;4.1
200707;-0.113869559;-3.73;-2.51;-3.34;2.8;-4.123869559;4.01
200708;1.711851583;0.92;-0.13;-2.24;0.11;-2.178148417;3.89
200709;-11.22739835;3.22;-2.29;-1.87;4.59;-14.91739835;3.69
200710;-19.70103388;1.8;0.22;-2.59;4.96;-23.51103388;3.81
200711;-10.81294513;-4.83;-2.63;-1.18;0.93;-14.34294513;3.53
200712;7.412838179;-0.87;0.2;-0.52;6.52;4.992838179;2.42
200801;-7.445063449;-6.36;-0.89;3.65;-7.89;-9.965063449;2.52
200802;-20.19707685;-3.09;-0.23;-0.95;6.14;-23.06707685;2.87
200803;7.98655604;-0.93;0.94;-0.15;4.1;5.16655604;2.82
200804;24.96177657;4.6;-1.64;-0.96;-0.2;22.03177657;2.93
200805;8.602323845;1.86;3.22;-1.38;3.21;5.312323845;3.29
200806;-0.761296775;-8.44;1.27;-2.43;12.54;-4.481296775;3.72
200807;9.839161592;-0.77;2.47;5.81;-5.15;6.279161592;3.56
200808;8.315064126;1.53;3.61;1.56;-4.05;4.725064126;3.59
200809;4.225131263;-9.24;-1.13;6.33;0.35;0.825131263;3.4
200810;-2.442850697;-17.23;-2.34;-2.9;7.79;-5.832850697;3.39
200811;5.583011592;-7.86;-2.99;-5.94;7.11;2.183011592;3.4
200812;5.304713775;1.74;3.59;-0.24;-5.07;1.714713775;3.59
200901;-3.596043538;-8.12;-0.01;-11.1;-1.83;-7.326043538;3.73
200902;3.47560365;-10.1;0.16;-7.25;4.18;-0.21439635;3.69
200903;7.331314157;8.95;-0.08;3.52;-11.38;3.601314157;3.73
200904;3.226343648;10.19;4.83;5.46;-34.39;-0.623656352;3.85
200905;-7.663112377;5.21;-2.33;-0.21;-12.44;-11.08311238;3.42
200906;-6.247574841;0.43;2.61;-2.71;5.29;-9.447574841;3.2
200907;7.739651878;7.72;2.07;5.27;-5.36;4.729651878;3.01
200908;-5.055522074;3.33;-0.9;7.76;-8.84;-7.755522074;2.7
200909;9.615680768;4.08;2.45;0.92;-4.93;6.965680768;2.65
200910;3.197295656;-2.59;-4.23;-4.18;2.65;0.657295656;2.54
200911;1.105072964;5.56;-2.49;-0.17;0.29;-1.654927036;2.76
200912;7.476438025;2.75;6.11;0.01;2.91;4.186438025;3.29
201001;2.683470579;-3.36;0.38;0.31;-5.38;-0.706529421;3.39
201002;5.130827181;3.4;1.21;3.17;3.6;1.550827181;3.58
201003;1.389007573;6.31;1.43;2.1;3.66;-2.020992427;3.41
201004;3.450394112;2;4.98;2.81;3.22;-0.009605888;3.46
201005;-0.194202898;-7.89;0.05;-2.38;-0.13;-3.364202898;3.17
201006;-1.231391513;-5.56;-1.98;-4.5;-3;-4.231391513;3
201007;-4.213271543;6.93;0.17;-0.26;1.88;-7.213271543;3
201008;-7.317739528;-4.77;-3;-1.96;-0.19;-9.617739528;2.3
201009;-9.263212606;9.54;3.92;-3.12;1.35;-11.24321261;1.98
201010;13.5462382;3.88;1.14;-2.59;1.64;11.3962382;2.15
201011;-3.253749108;0.6;3.71;-0.9;2.53;-5.263749108;2.01
201012;-0.523727196;6.82;0.69;3.82;-3.19;-2.503727196;1.98
201101;5.524228818;1.99;-2.46;0.83;-0.32;3.554228818;1.97
201102;4.249841542;3.49;1.52;1.08;2.03;2.279841542;1.97
201103;1.72394805;0.45;2.6;-1.57;3.51;-0.44605195;2.17
201104;-0.976523562;2.9;-0.35;-2.53;0.07;-3.026523562;2.05
201105;-7.171189767;-1.27;-0.71;-2.07;-0.56;-8.971189767;1.8
201106;4.102605924;-1.75;-0.17;-0.33;1.78;2.482605924;1.62
201107;-0.122797311;-2.36;-1.3;-1.23;0.08;-1.652797311;1.53
201108;3.611195301;-5.99;-3.06;-2.44;-0.31;1.931195301;1.68
201109;3.407239922;-7.59;-3.49;-1.46;-2.55;1.687239922;1.72
201110;-0.46159019;11.35;3.41;-0.17;-1.42;-2.21159019;1.75
201111;0.518374787;-0.28;-0.17;-0.34;3.99;-1.131625213;1.65
201112;2.436964826;0.74;-0.71;1.75;1.94;0.716964826;1.72
201201;6.405905021;5.05;2.15;-1.11;-7.97;4.495905021;1.91
201202;1.290464861;4.42;-1.75;0.09;-0.3;-0.689535139;1.98
201203;3.977545337;3.11;-0.6;0.87;1.5;2.017545337;1.96
201204;0.979186207;-0.85;-0.51;-0.46;3.83;-0.780813793;1.76
201205;2.462667904;-6.19;0.02;-0.62;6.6;0.532667904;1.93
201206;-3.9988022;3.89;0.77;0.44;-1.12;-6.2988022;2.3
201207;6.670990865;0.79;-2.59;-0.26;3.07;4.090990865;2.58
201208;-3.720436528;2.55;0.42;1.32;-2.49;-6.460436528;2.74
201209;3.348862687;2.73;0.51;1.54;-1.02;0.538862687;2.81
201210;4.171457658;-1.76;-1.14;3.79;0.1;1.551457658;2.62
201211;1.930767915;0.78;0.58;-0.96;0.38;-0.789232085;2.72
201212;2.329056401;1.18;1.47;3.56;-2.97;-0.570943599;2.9
201301;-2.330838007;5.57;0.39;0.95;-1.88;-5.190838007;2.86
201302;4.665047827;1.29;-0.45;0.03;1.31;1.955047827;2.71
201303;1.087636385;4.03;0.78;-0.29;1.94;-1.632363615;2.72
201304;1.176330913;1.55;-2.42;0.63;0.25;-1.533669087;2.71
201305;0.956971253;2.8;1.67;2.6;-1.8;-1.603028747;2.56
201306;4.499399269;-1.2;1.22;-0.18;0.59;1.899399269;2.6
201307;-3.056582219;5.65;1.86;0.56;1.74;-5.596582219;2.54
201308;4.472985699;-2.71;0.3;-2.78;0.05;2.052985699;2.42
201309;-5.020600882;3.77;2.93;-1.19;2.97;-7.550600882;2.53
201310;2.792673662;4.18;-1.49;1.14;0.16;0.492673662;2.3
201311;2.496931309;3.12;1.24;0.24;0.4;0.166931309;2.33
201312;0.043691622;2.81;-0.5;-0.31;0.07;-2.166308378;2.21
201401;-1.714052435;-3.32;0.86;-2.09;1.72;-3.594052435;1.88
201402;4.006726556;4.65;0.32;-0.4;2.08;2.026726556;1.98
