T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;-5.349678017;1.4;0.1;-0.11;0.21;-9.089678017;3.74
200702;-1.106818019;-1.96;1.32;-0.09;-1.35;-4.846818019;3.74
200703;-1.49627402;0.68;-0.06;-0.22;2.47;-5.00627402;3.51
200704;5.408868205;3.49;-2.06;-1.15;-0.16;1.728868205;3.68
200705;2.522946609;3.24;0.03;-0.05;-0.26;-1.357053391;3.88
200706;-9.531315825;-1.96;0.77;-1.13;0.38;-13.63131583;4.1
200707;-1.358353598;-3.73;-2.51;-3.34;2.8;-5.368353598;4.01
200708;1.265398147;0.92;-0.13;-2.24;0.11;-2.624601853;3.89
200709;-10.28015984;3.22;-2.29;-1.87;4.59;-13.97015984;3.69
200710;-23.65715;1.8;0.22;-2.59;4.96;-27.46715;3.81
200711;-9.115975911;-4.83;-2.63;-1.18;0.93;-12.64597591;3.53
200712;4.677016818;-0.87;0.2;-0.52;6.52;2.257016818;2.42
200801;-9.390095413;-6.36;-0.89;3.65;-7.89;-11.91009541;2.52
200802;-18.7926075;-3.09;-0.23;-0.95;6.14;-21.6626075;2.87
200803;12.35275154;-0.93;0.94;-0.15;4.1;9.53275154;2.82
200804;21.41991093;4.6;-1.64;-0.96;-0.2;18.48991093;2.93
200805;8.207431255;1.86;3.22;-1.38;3.21;4.917431255;3.29
200806;-0.483834607;-8.44;1.27;-2.43;12.54;-4.203834607;3.72
200807;8.92103188;-0.77;2.47;5.81;-5.15;5.36103188;3.56
200808;9.171673794;1.53;3.61;1.56;-4.05;5.581673794;3.59
200809;2.491792308;-9.24;-1.13;6.33;0.35;-0.908207692;3.4
200810;-3.260958047;-17.23;-2.34;-2.9;7.79;-6.650958047;3.39
200811;6.062613039;-7.86;-2.99;-5.94;7.11;2.662613039;3.4
200812;4.324717178;1.74;3.59;-0.24;-5.07;0.734717178;3.59
200901;-3.53227608;-8.12;-0.01;-11.1;-1.83;-7.26227608;3.73
200902;2.997738511;-10.1;0.16;-7.25;4.18;-0.692261489;3.69
200903;6.640694829;8.95;-0.08;3.52;-11.38;2.910694829;3.73
200904;2.74359497;10.19;4.83;5.46;-34.39;-1.10640503;3.85
200905;-7.619609693;5.21;-2.33;-0.21;-12.44;-11.03960969;3.42
200906;-6.041441842;0.43;2.61;-2.71;5.29;-9.241441842;3.2
200907;7.081770206;7.72;2.07;5.27;-5.36;4.071770206;3.01
200908;-4.98292943;3.33;-0.9;7.76;-8.84;-7.68292943;2.7
