T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;-4.377096266;1.4;0.1;-0.11;0.21;-8.117096266;3.74
200702;-1.589922959;-1.96;1.32;-0.09;-1.35;-5.329922959;3.74
200703;-2.924482205;0.68;-0.06;-0.22;2.47;-6.434482205;3.51
200704;6.355105752;3.49;-2.06;-1.15;-0.16;2.675105752;3.68
200705;4.069098283;3.24;0.03;-0.05;-0.26;0.189098283;3.88
200706;-8.447903266;-1.96;0.77;-1.13;0.38;-12.54790327;4.1
200707;-0.145653055;-3.73;-2.51;-3.34;2.8;-4.155653055;4.01
200708;1.045121281;0.92;-0.13;-2.24;0.11;-2.844878719;3.89
200709;-9.752391504;3.22;-2.29;-1.87;4.59;-13.4423915;3.69
200710;-20.71073567;1.8;0.22;-2.59;4.96;-24.52073567;3.81
200711;-8.822158074;-4.83;-2.63;-1.18;0.93;-12.35215807;3.53
200712;7.205848368;-0.87;0.2;-0.52;6.52;4.785848368;2.42
200801;-9.598485412;-6.36;-0.89;3.65;-7.89;-12.11848541;2.52
200802;-19.79828438;-3.09;-0.23;-0.95;6.14;-22.66828438;2.87
200803;9.378246721;-0.93;0.94;-0.15;4.1;6.558246721;2.82
200804;22.29506373;4.6;-1.64;-0.96;-0.2;19.36506373;2.93
200805;9.596382858;1.86;3.22;-1.38;3.21;6.306382858;3.29
200806;0.770624227;-8.44;1.27;-2.43;12.54;-2.949375773;3.72
200807;7.972228259;-0.77;2.47;5.81;-5.15;4.412228259;3.56
200808;5.788527554;1.53;3.61;1.56;-4.05;2.198527554;3.59
200809;2.727326639;-9.24;-1.13;6.33;0.35;-0.672673361;3.4
200810;-2.546325037;-17.23;-2.34;-2.9;7.79;-5.936325037;3.39
200811;5.723493251;-7.86;-2.99;-5.94;7.11;2.323493251;3.4
200812;2.72839603;1.74;3.59;-0.24;-5.07;-0.86160397;3.59
200901;-3.334504231;-8.12;-0.01;-11.1;-1.83;-7.064504231;3.73
200902;3.965898681;-10.1;0.16;-7.25;4.18;0.275898681;3.69
200903;5.695284287;8.95;-0.08;3.52;-11.38;1.965284287;3.73
200904;1.64986466;10.19;4.83;5.46;-34.39;-2.20013534;3.85
200905;-8.032187617;5.21;-2.33;-0.21;-12.44;-11.45218762;3.42
200906;-5.539694673;0.43;2.61;-2.71;5.29;-8.739694673;3.2
200907;7.16403735;7.72;2.07;5.27;-5.36;4.15403735;3.01
200908;-4.723741107;3.33;-0.9;7.76;-8.84;-7.423741107;2.7
200909;10.13977008;4.08;2.45;0.92;-4.93;7.48977008;2.65
200910;2.319745885;-2.59;-4.23;-4.18;2.65;-0.220254115;2.54
200911;0.472377337;5.56;-2.49;-0.17;0.29;-2.287622663;2.76
200912;6.363928675;2.75;6.11;0.01;2.91;3.073928675;3.29
201001;1.673137159;-3.36;0.38;0.31;-5.38;-1.716862841;3.39
201002;5.860316766;3.4;1.21;3.17;3.6;2.280316766;3.58
201003;0.005166498;6.31;1.43;2.1;3.66;-3.404833502;3.41
201004;3.659155592;2;4.98;2.81;3.22;0.199155592;3.46
201005;-0.205947543;-7.89;0.05;-2.38;-0.13;-3.375947543;3.17
201006;-1.047140333;-5.56;-1.98;-4.5;-3;-4.047140333;3
201007;-3.799745955;6.93;0.17;-0.26;1.88;-6.799745955;3
201008;-6.664038457;-4.77;-3;-1.96;-0.19;-8.964038457;2.3
201009;-7.749536125;9.54;3.92;-3.12;1.35;-9.729536125;1.98
201010;11.91537202;3.88;1.14;-2.59;1.64;9.76537202;2.15
