T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;-2.546819631;-6.36;-0.89;3.65;-7.89;-2.756819631;0.21
200702;-2.819239993;-3.09;-0.23;-0.95;6.14;-2.949239993;0.13
200703;-0.06835505;-0.93;0.94;-0.15;4.1;-0.23835505;0.17
200704;7.152035745;4.6;-1.64;-0.96;-0.2;6.972035745;0.18
200705;2.80974222;1.86;3.22;-1.38;3.21;2.62974222;0.18
200706;-12.30081049;-8.44;1.27;-2.43;12.54;-12.47081049;0.17
200707;-0.132813116;-0.77;2.47;5.81;-5.15;-0.282813116;0.15
200708;3.035909385;1.53;3.61;1.56;-4.05;2.905909385;0.13
200709;-8.521032727;-9.24;-1.13;6.33;0.35;-8.671032727;0.15
200710;-21.98226619;-17.23;-2.34;-2.9;7.79;-22.06226619;0.08
200711;-7.912304884;-7.86;-2.99;-5.94;7.11;-7.942304884;0.03
200712;4.039489137;1.74;3.59;-0.24;-5.07;4.039489137;0
200801;-7.048432901;-8.12;-0.01;-11.1;-1.83;-7.048432901;0
200802;-14.54677115;-10.1;0.16;-7.25;4.18;-14.55677115;0.01
200803;12.43746508;8.95;-0.08;3.52;-11.38;12.41746508;0.02
200804;20.17867766;10.19;4.83;5.46;-34.39;20.16867766;0.01
200805;4.399983927;5.21;-2.33;-0.21;-12.44;4.399983927;0
200806;-1.911423149;0.43;2.61;-2.71;5.29;-1.921423149;0.01
200807;10.67712464;7.72;2.07;5.27;-5.36;10.66712464;0.01
200808;6.505960773;3.33;-0.9;7.76;-8.84;6.495960773;0.01
200809;4.492958991;4.08;2.45;0.92;-4.93;4.482958991;0.01
200810;-4.979600454;-2.59;-4.23;-4.18;2.65;-4.979600454;0
200811;5.976980252;5.56;-2.49;-0.17;0.29;5.976980252;0
200812;5.194827428;2.75;6.11;0.01;2.91;5.184827428;0.01
200901;-3.364145631;-3.36;0.38;0.31;-5.38;-3.364145631;0
200902;3.40298465;3.4;1.21;3.17;3.6;3.40298465;0
200903;7.555712171;6.31;1.43;2.1;3.66;7.545712171;0.01
200904;5.011369399;2;4.98;2.81;3.22;5.001369399;0.01
200905;-7.061905497;-7.89;0.05;-2.38;-0.13;-7.071905497;0.01
200906;-7.321135921;-5.56;-1.98;-4.5;-3;-7.331135921;0.01
200907;7.84601707;6.93;0.17;-0.26;1.88;7.83601707;0.01
200908;-5.659933351;-4.77;-3;-1.96;-0.19;-5.669933351;0.01
200909;11.30254778;9.54;3.92;-3.12;1.35;11.29254778;0.01
200910;3.736387826;3.88;1.14;-2.59;1.64;3.726387826;0.01
200911;2.553694777;0.6;3.71;-0.9;2.53;2.543694777;0.01
200912;8.39145398;6.82;0.69;3.82;-3.19;8.38145398;0.01
201001;2.012530363;1.99;-2.46;0.83;-0.32;2.002530363;0.01
201002;5.697230978;3.49;1.52;1.08;2.03;5.687230978;0.01
201003;1.481933478;0.45;2.6;-1.57;3.51;1.471933478;0.01
201004;3.600568847;2.9;-0.35;-2.53;0.07;3.600568847;0
201005;-0.376223226;-1.27;-0.71;-2.07;-0.56;-0.376223226;0
201006;-2.354146956;-1.75;-0.17;-0.33;1.78;-2.354146956;0
201007;-2.655386139;-2.36;-1.3;-1.23;0.08;-2.655386139;0
201008;-8.637074052;-5.99;-3.06;-2.44;-0.31;-8.647074052;0.01
201009;-11.15359288;-7.59;-3.49;-1.46;-2.55;-11.15359288;0
201010;14.08744042;11.35;3.41;-0.17;-1.42;14.08744042;0
201011;-3.698714516;-0.28;-0.17;-0.34;3.99;-3.698714516;0
201012;-0.139629099;0.74;-0.71;1.75;1.94;-0.139629099;0
201101;8.576801078;5.05;2.15;-1.11;-7.97;8.576801078;0
201102;3.663048643;4.42;-1.75;0.09;-0.3;3.663048643;0
201103;1.889879015;3.11;-0.6;0.87;1.5;1.889879015;0
201104;-0.884511925;-0.85;-0.51;-0.46;3.83;-0.884511925;0
201105;-7.215371265;-6.19;0.02;-0.62;6.6;-7.225371265;0.01
201106;2.330552886;3.89;0.77;0.44;-1.12;2.330552886;0
201107;-0.225482619;0.79;-2.59;-0.26;3.07;-0.225482619;0
201108;2.592002755;2.55;0.42;1.32;-2.49;2.582002755;0.01
201109;3.705144257;2.73;0.51;1.54;-1.02;3.695144257;0.01
201110;-0.494194049;-1.76;-1.14;3.79;0.1;-0.504194049;0.01
201111;3.154797487;0.78;0.58;-0.96;0.38;3.144797487;0.01
201112;2.715536631;1.18;1.47;3.56;-2.97;2.705536631;0.01
201201;7.908165608;5.57;0.39;0.95;-1.88;7.908165608;0
201202;1.898322891;1.29;-0.45;0.03;1.31;1.898322891;0
201203;4.623261197;4.03;0.78;-0.29;1.94;4.623261197;0
201204;0.943197326;1.55;-2.42;0.63;0.25;0.943197326;0
201205;3.706071213;2.8;1.67;2.6;-1.8;3.706071213;0
201206;-1.877547792;-1.2;1.22;-0.18;0.59;-1.877547792;0
201207;6.565290919;5.65;1.86;0.56;1.74;6.565290919;0
201208;-2.475834168;-2.71;0.3;-2.78;0.05;-2.475834168;0
201209;5.655012158;3.77;2.93;-1.19;2.97;5.655012158;0
201210;3.23688512;4.18;-1.49;1.14;0.16;3.23688512;0
201211;1.380490456;3.12;1.24;0.24;0.4;1.380490456;0
201212;3.225221363;2.81;-0.5;-0.31;0.07;3.225221363;0
201301;-2.386625761;-3.32;0.86;-2.09;1.72;-2.386625761;0
201302;5.149248952;4.65;0.32;-0.4;2.08;5.149248952;0
201303;-0.858341972;0.43;-1.89;5.08;-3.3;-0.858341972;0
201304;-0.775801628;-0.19;-4.25;1.14;-3.85;-0.775801628;0
201305;1.798894008;2.06;-1.85;-0.27;1.15;1.798894008;0
201306;4.181316632;2.61;3.07;-0.74;0.68;4.181316632;0
201307;-4.259417592;-2.04;-4.24;0.01;-0.24;-4.259417592;0
201308;5.160522352;4.24;0.36;-0.58;0.82;5.160522352;0
201309;-5.150124676;-1.97;-3.83;-1.23;0.53;-5.150124676;0
201310;1.748970517;2.52;4.23;-1.68;0;1.748970517;0
201311;2.170388522;2.55;-2.09;-2.99;1.05;2.170388522;0
201312;-0.378574303;-0.06;2.54;2.06;1.06;-0.378574303;0
201401;-2.784983811;-3.11;-0.56;-3.47;3.87;-2.784983811;0
201402;6.910434651;6.13;0.48;-1.79;-2.84;6.910434651;0
201403;-1.014777405;-1.12;3.02;-0.46;2.98;-1.014777405;0
201404;-1.017136803;0.59;-2.97;1.86;-7.37;-1.017136803;0
201405;0.668503814;1.36;0.87;-1.37;6.01;0.668503814;0
201406;-0.846867687;-1.53;2.83;-0.79;3.04;-0.846867687;0
201407;-0.815066375;1.54;-4.14;-4.12;10.28;-0.815066375;0
201408;-5.728340752;-6.04;0.48;2.68;-2.07;-5.728340752;0
201409;-5.504007628;-3.08;-2.64;0.52;5.32;-5.504007628;0
201410;5.423593506;7.75;-1.97;-0.08;-3.97;5.423593506;0
201411;0.183529775;0.56;3.64;-0.52;2.28;0.183529775;0
201412;-3.942087104;-2.17;-2.82;-2.58;3.44;-3.952087104;0.01
201501;-8.645465687;-5.77;-3.36;2.1;1.37;-8.655465687;0.01
201502;1.908106731;-0.07;0.78;-0.48;-4.09;1.888106731;0.02
201503;9.235797442;6.96;0.87;1.12;-5.14;9.215797442;0.02
201504;2.852965944;0.92;0.68;3.26;-6.23;2.842965944;0.01
201505;2.332003883;1.78;-0.26;-1.81;1.94;2.322003883;0.01
201506;0.203041608;-0.05;0.65;-1.49;4.21;0.183041608;0.02
201507;6.362822984;3.95;2.65;-1.13;-3.05;6.342822984;0.02
201508;3.277998919;0.5;1.15;3.31;-3.09;3.257998919;0.02
201509;1.009723915;0.25;2.02;-1.48;-0.56;0.989723915;0.02
201510;-3.423379827;-2.02;-4.37;4.18;0.65;-3.443379827;0.02
201511;10.55432749;4.86;5.49;8.27;-4.22;10.54432749;0.01
201512;1.620212075;1.82;0.07;3.6;-0.36;1.590212075;0.03
201601;-0.028619655;1.94;-1.02;-2.78;-0.97;-0.068619655;0.04
201602;0.325810304;3.57;-2;-1.8;-1.66;0.285810304;0.04
201603;0.748702124;0.17;1.19;-3.18;-0.92;0.718702124;0.03
201604;3.122866572;1.09;0.73;-1.9;0.53;3.072866572;0.05
201605;-0.323250286;1.06;-2.55;-3.78;1.47;-0.383250286;0.06
201606;3.24556816;0.78;2.16;1.32;-0.25;3.18556816;0.06
201607;1.790911759;1.87;-1.4;-0.28;1.63;1.720911759;0.07
201608;-0.713691442;0.16;-1.69;-2.24;3.57;-0.803691442;0.09
201609;7.166538622;2.51;4.54;3.03;-1.2;7.076538622;0.09
201610;1.762861788;2.25;-1.94;-0.06;4.3;1.672861788;0.09
201611;4.441799703;3.12;-0.66;-0.05;-0.75;4.361799703;0.08
201612;-0.635940771;1.06;-1.26;0.14;-1.6;-0.725940771;0.09
2007;-39.24646559;-44.19;5.88;2.4;18.88;-40.82646559;1.58
2008;41.37775109;27.41;8.19;-2.68;-63.85;41.28775109;0.09
2009;26.39304726;17.9;12.7;-3.5;5.99;26.29304726;0.1
2010;-2.135062789;1.68;-4.89;-8.48;8.24;-2.175062789;0.04
2011;19.80820289;-15.7;0.67;-8.2;0.39;19.86820289;-0.06
2012;34.78853629;30.86;5.53;1.4;5.8;34.78853629;0
2013;6.400455051;11.48;-6.77;-1.69;1.7;6.400455051;0
2014;-8.46720582;0.88;-3.78;-10.12;20.97;-8.47720582;0.01
2015;27.28815548;13.13;6.37;19.45;-18.57;27.07815548;0.21
2016;20.90355688;19.58;-3.9;-11.58;4.15;20.11355688;0.79
