T-1;DMR;MRP;SMB;HML;MOM;DMRR;RF
200701;-4.491578483;-6.36;-0.89;3.65;-7.89;-4.701578483;0.21
200702;-1.384815978;-3.09;-0.23;-0.95;6.14;-1.514815978;0.13
200703;0.574305299;-0.93;0.94;-0.15;4.1;0.404305299;0.17
200704;5.124194896;4.6;-1.64;-0.96;-0.2;4.944194896;0.18
200705;3.661308422;1.86;3.22;-1.38;3.21;3.481308422;0.18
200706;-10.53574322;-8.44;1.27;-2.43;12.54;-10.70574322;0.17
200707;3.523999009;-0.77;2.47;5.81;-5.15;3.373999009;0.15
200708;3.699407201;1.53;3.61;1.56;-4.05;3.569407201;0.13
200709;-7.54761938;-9.24;-1.13;6.33;0.35;-7.69761938;0.15
200710;-20.73328375;-17.23;-2.34;-2.9;7.79;-20.81328375;0.08
200711;-8.179012879;-7.86;-2.99;-5.94;7.11;-8.209012879;0.03
200712;7.37347307;1.74;3.59;-0.24;-5.07;7.37347307;0
200801;-8.348418189;-8.12;-0.01;-11.1;-1.83;-8.348418189;0
200802;-17.55791634;-10.1;0.16;-7.25;4.18;-17.56791634;0.01
200803;11.7261007;8.95;-0.08;3.52;-11.38;11.7061007;0.02
200804;18.85685424;10.19;4.83;5.46;-34.39;18.84685424;0.01
200805;7.555691172;5.21;-2.33;-0.21;-12.44;7.555691172;0
200806;0.104030393;0.43;2.61;-2.71;5.29;0.094030393;0.01
200807;8.284841026;7.72;2.07;5.27;-5.36;8.274841026;0.01
200808;4.766814429;3.33;-0.9;7.76;-8.84;4.756814429;0.01
200809;3.171585039;4.08;2.45;0.92;-4.93;3.161585039;0.01
200810;-1.984251899;-2.59;-4.23;-4.18;2.65;-1.984251899;0
200811;5.989301955;5.56;-2.49;-0.17;0.29;5.989301955;0
200812;3.301050608;2.75;6.11;0.01;2.91;3.291050608;0.01
200901;-3.768777189;-3.36;0.38;0.31;-5.38;-3.768777189;0
200902;2.604987857;3.4;1.21;3.17;3.6;2.604987857;0
200903;6.703356551;6.31;1.43;2.1;3.66;6.693356551;0.01
200904;2.368166501;2;4.98;2.81;3.22;2.358166501;0.01
200905;-7.850823042;-7.89;0.05;-2.38;-0.13;-7.860823042;0.01
200906;-5.724397554;-5.56;-1.98;-4.5;-3;-5.734397554;0.01
200907;7.513188397;6.93;0.17;-0.26;1.88;7.503188397;0.01
200908;-4.636981785;-4.77;-3;-1.96;-0.19;-4.646981785;0.01
200909;9.932145996;9.54;3.92;-3.12;1.35;9.922145996;0.01
200910;3.047119303;3.88;1.14;-2.59;1.64;3.037119303;0.01
200911;0.692887342;0.6;3.71;-0.9;2.53;0.682887342;0.01
200912;7.238118163;6.82;0.69;3.82;-3.19;7.228118163;0.01
201001;2.389882342;1.99;-2.46;0.83;-0.32;2.379882342;0.01
201002;4.444427508;3.49;1.52;1.08;2.03;4.434427508;0.01
201003;0.616418773;0.45;2.6;-1.57;3.51;0.606418773;0.01
201004;2.842991836;2.9;-0.35;-2.53;0.07;2.842991836;0
201005;-0.898347837;-1.27;-0.71;-2.07;-0.56;-0.898347837;0
201006;-1.088895109;-1.75;-0.17;-0.33;1.78;-1.088895109;0
201007;-3.978476799;-2.36;-1.3;-1.23;0.08;-3.978476799;0
201008;-6.164379378;-5.99;-3.06;-2.44;-0.31;-6.174379378;0.01
201009;-7.244243121;-7.59;-3.49;-1.46;-2.55;-7.244243121;0
201010;12.12694652;11.35;3.41;-0.17;-1.42;12.12694652;0
201011;-2.679525984;-0.28;-0.17;-0.34;3.99;-2.679525984;0
201012;-0.061815426;0.74;-0.71;1.75;1.94;-0.061815426;0
201101;7.00996492;5.05;2.15;-1.11;-7.97;7.00996492;0
201102;4.23467266;4.42;-1.75;0.09;-0.3;4.23467266;0
201103;2.582866595;3.11;-0.6;0.87;1.5;2.582866595;0
201104;-1.687340852;-0.85;-0.51;-0.46;3.83;-1.687340852;0
201105;-7.141042688;-6.19;0.02;-0.62;6.6;-7.151042688;0.01
201106;3.613181082;3.89;0.77;0.44;-1.12;3.613181082;0
201107;0.037323508;0.79;-2.59;-0.26;3.07;0.037323508;0
201108;3.210689105;2.55;0.42;1.32;-2.49;3.200689105;0.01
201109;3.134490958;2.73;0.51;1.54;-1.02;3.124490958;0.01
201110;-0.236164348;-1.76;-1.14;3.79;0.1;-0.246164348;0.01
201111;2.060581877;0.78;0.58;-0.96;0.38;2.050581877;0.01
201112;2.474251947;1.18;1.47;3.56;-2.97;2.464251947;0.01
201201;6.940683564;5.57;0.39;0.95;-1.88;6.940683564;0
201202;1.513298736;1.29;-0.45;0.03;1.31;1.513298736;0
201203;4.450931851;4.03;0.78;-0.29;1.94;4.450931851;0
201204;0.967966119;1.55;-2.42;0.63;0.25;0.967966119;0
201205;2.68358385;2.8;1.67;2.6;-1.8;2.68358385;0
201206;-3.218466483;-1.2;1.22;-0.18;0.59;-3.218466483;0
201207;5.352571939;5.65;1.86;0.56;1.74;5.352571939;0
201208;-3.271013182;-2.71;0.3;-2.78;0.05;-3.271013182;0
201209;3.708105545;3.77;2.93;-1.19;2.97;3.708105545;0
201210;4.545802455;4.18;-1.49;1.14;0.16;4.545802455;0
201211;2.935062021;3.12;1.24;0.24;0.4;2.935062021;0
201212;2.402404659;2.81;-0.5;-0.31;0.07;2.402404659;0
201301;-2.88998472;-3.32;0.86;-2.09;1.72;-2.88998472;0
201302;4.4419279;4.65;0.32;-0.4;2.08;4.4419279;0
201303;1.355016601;0.43;-1.89;5.08;-3.3;1.355016601;0
201304;1.008505746;-0.19;-4.25;1.14;-3.85;1.008505746;0
201305;2.226775022;2.06;-1.85;-0.27;1.15;2.226775022;0
201306;2.64476631;2.61;3.07;-0.74;0.68;2.64476631;0
201307;-2.499890102;-2.04;-4.24;0.01;-0.24;-2.499890102;0
201308;4.524883146;4.24;0.36;-0.58;0.82;4.524883146;0
201309;-2.755892429;-1.97;-3.83;-1.23;0.53;-2.755892429;0
201310;2.307323416;2.52;4.23;-1.68;0;2.307323416;0
201311;4.809361435;2.55;-2.09;-2.99;1.05;4.809361435;0
201312;0.998957218;-0.06;2.54;2.06;1.06;0.998957218;0
201401;-2.327292192;-3.11;-0.56;-3.47;3.87;-2.327292192;0
201402;4.879761748;6.13;0.48;-1.79;-2.84;4.879761748;0
201403;-0.819862999;-1.12;3.02;-0.46;2.98;-0.819862999;0
201404;-0.27836014;0.59;-2.97;1.86;-7.37;-0.27836014;0
201405;1.044702393;1.36;0.87;-1.37;6.01;1.044702393;0
201406;-2.27134405;-1.53;2.83;-0.79;3.04;-2.27134405;0
201407;-0.136612371;1.54;-4.14;-4.12;10.28;-0.136612371;0
201408;-5.037856188;-6.04;0.48;2.68;-2.07;-5.037856188;0
201409;-4.360144916;-3.08;-2.64;0.52;5.32;-4.360144916;0
201410;8.491011008;7.75;-1.97;-0.08;-3.97;8.491011008;0
201411;-0.392897364;0.56;3.64;-0.52;2.28;-0.392897364;0
201412;-2.687165951;-2.17;-2.82;-2.58;3.44;-2.697165951;0.01
201501;-5.414836026;-5.77;-3.36;2.1;1.37;-5.424836026;0.01
201502;1.092952493;-0.07;0.78;-0.48;-4.09;1.072952493;0.02
201503;9.963027088;6.96;0.87;1.12;-5.14;9.943027088;0.02
201504;3.391768823;0.92;0.68;3.26;-6.23;3.381768823;0.01
201505;1.102128681;1.78;-0.26;-1.81;1.94;1.092128681;0.01
201506;0.953230874;-0.05;0.65;-1.49;4.21;0.933230874;0.02
201507;4.783639311;3.95;2.65;-1.13;-3.05;4.763639311;0.02
201508;0.084614018;0.5;1.15;3.31;-3.09;0.064614018;0.02
201509;-0.155872557;0.25;2.02;-1.48;-0.56;-0.175872557;0.02
201510;-2.482248249;-2.02;-4.37;4.18;0.65;-2.502248249;0.02
201511;6.23545642;4.86;5.49;8.27;-4.22;6.22545642;0.01
201512;1.749654395;1.82;0.07;3.6;-0.36;1.719654395;0.03
201601;2.038861026;1.94;-1.02;-2.78;-0.97;1.998861026;0.04
201602;2.504718122;3.57;-2;-1.8;-1.66;2.464718122;0.04
201603;-0.715241308;0.17;1.19;-3.18;-0.92;-0.745241308;0.03
201604;0.761884363;1.09;0.73;-1.9;0.53;0.711884363;0.05
201605;0.53991664;1.06;-2.55;-3.78;1.47;0.47991664;0.06
201606;1.553364108;0.78;2.16;1.32;-0.25;1.493364108;0.06
201607;1.710126091;1.87;-1.4;-0.28;1.63;1.640126091;0.07
201608;-0.452001247;0.16;-1.69;-2.24;3.57;-0.542001247;0.09
201609;4.850894448;2.51;4.54;3.03;-1.2;4.760894448;0.09
201610;0.713241658;2.25;-1.94;-0.06;4.3;0.623241658;0.09
201611;3.944828009;3.12;-0.66;-0.05;-0.75;3.864828009;0.08
201612;1.862867052;1.06;-1.26;0.14;-1.6;1.772867052;0.09
2007;-28.91536579;-44.19;5.88;2.4;18.88;-30.49536579;1.58
2008;35.86568313;27.41;8.19;-2.68;-63.85;35.77568313;0.09
2009;18.11899054;17.9;12.7;-3.5;5.99;18.01899054;0.1
2010;0.304983325;1.68;-4.89;-8.48;8.24;0.264983325;0.04
2011;19.29347476;-15.7;0.67;-8.2;0.39;19.35347476;-0.06
2012;29.01093107;30.86;5.53;1.4;5.8;29.01093107;0
2013;16.17174954;11.48;-6.77;-1.69;1.7;16.17174954;0
2014;-3.896061022;0.88;-3.78;-10.12;20.97;-3.906061022;0.01
2015;21.30351527;13.13;6.37;19.45;-18.57;21.09351527;0.21
2016;19.31345896;19.58;-3.9;-11.58;4.15;18.52345896;0.79
