T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
200701;-6.36;-0.89;3.65;-7.89;-5.367488786;-0.84635808;-4.521130706;0.21
200702;-3.09;-0.23;-0.95;6.14;-2.704579694;-3.445445301;0.740865607;0.13
200703;-0.93;0.94;-0.15;4.1;-1.338149555;-0.841173395;-0.49697616;0.17
200704;4.6;-1.64;-0.96;-0.2;6.561883148;6.025246258;0.53663689;0.18
200705;1.86;3.22;-1.38;3.21;1.597032497;1.768346698;-0.171314201;0.18
200706;-8.44;1.27;-2.43;12.54;-10.1819135;-15.84524173;5.66332823;0.17
200707;-0.77;2.47;5.81;-5.15;-0.329340605;0.571033081;-0.900373686;0.15
200708;1.53;3.61;1.56;-4.05;2.129118806;6.282319239;-4.153200433;0.13
200709;-9.24;-1.13;6.33;0.35;-8.929051615;-5.225359376;-3.703692239;0.15
200710;-17.23;-2.34;-2.9;7.79;-20.06673253;-20.5006318;0.43389927;0.08
200711;-7.86;-2.99;-5.94;7.11;-7.984277497;-5.925264402;-2.059013095;0.03
200712;1.74;3.59;-0.24;-5.07;2.154432441;4.156722185;-2.002289744;0
200801;-8.12;-0.01;-11.1;-1.83;-9.283512771;-11.4904031;2.206890329;0
200802;-10.1;0.16;-7.25;4.18;-19.42428981;-16.48801484;-2.93627497;0.01
200803;8.95;-0.08;3.52;-11.38;13.40295475;11.56940226;1.83355249;0.02
200804;10.19;4.83;5.46;-34.39;22.72748772;20.24501755;2.48247017;0.01
200805;5.21;-2.33;-0.21;-12.44;8.716124975;3.786343784;4.929781191;0
200806;0.43;2.61;-2.71;5.29;-0.494869466;-1.723186158;1.228316692;0.01
200807;7.72;2.07;5.27;-5.36;8.726631145;10.36463756;-1.638006415;0.01
200808;3.33;-0.9;7.76;-8.84;8.095815309;5.001073763;3.094741546;0.01
200809;4.08;2.45;0.92;-4.93;2.997142537;4.230771527;-1.23362899;0.01
200810;-2.59;-4.23;-4.18;2.65;-3.303070725;-5.117394263;1.814323538;0
200811;5.56;-2.49;-0.17;0.29;5.01895268;5.089692159;-0.070739479;0
200812;2.75;6.11;0.01;2.91;4.726869825;6.456345815;-1.72947599;0.01
200901;-3.36;0.38;0.31;-5.38;-3.48692189;-2.62352931;-0.86339258;0
200902;3.4;1.21;3.17;3.6;3.140743308;3.093785119;0.046958189;0
200903;6.31;1.43;2.1;3.66;7.118592234;7.384846862;-0.266254628;0.01
200904;2;4.98;2.81;3.22;2.31617436;5.503019032;-3.186844672;0.01
200905;-7.89;0.05;-2.38;-0.13;-7.883810668;-6.31416711;-1.569643558;0.01
200906;-5.56;-1.98;-4.5;-3;-6.760785383;-7.0592895;0.298504117;0.01
200907;6.93;0.17;-0.26;1.88;7.653925718;6.949436052;0.704489666;0.01
200908;-4.77;-3;-1.96;-0.19;-5.324811775;-6.111261914;0.786450139;0.01
200909;9.54;3.92;-3.12;1.35;10.0598829;10.84811126;-0.78822836;0.01
200910;3.88;1.14;-2.59;1.64;3.24876747;2.431646039;0.817121431;0.01
200911;0.6;3.71;-0.9;2.53;0.65144401;2.209899056;-1.558455046;0.01
200912;6.82;0.69;3.82;-3.19;7.860604399;9.601043013;-1.740438614;0.01
201001;1.99;-2.46;0.83;-0.32;3.159718562;2.501748762;0.6579698;0.01
201002;3.49;1.52;1.08;2.03;5.157969924;5.884932902;-0.726962978;0.01
201003;0.45;2.6;-1.57;3.51;0.441127433;1.847234747;-1.406107314;0.01
201004;2.9;-0.35;-2.53;0.07;2.402599856;3.199971194;-0.797371338;0
201005;-1.27;-0.71;-2.07;-0.56;-1.392926211;-1.008619297;-0.384306914;0
201006;-1.75;-0.17;-0.33;1.78;-1.330944425;-2.065409276;0.734464851;0
201007;-2.36;-1.3;-1.23;0.08;-4.213465383;-3.869685918;-0.343779465;0
201008;-5.99;-3.06;-2.44;-0.31;-7.503863081;-6.725763279;-0.778099802;0.01
201009;-7.59;-3.49;-1.46;-2.55;-8.836227407;-10.44309545;1.606868043;0
201010;11.35;3.41;-0.17;-1.42;14.44033179;13.95037526;0.48995653;0
201011;-0.28;-0.17;-0.34;3.99;-3.330399347;-3.603609333;0.273209986;0
