T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
200701;-6.36;-0.89;3.65;-7.89;-4.8415133;0.604283526;-5.445796826;0.21
200702;-3.09;-0.23;-0.95;6.14;-2.220081357;-8.576626189;6.356544832;0.13
200703;-0.93;0.94;-0.15;4.1;-2.233195915;-2.114597792;-0.118598123;0.17
200704;4.6;-1.64;-0.96;-0.2;5.128593952;2.869854189;2.258739763;0.18
200705;1.86;3.22;-1.38;3.21;1.651884142;0.689859563;0.962024579;0.18
200706;-8.44;1.27;-2.43;12.54;-8.287738161;-17.84097205;9.553233889;0.17
200707;-0.77;2.47;5.81;-5.15;0.365929281;0.217348978;0.148580303;0.15
200708;1.53;3.61;1.56;-4.05;-0.028875982;6.593764084;-6.622640066;0.13
200709;-9.24;-1.13;6.33;0.35;-7.22506563;-1.147820502;-6.077245128;0.15
200710;-17.23;-2.34;-2.9;7.79;-18.88607758;-24.29727881;5.41120123;0.08
200711;-7.86;-2.99;-5.94;7.11;-7.202954055;-4.376536538;-2.826417517;0.03
200712;1.74;3.59;-0.24;-5.07;3.87809041;6.951926948;-3.073836538;0
200801;-8.12;-0.01;-11.1;-1.83;-9.690591357;-6.212841978;-3.477749379;0
200802;-10.1;0.16;-7.25;4.18;-21.17220361;-12.68902149;-8.48318212;0.01
200803;8.95;-0.08;3.52;-11.38;11.65925628;15.78529288;-4.1260366;0.02
200804;10.19;4.83;5.46;-34.39;27.30834377;13.15764803;14.15069574;0.01
200805;5.21;-2.33;-0.21;-12.44;12.00818496;4.920421877;7.087763083;0
200806;0.43;2.61;-2.71;5.29;0.50488337;-2.86285016;3.36773353;0.01
200807;7.72;2.07;5.27;-5.36;8.599733179;10.19223258;-1.592499401;0.01
200808;3.33;-0.9;7.76;-8.84;6.026700136;3.021988623;3.004711513;0.01
200809;4.08;2.45;0.92;-4.93;4.045404402;4.99996648;-0.954562078;0.01
200810;-2.59;-4.23;-4.18;2.65;-1.99589191;-5.162440955;3.166549045;0
200811;5.56;-2.49;-0.17;0.29;5.602019115;6.758342661;-1.156323546;0
200812;2.75;6.11;0.01;2.91;3.231969546;7.07878621;-3.846816664;0.01
200901;-3.36;0.38;0.31;-5.38;-3.459627859;-3.431306468;-0.028321391;0
200902;3.4;1.21;3.17;3.6;4.260156656;3.860500354;0.399656302;0
200903;6.31;1.43;2.1;3.66;6.242970476;6.609328155;-0.366357679;0.01
200904;2;4.98;2.81;3.22;1.428870642;3.101150935;-1.672280293;0.01
200905;-7.89;0.05;-2.38;-0.13;-6.825987504;-6.095115522;-0.730871982;0.01
200906;-5.56;-1.98;-4.5;-3;-6.298867721;-7.786914944;1.488047223;0.01
200907;6.93;0.17;-0.26;1.88;8.250358526;8.412930506;-0.16257198;0.01
200908;-4.77;-3;-1.96;-0.19;-4.992506038;-7.077095491;2.084589453;0.01
200909;9.54;3.92;-3.12;1.35;9.903589397;11.73472731;-1.831137913;0.01
200910;3.88;1.14;-2.59;1.64;3.474762087;2.741283718;0.733478369;0.01
200911;0.6;3.71;-0.9;2.53;0.393378456;2.949128433;-2.555749977;0.01
200912;6.82;0.69;3.82;-3.19;6.743996094;9.002077125;-2.258081031;0.01
201001;1.99;-2.46;0.83;-0.32;3.332931301;0.879738172;2.453193129;0.01
201002;3.49;1.52;1.08;2.03;5.643390041;4.93844998;0.704940061;0.01
201003;0.45;2.6;-1.57;3.51;0.287810835;1.861337936;-1.573527101;0.01
201004;2.9;-0.35;-2.53;0.07;3.313973318;3.405456993;-0.091483675;0
201005;-1.27;-0.71;-2.07;-0.56;-0.446522264;-1.006090193;0.559567929;0
201006;-1.75;-0.17;-0.33;1.78;-1.949048308;-1.927878563;-0.021169745;0
201007;-2.36;-1.3;-1.23;0.08;-4.911309635;-4.062281879;-0.849027756;0
201008;-5.99;-3.06;-2.44;-0.31;-7.304306089;-6.664012872;-0.640293217;0.01
201009;-7.59;-3.49;-1.46;-2.55;-7.257863248;-9.571416942;2.313553694;0
201010;11.35;3.41;-0.17;-1.42;11.43010433;12.51776222;-1.08765789;0
201011;-0.28;-0.17;-0.34;3.99;-3.819992503;-2.24590066;-1.574091843;0
201012;0.74;-0.71;1.75;1.94;-0.00407795;1.543619273;-1.547697223;0
201101;5.05;2.15;-1.11;-7.97;4.613507032;10.24533851;-5.631831478;0
201102;4.42;-1.75;0.09;-0.3;3.957555326;3.354088929;0.603466397;0
201103;3.11;-0.6;0.87;1.5;3.166287843;0.752416732;2.413871111;0
201104;-0.85;-0.51;-0.46;3.83;-1.000181458;-0.425090126;-0.575091332;0
201105;-6.19;0.02;-0.62;6.6;-6.836281095;-7.165096165;0.32881507;0.01
201106;3.89;0.77;0.44;-1.12;4.7280803;2.200764145;2.527316155;0
201107;0.79;-2.59;-0.26;3.07;-0.043111661;-1.140813942;1.097702281;0
201108;2.55;0.42;1.32;-2.49;2.566902444;2.701039308;-0.134136864;0.01
201109;2.73;0.51;1.54;-1.02;3.582234481;3.069332966;0.512901515;0.01
201110;-1.76;-1.14;3.79;0.1;-0.589063859;0.387066125;-0.976129984;0.01
201111;0.78;0.58;-0.96;0.38;1.929088866;3.863029696;-1.93394083;0.01
201112;1.18;1.47;3.56;-2.97;2.618153514;2.129667911;0.488485603;0.01
201201;5.57;0.39;0.95;-1.88;6.881762834;9.434026868;-2.552264034;0
201202;1.29;-0.45;0.03;1.31;0.294398239;1.613985681;-1.319587442;0
201203;4.03;0.78;-0.29;1.94;3.932372039;4.279950311;-0.347578272;0
201204;1.55;-2.42;0.63;0.25;2.028288344;2.910363858;-0.882075514;0
201205;2.8;1.67;2.6;-1.8;2.659516761;2.103466567;0.556050194;0
201206;-1.2;1.22;-0.18;0.59;-3.205217786;-1.74341232;-1.461805466;0
201207;5.65;1.86;0.56;1.74;6.731095471;6.278041547;0.453053924;0
201208;-2.71;0.3;-2.78;0.05;-2.410126096;-1.851023918;-0.559102178;0
201209;3.77;2.93;-1.19;2.97;3.310439643;6.285093388;-2.974653745;0
201210;4.18;-1.49;1.14;0.16;4.228627692;3.955353627;0.273274065;0
201211;3.12;1.24;0.24;0.4;2.887427771;1.758113098;1.129314673;0
201212;2.81;-0.5;-0.31;0.07;3.229029847;1.89150521;1.337524637;0
201301;-3.32;0.86;-2.09;1.72;-2.830423076;-2.661450661;-0.168972415;0
201302;4.65;0.32;-0.4;2.08;5.262385531;2.391877562;2.870507969;0
201303;0.43;-1.89;5.08;-3.3;1.231237289;-0.043988489;1.275225778;0
201304;-0.19;-4.25;1.14;-3.85;1.230238356;-0.723886071;1.954124427;0
201305;2.06;-1.85;-0.27;1.15;2.471216104;1.239992124;1.23122398;0
201306;2.61;3.07;-0.74;0.68;3.395639134;2.997897714;0.39774142;0
201307;-2.04;-4.24;0.01;-0.24;-1.56045215;-5.412375418;3.851923268;0
201308;4.24;0.36;-0.58;0.82;4.425394373;4.937948632;-0.512554259;0
201309;-1.97;-3.83;-1.23;0.53;-3.56174807;-3.549621752;-0.012126318;0
201310;2.52;4.23;-1.68;0;2.638609532;1.188822193;1.449787339;0
201311;2.55;-2.09;-2.99;1.05;3.114824085;1.679507279;1.435316806;0
201312;-0.06;2.54;2.06;1.06;0.207044459;0.850654404;-0.643609945;0
