T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
200701;-6.36;-0.89;3.65;-7.89;-5.533236113;-3.733487608;-1.799748505;0.21
200702;-3.09;-0.23;-0.95;6.14;-1.719751311;-3.385869316;1.666118005;0.13
200703;-0.93;0.94;-0.15;4.1;-2.22231122;-0.37272822;-1.849583;0.17
200704;4.6;-1.64;-0.96;-0.2;6.45315419;6.464879114;-0.011724924;0.18
200705;1.86;3.22;-1.38;3.21;0.500156107;2.490461789;-1.990305682;0.18
200706;-8.44;1.27;-2.43;12.54;-9.300072147;-13.56226407;4.262191923;0.17
200707;-0.77;2.47;5.81;-5.15;-1.598637697;-1.573128571;-0.025509126;0.15
200708;1.53;3.61;1.56;-4.05;1.322838156;1.952668802;-0.629830646;0.13
200709;-9.24;-1.13;6.33;0.35;-7.884371801;-10.29177366;2.407401859;0.15
200710;-17.23;-2.34;-2.9;7.79;-22.0847786;-21.90738784;-0.17739076;0.08
200711;-7.86;-2.99;-5.94;7.11;-7.322089002;-1.270156048;-6.051932954;0.03
200712;1.74;3.59;-0.24;-5.07;0.856179061;3.494203865;-2.638024804;0
200801;-8.12;-0.01;-11.1;-1.83;-10.68375766;-8.76429373;-1.91946393;0
200802;-10.1;0.16;-7.25;4.18;-18.47896354;-15.56546689;-2.91349665;0.01
200803;8.95;-0.08;3.52;-11.38;13.55489456;10.31349915;3.24139541;0.02
200804;10.19;4.83;5.46;-34.39;22.42643579;17.25721537;5.16922042;0.01
200805;5.21;-2.33;-0.21;-12.44;10.24325524;3.354764818;6.888490422;0
200806;0.43;2.61;-2.71;5.29;-0.502422302;-0.827585698;0.325163396;0.01
200807;7.72;2.07;5.27;-5.36;7.613255565;10.29013416;-2.676878595;0.01
200808;3.33;-0.9;7.76;-8.84;8.625306303;3.677719521;4.947586782;0.01
200809;4.08;2.45;0.92;-4.93;2.199138728;3.143813826;-0.944675098;0.01
200810;-2.59;-4.23;-4.18;2.65;-3.120325031;-4.293529785;1.173204754;0
200811;5.56;-2.49;-0.17;0.29;5.630059501;7.320614618;-1.690555117;0
200812;2.75;6.11;0.01;2.91;3.96195145;7.130788514;-3.168837064;0.01
200901;-3.36;0.38;0.31;-5.38;-2.745068337;-3.558141851;0.813073514;0
200902;3.4;1.21;3.17;3.6;2.423289053;4.065049976;-1.641760923;0
200903;6.31;1.43;2.1;3.66;6.127601731;6.537286999;-0.409685268;0.01
200904;2;4.98;2.81;3.22;2.937023464;6.340786143;-3.403762679;0.01
200905;-7.89;0.05;-2.38;-0.13;-7.47983929;-5.717757771;-1.762081519;0.01
200906;-5.56;-1.98;-4.5;-3;-6.448782675;-7.698172062;1.249389387;0.01
200907;6.93;0.17;-0.26;1.88;7.761096662;7.326354858;0.434741804;0.01
200908;-4.77;-3;-1.96;-0.19;-5.384894845;-5.521996835;0.13710199;0.01
200909;9.54;3.92;-3.12;1.35;9.789527465;9.838924956;-0.049397491;0.01
200910;3.88;1.14;-2.59;1.64;2.658914314;3.734967373;-1.076053059;0.01
200911;0.6;3.71;-0.9;2.53;1.597647313;4.440580278;-2.842932965;0.01
200912;6.82;0.69;3.82;-3.19;7.761247984;9.683517761;-1.922269777;0.01
201001;1.99;-2.46;0.83;-0.32;2.421419898;4.006789989;-1.585370091;0.01
201002;3.49;1.52;1.08;2.03;5.336848036;6.858343675;-1.521495639;0.01
201003;0.45;2.6;-1.57;3.51;0.775771804;1.9228675;-1.147095696;0.01
201004;2.9;-0.35;-2.53;0.07;2.11058771;3.340026906;-1.229439196;0
201005;-1.27;-0.71;-2.07;-0.56;-1.008227103;-1.541358338;0.533131235;0
201006;-1.75;-0.17;-0.33;1.78;-1.277997437;-2.382034016;1.104036579;0
201007;-2.36;-1.3;-1.23;0.08;-3.923926478;-3.064372344;-0.859554134;0
201008;-5.99;-3.06;-2.44;-0.31;-8.155507294;-7.588118081;-0.567389213;0.01
201009;-7.59;-3.49;-1.46;-2.55;-9.572169157;-14.08601791;4.513848753;0
201010;11.35;3.41;-0.17;-1.42;14.59308968;13.31104555;1.28204413;0
201011;-0.28;-0.17;-0.34;3.99;-3.794353022;-4.030333957;0.235980935;0
201012;0.74;-0.71;1.75;1.94;-0.002325104;0.954489003;-0.956814107;0
201101;5.05;2.15;-1.11;-7.97;6.948593309;10.23340253;-3.284809221;0
201102;4.42;-1.75;0.09;-0.3;3.984247184;3.16113059;0.823116594;0
201103;3.11;-0.6;0.87;1.5;2.626662336;0.795711168;1.830951168;0
201104;-0.85;-0.51;-0.46;3.83;-1.324350717;0.800802784;-2.125153501;0
201105;-6.19;0.02;-0.62;6.6;-7.918979693;-6.919369162;-0.999610531;0.01
201106;3.89;0.77;0.44;-1.12;3.362946707;2.576689804;0.786256903;0
201107;0.79;-2.59;-0.26;3.07;0.189506773;-1.719083253;1.908590026;0
201108;2.55;0.42;1.32;-2.49;3.674691797;1.538563544;2.136128253;0.01
201109;2.73;0.51;1.54;-1.02;3.56217505;4.999755644;-1.437580594;0.01
201110;-1.76;-1.14;3.79;0.1;-0.820774929;0.394027443;-1.214802372;0.01
201111;0.78;0.58;-0.96;0.38;2.022972337;3.299920567;-1.27694823;0.01
201112;1.18;1.47;3.56;-2.97;2.729676409;2.424809559;0.30486685;0.01
201201;5.57;0.39;0.95;-1.88;7.827861591;7.787872277;0.039989314;0
201202;1.29;-0.45;0.03;1.31;1.030194447;0.83755948;0.192634967;0
201203;4.03;0.78;-0.29;1.94;4.419000306;3.728080862;0.690919444;0
201204;1.55;-2.42;0.63;0.25;1.134502758;0.339918037;0.794584721;0
201205;2.8;1.67;2.6;-1.8;2.866179963;2.041579822;0.824600141;0
201206;-1.2;1.22;-0.18;0.59;-3.306697237;-3.481592554;0.174895317;0
201207;5.65;1.86;0.56;1.74;6.007622857;7.403622352;-1.395999495;0
201208;-2.71;0.3;-2.78;0.05;-3.030768485;-3.362121606;0.331353121;0
201209;3.77;2.93;-1.19;2.97;3.544180904;5.069865005;-1.525684101;0
201210;4.18;-1.49;1.14;0.16;4.88147977;6.033170587;-1.151690817;0
201211;3.12;1.24;0.24;0.4;2.90245363;0.615126046;2.287327584;0
201212;2.81;-0.5;-0.31;0.07;2.412883854;2.342914058;0.069969796;0
201301;-3.32;0.86;-2.09;1.72;-2.974340779;-1.850662152;-1.123678627;0
