T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
200701;-6.36;-0.89;3.65;-7.89;-4.701578483;-2.756819631;-1.944758852;0.21
200702;-3.09;-0.23;-0.95;6.14;-1.514815978;-2.949239993;1.434424015;0.13
200703;-0.93;0.94;-0.15;4.1;0.404305299;-0.23835505;0.642660349;0.17
200704;4.6;-1.64;-0.96;-0.2;4.944194896;6.972035745;-2.027840849;0.18
200705;1.86;3.22;-1.38;3.21;3.481308422;2.62974222;0.851566202;0.18
200706;-8.44;1.27;-2.43;12.54;-10.70574322;-12.47081049;1.76506727;0.17
200707;-0.77;2.47;5.81;-5.15;3.373999009;-0.282813116;3.656812125;0.15
200708;1.53;3.61;1.56;-4.05;3.569407201;2.905909385;0.663497816;0.13
200709;-9.24;-1.13;6.33;0.35;-7.69761938;-8.671032727;0.973413347;0.15
200710;-17.23;-2.34;-2.9;7.79;-20.81328375;-22.06226619;1.24898244;0.08
200711;-7.86;-2.99;-5.94;7.11;-8.209012879;-7.942304884;-0.266707995;0.03
200712;1.74;3.59;-0.24;-5.07;7.37347307;4.039489137;3.333983933;0
200801;-8.12;-0.01;-11.1;-1.83;-8.348418189;-7.048432901;-1.299985288;0
200802;-10.1;0.16;-7.25;4.18;-17.56791634;-14.55677115;-3.01114519;0.01
200803;8.95;-0.08;3.52;-11.38;11.7061007;12.41746508;-0.71136438;0.02
200804;10.19;4.83;5.46;-34.39;18.84685424;20.16867766;-1.32182342;0.01
200805;5.21;-2.33;-0.21;-12.44;7.555691172;4.399983927;3.155707245;0
200806;0.43;2.61;-2.71;5.29;0.094030393;-1.921423149;2.015453542;0.01
200807;7.72;2.07;5.27;-5.36;8.274841026;10.66712464;-2.392283614;0.01
200808;3.33;-0.9;7.76;-8.84;4.756814429;6.495960773;-1.739146344;0.01
200809;4.08;2.45;0.92;-4.93;3.161585039;4.482958991;-1.321373952;0.01
200810;-2.59;-4.23;-4.18;2.65;-1.984251899;-4.979600454;2.995348555;0
200811;5.56;-2.49;-0.17;0.29;5.989301955;5.976980252;0.012321703;0
200812;2.75;6.11;0.01;2.91;3.291050608;5.184827428;-1.89377682;0.01
200901;-3.36;0.38;0.31;-5.38;-3.768777189;-3.364145631;-0.404631558;0
200902;3.4;1.21;3.17;3.6;2.604987857;3.40298465;-0.797996793;0
200903;6.31;1.43;2.1;3.66;6.693356551;7.545712171;-0.85235562;0.01
200904;2;4.98;2.81;3.22;2.358166501;5.001369399;-2.643202898;0.01
200905;-7.89;0.05;-2.38;-0.13;-7.860823042;-7.071905497;-0.788917545;0.01
200906;-5.56;-1.98;-4.5;-3;-5.734397554;-7.331135921;1.596738367;0.01
200907;6.93;0.17;-0.26;1.88;7.503188397;7.83601707;-0.332828673;0.01
200908;-4.77;-3;-1.96;-0.19;-4.646981785;-5.669933351;1.022951566;0.01
200909;9.54;3.92;-3.12;1.35;9.922145996;11.29254778;-1.370401784;0.01
200910;3.88;1.14;-2.59;1.64;3.037119303;3.726387826;-0.689268523;0.01
