T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
200701;-6.36;-0.89;3.65;-7.89;-4.642769587;-4.129334489;-0.513435098;0.21
200702;-3.09;-0.23;-0.95;6.14;-0.55456491;-1.861720105;1.307155195;0.13
200703;-0.93;0.94;-0.15;4.1;-0.322873497;-1.13011651;0.807243013;0.17
200704;4.6;-1.64;-0.96;-0.2;6.248290809;5.799118356;0.449172453;0.18
200705;1.86;3.22;-1.38;3.21;4.035477112;1.693126568;2.342350544;0.18
200706;-8.44;1.27;-2.43;12.54;-7.809353984;-14.03364167;6.224287686;0.17
200707;-0.77;2.47;5.81;-5.15;-0.263869559;-1.561882256;1.298012697;0.15
200708;1.53;3.61;1.56;-4.05;1.581851583;2.279392247;-0.697540664;0.13
200709;-9.24;-1.13;6.33;0.35;-11.37739835;-9.526792347;-1.850606003;0.15
200710;-17.23;-2.34;-2.9;7.79;-19.78103388;-24.65721374;4.87617986;0.08
200711;-7.86;-2.99;-5.94;7.11;-10.84294513;-9.355317047;-1.487628083;0.03
200712;1.74;3.59;-0.24;-5.07;7.412838179;6.136518601;1.276319578;0
200801;-8.12;-0.01;-11.1;-1.83;-7.445063449;-6.460376304;-0.984687145;0
200802;-10.1;0.16;-7.25;4.18;-20.20707685;-16.92598946;-3.28108739;0.01
200803;8.95;-0.08;3.52;-11.38;7.96655604;13.51464251;-5.54808647;0.02
200804;10.19;4.83;5.46;-34.39;24.95177657;32.85160923;-7.89983266;0.01
200805;5.21;-2.33;-0.21;-12.44;8.602323845;6.27775947;2.324564375;0
200806;0.43;2.61;-2.71;5.29;-0.771296775;-1.591185654;0.819888879;0.01
200807;7.72;2.07;5.27;-5.36;9.829161592;13.59988605;-3.770724458;0.01
200808;3.33;-0.9;7.76;-8.84;8.305064126;8.319960611;-0.014896485;0.01
200809;4.08;2.45;0.92;-4.93;4.215131263;5.457412426;-1.242281163;0.01
200810;-2.59;-4.23;-4.18;2.65;-2.442850697;-5.544360581;3.101509884;0
200811;5.56;-2.49;-0.17;0.29;5.583011592;6.583580727;-1.000569135;0
200812;2.75;6.11;0.01;2.91;5.294713775;5.293799081;0.000914694;0.01
200901;-3.36;0.38;0.31;-5.38;-3.596043538;-3.170525123;-0.425518415;0
200902;3.4;1.21;3.17;3.6;3.47560365;3.33855467;0.13704898;0
200903;6.31;1.43;2.1;3.66;7.321314157;8.234038819;-0.912724662;0.01
200904;2;4.98;2.81;3.22;3.216343648;4.01475546;-0.798411812;0.01
200905;-7.89;0.05;-2.38;-0.13;-7.673112377;-7.822150184;0.149037807;0.01
