T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
200701;-6.36;-0.89;3.65;-7.89;-5.559678017;-5.028841115;-0.530836902;0.21
200702;-3.09;-0.23;-0.95;6.14;-1.236818019;-1.211713506;-0.025104513;0.13
200703;-0.93;0.94;-0.15;4.1;-1.66627402;0.314092186;-1.980366206;0.17
200704;4.6;-1.64;-0.96;-0.2;5.228868205;9.382597973;-4.153729768;0.18
200705;1.86;3.22;-1.38;3.21;2.342946609;4.845772996;-2.502826387;0.18
200706;-8.44;1.27;-2.43;12.54;-9.701315825;-8.544432528;-1.156883297;0.17
200707;-0.77;2.47;5.81;-5.15;-1.508353598;-0.883183671;-0.625169927;0.15
200708;1.53;3.61;1.56;-4.05;1.135398147;-0.280553157;1.415951304;0.13
200709;-9.24;-1.13;6.33;0.35;-10.43015984;-12.38114833;1.95098849;0.15
200710;-17.23;-2.34;-2.9;7.79;-23.73715;-22.62398894;-1.11316106;0.08
200711;-7.86;-2.99;-5.94;7.11;-9.145975911;-6.977507995;-2.168467916;0.03
200712;1.74;3.59;-0.24;-5.07;4.677016818;6.33546764;-1.658450822;0
200801;-8.12;-0.01;-11.1;-1.83;-9.390095413;-7.722276843;-1.66781857;0
200802;-10.1;0.16;-7.25;4.18;-18.8026075;-16.36047362;-2.44213388;0.01
200803;8.95;-0.08;3.52;-11.38;12.33275154;12.41632464;-0.0835731;0.02
200804;10.19;4.83;5.46;-34.39;21.40991093;22.21352785;-0.80361692;0.01
200805;5.21;-2.33;-0.21;-12.44;8.207431255;6.293444474;1.913986781;0
200806;0.43;2.61;-2.71;5.29;-0.493834607;-2.477966557;1.98413195;0.01
200807;7.72;2.07;5.27;-5.36;8.91103188;13.98700166;-5.07596978;0.01
200808;3.33;-0.9;7.76;-8.84;9.161673794;5.272581539;3.889092255;0.01
200809;4.08;2.45;0.92;-4.93;2.481792308;4.439088469;-1.957296161;0.01
200810;-2.59;-4.23;-4.18;2.65;-3.260958047;-4.626721447;1.3657634;0
200811;5.56;-2.49;-0.17;0.29;6.062613039;6.527520324;-0.464907285;0
200812;2.75;6.11;0.01;2.91;4.314717178;7.03265262;-2.717935442;0.01
200901;-3.36;0.38;0.31;-5.38;-3.53227608;-3.286273501;-0.246002579;0
200902;3.4;1.21;3.17;3.6;2.997738511;3.276404705;-0.278666194;0
200903;6.31;1.43;2.1;3.66;6.630694829;7.292743524;-0.662048695;0.01
200904;2;4.98;2.81;3.22;2.73359497;6.101988344;-3.368393374;0.01
200905;-7.89;0.05;-2.38;-0.13;-7.629609693;-6.804417477;-0.825192216;0.01
200906;-5.56;-1.98;-4.5;-3;-6.051441842;-7.573423622;1.52198178;0.01
200907;6.93;0.17;-0.26;1.88;7.071770206;6.709286805;0.362483401;0.01
200908;-4.77;-3;-1.96;-0.19;-4.99292943;-5.592030085;0.599100655;0.01
200909;9.54;3.92;-3.12;1.35;9.546349846;11.22688572;-1.680535874;0.01
200910;3.88;1.14;-2.59;1.64;3.517569352;3.690975697;-0.173406345;0.01
200911;0.6;3.71;-0.9;2.53;0.706411526;4.08732954;-3.380918014;0.01
200912;6.82;0.69;3.82;-3.19;7.661778826;8.360203677;-0.698424851;0.01
201001;1.99;-2.46;0.83;-0.32;2.738638535;2.384899332;0.353739203;0.01
201002;3.49;1.52;1.08;2.03;5.422297932;5.882189419;-0.459891487;0.01
201003;0.45;2.6;-1.57;3.51;0.612239628;2.197119957;-1.584880329;0.01
201004;2.9;-0.35;-2.53;0.07;2.606891606;3.247567791;-0.640676185;0
201005;-1.27;-0.71;-2.07;-0.56;-1.008473208;0.203772587;-1.212245795;0
201006;-1.75;-0.17;-0.33;1.78;-1.35337699;-1.934924722;0.581547732;0
201007;-2.36;-1.3;-1.23;0.08;-3.976081316;-3.000234226;-0.97584709;0
201008;-5.99;-3.06;-2.44;-0.31;-7.688690998;-7.129477092;-0.559213906;0.01
201009;-7.59;-3.49;-1.46;-2.55;-9.157181551;-11.89814761;2.740966059;0
201010;11.35;3.41;-0.17;-1.42;14.22836443;14.22418059;0.00418384;0
201011;-0.28;-0.17;-0.34;3.99;-3.655039274;-3.551422125;-0.103617149;0
201012;0.74;-0.71;1.75;1.94;0.196013522;0.416908847;-0.220895325;0
201101;5.05;2.15;-1.11;-7.97;7.085215085;8.249965523;-1.164750438;0
201102;4.42;-1.75;0.09;-0.3;4.641283287;2.730473633;1.910809654;0
201103;3.11;-0.6;0.87;1.5;2.535469222;1.790915145;0.744554077;0
201104;-0.85;-0.51;-0.46;3.83;-1.172215379;-0.216446855;-0.955768524;0
201105;-6.19;0.02;-0.62;6.6;-6.823761266;-6.40964987;-0.414111396;0.01
201106;3.89;0.77;0.44;-1.12;2.704203985;2.74979442;-0.045590435;0
201107;0.79;-2.59;-0.26;3.07;0.481852767;-2.040269473;2.52212224;0
201108;2.55;0.42;1.32;-2.49;3.351792724;2.715520068;0.636272656;0.01
