T-1;MRP;SMB;HML;MOM;DMRTOP;DMRBOT;TOPBOT;RF
200701;-6.36;-0.89;3.65;-7.89;-4.587096266;-4.8415133;0.254417034;0.21
200702;-3.09;-0.23;-0.95;6.14;-1.719922959;-2.220081357;0.500158398;0.13
200703;-0.93;0.94;-0.15;4.1;-3.094482205;-2.233195915;-0.86128629;0.17
200704;4.6;-1.64;-0.96;-0.2;6.175105752;5.128593952;1.0465118;0.18
200705;1.86;3.22;-1.38;3.21;3.889098283;1.651884142;2.237214141;0.18
200706;-8.44;1.27;-2.43;12.54;-8.617903266;-8.287738161;-0.330165105;0.17
200707;-0.77;2.47;5.81;-5.15;-0.295653055;0.365929281;-0.661582336;0.15
200708;1.53;3.61;1.56;-4.05;0.915121281;-0.028875982;0.943997263;0.13
200709;-9.24;-1.13;6.33;0.35;-9.902391504;-7.22506563;-2.677325874;0.15
200710;-17.23;-2.34;-2.9;7.79;-20.79073567;-18.88607758;-1.90465809;0.08
200711;-7.86;-2.99;-5.94;7.11;-8.852158074;-7.202954055;-1.649204019;0.03
200712;1.74;3.59;-0.24;-5.07;7.205848368;3.87809041;3.327757958;0
200801;-8.12;-0.01;-11.1;-1.83;-9.598485412;-9.690591357;0.092105945;0
200802;-10.1;0.16;-7.25;4.18;-19.80828438;-21.17220361;1.36391923;0.01
200803;8.95;-0.08;3.52;-11.38;9.358246721;11.65925628;-2.301009559;0.02
200804;10.19;4.83;5.46;-34.39;22.28506373;27.30834377;-5.02328004;0.01
200805;5.21;-2.33;-0.21;-12.44;9.596382858;12.00818496;-2.411802102;0
200806;0.43;2.61;-2.71;5.29;0.760624227;0.50488337;0.255740857;0.01
200807;7.72;2.07;5.27;-5.36;7.962228259;8.599733179;-0.63750492;0.01
200808;3.33;-0.9;7.76;-8.84;5.778527554;6.026700136;-0.248172582;0.01
200809;4.08;2.45;0.92;-4.93;2.717326639;4.045404402;-1.328077763;0.01
200810;-2.59;-4.23;-4.18;2.65;-2.546325037;-1.99589191;-0.550433127;0
200811;5.56;-2.49;-0.17;0.29;5.723493251;5.602019115;0.121474136;0
200812;2.75;6.11;0.01;2.91;2.71839603;3.231969546;-0.513573516;0.01
200901;-3.36;0.38;0.31;-5.38;-3.334504231;-3.459627859;0.125123628;0
200902;3.4;1.21;3.17;3.6;3.965898681;4.260156656;-0.294257975;0
200903;6.31;1.43;2.1;3.66;5.685284287;6.242970476;-0.557686189;0.01
200904;2;4.98;2.81;3.22;1.63986466;1.428870642;0.210994018;0.01
200905;-7.89;0.05;-2.38;-0.13;-8.042187617;-6.825987504;-1.216200113;0.01
200906;-5.56;-1.98;-4.5;-3;-5.549694673;-6.298867721;0.749173048;0.01
200907;6.93;0.17;-0.26;1.88;7.15403735;8.250358526;-1.096321176;0.01
200908;-4.77;-3;-1.96;-0.19;-4.733741107;-4.992506038;0.258764931;0.01
200909;9.54;3.92;-3.12;1.35;10.12977008;9.903589397;0.226180683;0.01
200910;3.88;1.14;-2.59;1.64;2.309745885;3.474762087;-1.165016202;0.01
200911;0.6;3.71;-0.9;2.53;0.462377337;0.393378456;0.068998881;0.01
200912;6.82;0.69;3.82;-3.19;6.353928675;6.743996094;-0.390067419;0.01
201001;1.99;-2.46;0.83;-0.32;1.663137159;3.332931301;-1.669794142;0.01
201002;3.49;1.52;1.08;2.03;5.850316766;5.643390041;0.206926725;0.01
201003;0.45;2.6;-1.57;3.51;-0.004833502;0.287810835;-0.292644337;0.01
201004;2.9;-0.35;-2.53;0.07;3.659155592;3.313973318;0.345182274;0
201005;-1.27;-0.71;-2.07;-0.56;-0.205947543;-0.446522264;0.240574721;0
201006;-1.75;-0.17;-0.33;1.78;-1.047140333;-1.949048308;0.901907975;0
201007;-2.36;-1.3;-1.23;0.08;-3.799745955;-4.911309635;1.11156368;0
201008;-5.99;-3.06;-2.44;-0.31;-6.674038457;-7.304306089;0.630267632;0.01
201009;-7.59;-3.49;-1.46;-2.55;-7.749536125;-7.257863248;-0.491672877;0
201010;11.35;3.41;-0.17;-1.42;11.91537202;11.43010433;0.48526769;0
201011;-0.28;-0.17;-0.34;3.99;-3.701947567;-3.819992503;0.118044936;0
201012;0.74;-0.71;1.75;1.94;0.209487629;-0.00407795;0.213565579;0
201101;5.05;2.15;-1.11;-7.97;5.404054662;4.613507032;0.79054763;0
201102;4.42;-1.75;0.09;-0.3;4.032385331;3.957555326;0.074830005;0
201103;3.11;-0.6;0.87;1.5;2.628634089;3.166287843;-0.537653754;0
201104;-0.85;-0.51;-0.46;3.83;-0.819518519;-1.000181458;0.180662939;0
201105;-6.19;0.02;-0.62;6.6;-6.612739511;-6.836281095;0.223541584;0.01
201106;3.89;0.77;0.44;-1.12;4.242890805;4.7280803;-0.485189495;0
201107;0.79;-2.59;-0.26;3.07;-0.304791367;-0.043111661;-0.261679706;0
201108;2.55;0.42;1.32;-2.49;3.287188415;2.566902444;0.720285971;0.01
201109;2.73;0.51;1.54;-1.02;3.987611081;3.582234481;0.4053766;0.01
201110;-1.76;-1.14;3.79;0.1;-1.182377388;-0.589063859;-0.593313529;0.01
201111;0.78;0.58;-0.96;0.38;1.097297187;1.929088866;-0.831791679;0.01
201112;1.18;1.47;3.56;-2.97;2.295910169;2.618153514;-0.322243345;0.01
201201;5.57;0.39;0.95;-1.88;6.875832556;6.881762834;-0.005930278;0
201202;1.29;-0.45;0.03;1.31;1.32227511;0.294398239;1.027876871;0
201203;4.03;0.78;-0.29;1.94;4.286947686;3.932372039;0.354575647;0
201204;1.55;-2.42;0.63;0.25;1.393978944;2.028288344;-0.6343094;0
201205;2.8;1.67;2.6;-1.8;1.374646072;2.659516761;-1.284870689;0
201206;-1.2;1.22;-0.18;0.59;-3.492287491;-3.205217786;-0.287069705;0
201207;5.65;1.86;0.56;1.74;5.375645579;6.731095471;-1.355449892;0
201208;-2.71;0.3;-2.78;0.05;-3.152856784;-2.410126096;-0.742730688;0
201209;3.77;2.93;-1.19;2.97;2.351132829;3.310439643;-0.959306814;0
201210;4.18;-1.49;1.14;0.16;3.47793768;4.228627692;-0.750690012;0
201211;3.12;1.24;0.24;0.4;3.38846735;2.887427771;0.501039579;0
201212;2.81;-0.5;-0.31;0.07;1.87088784;3.229029847;-1.358142007;0
201301;-3.32;0.86;-2.09;1.72;-4.203554419;-2.830423076;-1.373131343;0
201302;4.65;0.32;-0.4;2.08;4.103993778;5.262385531;-1.158391753;0
201303;0.43;-1.89;5.08;-3.3;0.836984332;1.231237289;-0.394252957;0
201304;-0.19;-4.25;1.14;-3.85;1.27242058;1.230238356;0.042182224;0
201305;2.06;-1.85;-0.27;1.15;1.933187405;2.471216104;-0.538028699;0
201306;2.61;3.07;-0.74;0.68;3.493713457;3.395639134;0.098074323;0
201307;-2.04;-4.24;0.01;-0.24;-2.299115006;-1.56045215;-0.738662856;0
201308;4.24;0.36;-0.58;0.82;4.899649751;4.425394373;0.474255378;0
201309;-1.97;-3.83;-1.23;0.53;-4.717399542;-3.56174807;-1.155651472;0
201310;2.52;4.23;-1.68;0;1.941063046;2.638609532;-0.697546486;0
201311;2.55;-2.09;-2.99;1.05;3.979623353;3.114824085;0.864799268;0
201312;-0.06;2.54;2.06;1.06;-0.310404013;0.207044459;-0.517448472;0
201401;-3.11;-0.56;-3.47;3.87;-1.247592185;-1.731075499;0.483483314;0
201402;6.13;0.48;-1.79;-2.84;4.196921855;4.276363202;-0.079441347;0
201403;-1.12;3.02;-0.46;2.98;-0.882265635;-0.825970536;-0.056295099;0
201404;0.59;-2.97;1.86;-7.37;-1.154738337;-1.357934737;0.2031964;0
201405;1.36;0.87;-1.37;6.01;0.797342641;1.078175442;-0.280832801;0
201406;-1.53;2.83;-0.79;3.04;-3.642117578;-3.925949798;0.28383222;0
201407;1.54;-4.14;-4.12;10.28;-2.014334856;-1.849766568;-0.164568288;0
201408;-6.04;0.48;2.68;-2.07;-5.031434662;-5.767127966;0.735693304;0
201409;-3.08;-2.64;0.52;5.32;-3.429322807;-3.669852088;0.240529281;0
201410;7.75;-1.97;-0.08;-3.97;6.220989419;7.55023319;-1.329243771;0
201411;0.56;3.64;-0.52;2.28;-1.319078539;0.681104289;-2.000182828;0
201412;-2.17;-2.82;-2.58;3.44;-3.234015088;-3.376291362;0.142276274;0.01
201501;-5.77;-3.36;2.1;1.37;-6.291390793;-4.370930132;-1.920460661;0.01
201502;-0.07;0.78;-0.48;-4.09;1.910979108;1.394097402;0.516881706;0.02
201503;6.96;0.87;1.12;-5.14;9.785992128;10.59377579;-0.807783662;0.02
201504;0.92;0.68;3.26;-6.23;4.062587709;4.687882227;-0.625294518;0.01
201505;1.78;-0.26;-1.81;1.94;0.278560878;1.165075231;-0.886514353;0.01
201506;-0.05;0.65;-1.49;4.21;1.314585491;2.271168551;-0.95658306;0.02
201507;3.95;2.65;-1.13;-3.05;6.570014738;6.746833518;-0.17681878;0.02
201508;0.5;1.15;3.31;-3.09;-0.089120512;-0.844851328;0.755730816;0.02
201509;0.25;2.02;-1.48;-0.56;-1.219675677;-0.493870775;-0.725804902;0.02
201510;-2.02;-4.37;4.18;0.65;-1.885248151;-1.491120222;-0.394127929;0.02
201511;4.86;5.49;8.27;-4.22;8.534242206;7.925402763;0.608839443;0.01
201512;1.82;0.07;3.6;-0.36;1.518677258;1.978600689;-0.459923431;0.03
201601;1.94;-1.02;-2.78;-0.97;1.867811107;1.622361861;0.245449246;0.04
201602;3.57;-2;-1.8;-1.66;2.909411022;2.823838377;0.085572645;0.04
201603;0.17;1.19;-3.18;-0.92;-0.836496767;-0.498874174;-0.337622593;0.03
201604;1.09;0.73;-1.9;0.53;0.9998744;0.74812865;0.25174575;0.05
201605;1.06;-2.55;-3.78;1.47;0.78622239;0.150107704;0.636114686;0.06
201606;0.78;2.16;1.32;-0.25;1.864570428;2.336460149;-0.471889721;0.06
201607;1.87;-1.4;-0.28;1.63;2.47741187;2.029042116;0.448369754;0.07
201608;0.16;-1.69;-2.24;3.57;-0.482434107;0.192276207;-0.674710314;0.09
201609;2.51;4.54;3.03;-1.2;4.67796247;4.92815073;-0.25018826;0.09
201610;2.25;-1.94;-0.06;4.3;1.843159133;1.038414615;0.804744518;0.09
201611;3.12;-0.66;-0.05;-0.75;3.798301913;3.13089376;0.667408153;0.08
201612;1.06;-1.26;0.14;-1.6;2.856805431;2.28694093;0.569864501;0.09
2007;-44.19;5.88;2.4;18.88;-39.67516932;-39.90100419;0.22583487;1.58
2008;27.41;8.19;-2.68;-63.85;34.94719445;46.12780788;-11.18061343;0.09
2009;17.9;12.7;-3.5;5.99;16.04077933;19.12109321;-3.08031388;0.1
2010;1.68;-4.89;-8.48;8.24;0.114279681;-1.684910169;1.79918985;0.04
2011;-15.7;0.67;-8.2;0.39;18.17654496;18.81317173;-0.63662677;-0.06
2012;30.86;5.53;1.4;5.8;25.07260737;30.56761476;-5.49500739;0
2013;11.48;-6.77;-1.69;1.7;10.93016272;16.02396557;-5.09380285;0
2014;0.88;-3.78;-10.12;20.97;-10.73964577;-8.918092431;-1.821553339;0.01
